"alg-geom/9405013","Vadim Schechtman","Vladimir Hinich and Vadim Schechtman","Deformation theory and Lie algebra homology","amslatex (Replacement of the previous version. Minor corrections are
  made)",,,,"alg-geom hep-th math.AG",,"  A description of a ring of functions on the base of a universal formal
deformation for several moduli problems is given. The answer is given in terms
of a homology group of a certain dg Lie algebra canonically (up to an
essentially unique quasi-isomorphism) associated with a problem.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 18:36:20 GMT""},{""version"":""v2"",""created"":""Wed, 14 Sep 1994 15:32:45 GMT""}]","2008-02-03"
"hep-ph/9405388",,"S. Catani and F. Hautmann","High-Energy Factorization and Small-X Deep Inelastic Scattering Beyond
  Leading Order","46 pages (+ 7 figures not included, available from the authors),
  Latex, Cavendish-HEP-94/01","Nucl.Phys. B427 (1994) 475-524","10.1016/0550-3213(94)90636-X",,"hep-ph",,"  High-energy factorization in QCD is investigated beyond leading order and its
relationship to the factorization theorem of mass singularities is established
to any collinear accuracy. Flavour non-singlet observables are shown to be
regular at small x order by order in perturbation theory. In the singlet
sector, we derive the relevant master equations for the space-like evolution of
gluons and quarks. Their solution enables us to sum next-to-leading corrections
to the small-x behaviour of quark anomalous dimensions and deep inelastic
scattering coefficient functions. We present results in both MSbar and DIS
factorization schemes.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 13:16:31 GMT""}]","2009-10-28"
"hep-ph/9405389","Ewan Davidson Stewart","Ewan D. Stewart","Inflation, Supergravity and Superstrings","15 pages, version to be published in Physical Review D, major changes
  in presentation, minor changes in content","Phys.Rev. D51 (1995) 6847-6853","10.1103/PhysRevD.51.6847","KUNS 1261","hep-ph astro-ph hep-th",,"  The positive potential energy required for inflation spontaneously breaks
supersymmetry and in general gives any would-be inflaton an effective mass of
order the inflationary Hubble parameter thus ruling it out as an inflaton. In
this paper I give simple conditions on the superpotential that eliminate some
potential sources for this mass, and derive a form for the Kahler potential
that eliminates the rest. This reduces the problem of constructing a model of
inflation in supergravity to that of constructing one in global supersymmetry
with the extra conditions $W=W_\varphi=\psi=0$ during inflation (where $W$ is
the superpotential, the inflaton $\in\varphi$, and $W_\psi\neq0$). I then point
out that Kahler potentials of the required form often occur in superstrings and
that the target space duality symmetries of superstrings often contain
R-parities which would make $W=W_\varphi=0$ automatic for $\psi=0$.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 15:00:58 GMT""},{""version"":""v2"",""created"":""Tue, 21 Mar 1995 16:12:29 GMT""}]","2009-10-28"
"hep-th/9405161","J. A. de Azcarraga","J.A. de Azc\'arraga, P.P. Kulish and F. Rodenas","Quantum groups and deformed special relativity","New, completely revised version; 6 more pages, many references added.
  Plain Latex, no macros, 49 pages","Fortsch.Phys.44:1-40,1996","10.1002/prop.2190440102","FTUV 94-21/IFIC 94/19 (April 94), revised","hep-th",,"  The structure and properties of possible $q$-Minkowski spaces is discussed,
and the corresponding non-commutative differential calculi are developed in
detail and compared with already existing proposals. This is done by stressing
its covariance properties as described by appropriate reflection equations.
Some isomorphisms among the space-time and derivative algebras are
demonstrated, and their representations are described briefly. Finally, some
physical consequences and open problems are discussed.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 17:15:00 GMT""},{""version"":""v2"",""created"":""Wed, 3 May 1995 15:16:45 GMT""}]","2016-08-14"
"hep-th/9405162","Robert C. Myers","Robert C. Myers","Black Hole Entropy in Two Dimensions","18 pages, latex McGill/94-22 (minor revisions; final version which
  will appear in Phys. Rev. D)","Phys.Rev.D50:6412-6421,1994","10.1103/PhysRevD.50.6412",,"hep-th gr-qc",,"  Black hole entropy is studied for an exactly solvable model of
two-dimensional gravity\cite{rst1}, using recently developed Noether charge
techniques\cite{wald1}. This latter approach is extended to accomodate the
non-local form of the semiclassical effective action. In the two-dimensional
model, the final black hole entropy can be expressed as a local quantity
evaluated on the horizon. This entropy is shown to satisfy an increase theorem
on either the global or apparent horizon of a two-dimensional black hole.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 22:11:17 GMT""},{""version"":""v2"",""created"":""Mon, 8 Aug 1994 20:36:11 GMT""},{""version"":""v3"",""created"":""Sun, 14 Aug 1994 23:44:30 GMT""}]","2010-11-01"
"hep-th/9405163","Ninoslav Bralic","N. Bralic, D. Cabra and F.A. Schaposnik","Thermodynamics of Relativistic Fermions with Chern-Simons Coupling","12 pages, REVTeX","Phys.Rev.D50:5314-5320,1994","10.1103/PhysRevD.50.5314",,"hep-th cond-mat hep-ph",,"  We study the thermodynamics of the relativistic Quantum Field Theory of
massive fermions in three space-time dimensions coupled to an Abelian
Maxwell-Chern-Simons gauge field. We evaluate the specific heat at finite
temperature and density and find that the variation with the statistical angle
is consistent with the non-relativistic ideas on generalized statistics.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 03:59:00 GMT""}]","2014-11-18"
"hep-th/9405164","Robert Marnelius","R. Marnelius and Sh. M. Shvartsman","Superparticle actions from superfields","23 pages, ITP-G\""{o}teborg 94-14, LATEX","Nucl.Phys. B430 (1994) 153-178","10.1016/S0550-3213(94)90653-X",,"hep-th",,"  Gauge invariant complex covariant actions for superparticles are derived from
the field equations for the chiral superfields in a precise manner. The massive
and massless cases in four dimensions are treated both free and in interaction
with an external super Maxwell field. By means of a generalized BRST
quantization these complex actions are related to real actions with second
class constraints which are new in some cases.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 06:59:50 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jun 1994 11:30:37 GMT""}]","2009-10-28"
"hep-th/9405165","Chakrabarti Amitabha","Amitabha Chakrabarti","$SO(5)_{q}$ and Contraction","8 pages Tex, written version of a talk presented at XXX Karpacz
  Winter school",,,,"hep-th",,"  Representations of $SO(5)_{q}$ are constructed explicitly on the Chevalley
basis for all $q$, generic and root of unity. Matrix elements of the generators
are obtained for all representations depending on three variable indices, the
maximal number being 4. A prescription for contraction is given such that a
complete Hopf algebra is immediately obtained for the non-semisimple contracted
case. For $q$ a root of unity the periodic representations for $SO(5)_{q}$ and
the contracted algebra are obtained directly in the ""fractional part"" formalism
which unifies the treatments for the generic and root of unity cases. The
$q$-deformed quadratic Casimir operator is explicitly evaluated for the
representations presented.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 08:43:25 GMT""}]","2007-05-23"
"hep-th/9405166","Tomohiro Matsuda","Kazuo Fujikawa","Generalized Pauli-Villars Regularization and the Covariant Form of
  Anomalies","26pages latex","Nucl.Phys. B428 (1994) 169-188","10.1016/0550-3213(94)90197-X",,"hep-th",,"  In the generalized Pauli-Villars regularization of chiral gauge theory
proposed by Frolov and Slavnov , it is important to specify how to sum the
contributions from an infinite number of regulator fields. It is shown that an
explicit sum of contributions from an infinite number of fields in anomaly-free
gauge theory essentially results in a specific choice of regulator in the past
formulation of covariant anomalies. We show this correspondence by
reformulating the generalized Pauli- Villars regularization as a regularization
of composite current operators. We thus naturally understand why the covariant
fermion number anomaly in the Weinberg-Salam theory is reproduced in the
generalized Pauli-Villars regularization. A salient feature of the covariant
regularization,which is not implemented in the lagrangian level in general but
works for any chiral theory and gives rise to covariant anomalies , is that it
spoils the Bose symmetry in anomalous theory. The covariant regularization
however preserves the Bose symmetry as well as gauge invariance in anomaly-free
gauge theory.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 09:43:23 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jul 1994 02:20:09 GMT""}]","2009-10-28"
"hep-th/9405167","Volodimir Lyubashenko","Volodymyr Lyubashenko","Invariants of 3-manifolds and projective representations of mapping
  class groups via quantum groups at roots of unity","61 pages, 12 eps figures. Hennings' invariant is a particular case of
  the described invariant; references added","Commun.Math.Phys. 172 (1995) 467-516","10.1007/BF02101805",,"hep-th math.QA",,"  An example of a finite dimensional factorizable ribbon Hopf C-algebra is
given by a quotient H=u_q(g) of the quantized universal enveloping algebra
U_q(g) at a root of unity q of odd degree. The mapping class group M_{g,1} of a
surface of genus g with one hole projectively acts by automorphisms in the
H-module H^{*\otimes g}, if H^* is endowed with the coadjoint H-module
structure. There exists a projective representation of the mapping class group
M_{g,n} of a surface of genus g with n holes labelled by finite dimensional
H-modules X_1,...,X_n in the vector space Hom_H(X_1\otimes...\otimes
X_n,H^{*\otimes g}). An invariant of closed oriented 3-manifolds is
constructed. Modifications of these constructions for a class of ribbon Hopf
algebras satisfying weaker conditions than factorizability (including most of
u_q(g) at roots of unity q of even degree) are described. The results are
motivated by CFT.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 10:48:23 GMT""},{""version"":""v2"",""created"":""Thu, 15 Dec 1994 17:04:00 GMT""}]","2009-10-28"
"hep-th/9405168","Volodimir Lyubashenko","Volodymyr Lyubashenko","Modular properties of ribbon abelian categories","51 pages, close to published version","Symposia Gaussiana, Proc. of the 2nd Gauss Symposium, Munich,
  1993, Conf. A (Berlin, New York), Walter de ruyter, 1995, pp. 529-579",,,"hep-th math.QA",,"  A category N of labeled (oriented) trivalent graphs (nets) or ribbon graphs
is extended by new generators called fusing, braiding, twist and switch with
relations which can be called Moore--Seiberg relations. A functor to N is
constructed from the category Surf of oriented surfaces with labeled boundary
and their homeomorphisms. Given an (eventually non-semisimple) k-linear abelian
ribbon braided category C with some finiteness conditions we construct a
functor from a central extension of N with the set of labels ObC to k-vector
spaces. Composing the functors we get a modular functor from a central
extension of Surf to k-vector spaces. This is a mathematical paper which
explains how to get proofs for its hep-th companion paper, which should be read
first. Complete proofs are not given here. (Talk at Second Gauss Simposium,
Munich, August 1993.)
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 10:51:48 GMT""},{""version"":""v2"",""created"":""Wed, 20 Feb 2008 15:28:14 GMT""}]","2008-02-22"
"hep-th/9405169",,"M. Chaichian, J. F. Gomes and R. Gonzalez Felipe","New Phenomenon of Nonlinear Regge Trajectory and Quantum Dual String
  Theory","12 pages, Latex, HU-SEFT R 1994-05","Phys.Lett.B341:147-152,1994","10.1016/0370-2693(94)90303-4",,"hep-th",,"  The relation between the spin and the mass of an infinite number of particles
in a $q$-deformed dual string theory is studied. For the deformation parameter
$q$ a root of unity, in addition to the relation of such values of $q$ with the
rational conformal field theory, the Fock space of each oscillator mode in the
Fubini-Veneziano operator formulation becomes truncated. Thus, based on general
physical grounds, the resulting spin-(mass)$^2$ relation is expected to be
below the usual linear trajectory. For such specific values of $q$, we find
that the linear Regge trajectory turns into a square-root trajectory as the
mass increases.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 11:25:33 GMT""}]","2010-11-01"
"hep-th/9405170",,"M. Chaichian, R. Gonzalez Felipe and H. Perez Rojas","Conserved Quantities and Electroweak Phase Transitions","9 pages, Latex, HU-SEFT R 1994-06","Phys.Lett. B342 (1995) 245-249","10.1016/0370-2693(94)01411-5",,"hep-th",,"  Some cosmological consequences of including the adequate conserved quantities
in the density matrix of the electroweak theory are investigated. Several
arguments against including the charges associated to the spontaneously broken
symmetry are presented. Special attention is focused on the phenomenon of
$W$-boson condensation and its interplay with the phase transition for the
symmetry restoration is considered. The emerging cosmological implications,
such as on the baryon and lepton number densities, are of interest.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 11:25:58 GMT""}]","2009-10-28"
"hep-th/9405171","Maximo Banados","Maximo Banados","Global Charges in Chern-Simons theory and the 2+1 black hole","Revtex, no figures, 26 pages. Important changes introduced. One
  section added.","Phys.Rev.D52:5816,1996","10.1103/PhysRevD.52.5816",,"hep-th",,"  We use the Regge-Teitelboim method to treat surface integrals in gauge
theories to find global charges in Chern-Simons theory. We derive the affine
and Virasoro generators as global charges associated with symmetries of the
boundary. The role of boundary conditions is clarified. We prove that for
diffeomorphisms that do not preserve the boundary there is a classical
contribution to the central charge in the Virasoro algebra. The example of
anti-de Sitter 2+1 gravity is considered in detail.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 10:37:01 GMT""},{""version"":""v2"",""created"":""Mon, 20 Mar 1995 16:00:24 GMT""}]","2009-12-30"
"hep-th/9405172","Philip Gibbs","P. E. Gibbs","Event Symmetric Open String Field Theory","7 pages, TeX, PEG-02-94",,,,"hep-th",,"  Field Theory on Event Symmetric space-time is constructed using the gauge
group of discrete open strings. Models with invariant actions can be viewed as
natural extensions of Matrix Models. The objective is to find a fundamental
non-perturbative pre-theory for superstrings.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 11:56:59 GMT""}]","2007-05-23"
"hep-th/9405174","Damiano Anselmi","Damiano Anselmi, Pietro Fre', Luciano Girardello and Paolo Soriani","Constrained Topological Field Theory","LaTeX file, 11 pages, SISSA/ISAS 67/94/EP, IFUM 469/FT [one reference
  corrected]","Phys.Lett. B335 (1994) 416-422","10.1016/0370-2693(94)90372-7",,"hep-th",,"  We derive a model of constrained topological gravity, a theory recently
introduced by us through the twist of N=2 Liouville theory, starting from the
general BRST algebra and imposing the moduli space constraint as a gauge
fixing. To do this, it is necessary to introduce a formalism that allows a
careful treatment of the global and the local degrees of freedom of the fields.
Surprisingly, the moduli space constraint arises from the simplest and most
natural gauge-fermion ({\sl antighost} $\times$ {\sl Lagrange multiplier}),
confirming the previous results. The simplified technical set-up provides a
deeper understanding for constrained topological gravity and a convenient
framework for future investigations, like the matter coupling and the analysis
of the effects of the constraint on the holomorphic anomaly.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 12:59:08 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jun 1994 11:06:36 GMT""}]","2009-10-28"
"hep-th/9405175","Damiano Anselmi","D.Anselmi, P.Fre', L.Girardello and P.Soriani","From N=2 Supergravity to Constrained Moduli Spaces","(Talk given at the Trieste Workshop on String Theory, April 1994)
  LaTeX file, 17 pages, SISSA 66/94/EP, IFUM 470/FT","Nucl.Phys.Proc.Suppl. 41 (1995) 292-301","10.1016/0920-5632(95)00438-F",,"hep-th",,"  In this talk we review some results concerning a mechanism for reducing the
moduli space of a topological field theory to a proper submanifold of the
ordinary moduli space. Such mechanism is explicitly realized in the example of
constrained topological gravity, obtained by topologically twisting the N=2
Liouville theory.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 12:57:37 GMT""}]","2009-10-28"
