"adap-org/9410006","Bernardo Huberman","Bernardo A. Huberman, and Tad Hogg (Dynamics of Computation, Xerox
  Palo Alto Research Center, Palo Alto, CA. 94304)","Communities of Practice: Performance and Evolution","23 pages, postcript, uuencoded",,,,"adap-org nlin.AO",,"  We present a detailed model of collaboration in communities of practice and
we examine its dynamical consequences for the group as a whole. We establish
the existence of a novel mechanism that allows the community to naturally adapt
to growth, specialization, or changes in the environment without the need for
central controls. This mechanism relies on the appearance of a dynamical
instability that initates an exploration of novel interactions, eventually
leading to higher performance for the community as a whole.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 22:39:16 GMT""},{""version"":""v2"",""created"":""Fri, 28 Oct 1994 17:53:38 GMT""}]","2008-02-03"
"hep-ph/9410392","Georg Botz","G. W. Botz, P. Haberl, and O. Nachtmann","Soft Photons in Hadron-Hadron Collisions: Synchrotron Radiation from the
  QCD Vacuum?","Heidelberg preprint HD-THEP-94-36, 31 pages, LaTeX + ZJCITE.sty
  (included), 12 figures appended as uuencoded compressed ps-file","Z.Phys. C67 (1995) 143-158","10.1007/BF01564830",,"hep-ph nucl-th",,"  We discuss the production of soft photons in high energy hadron-hadron
collisions. We present a model where quarks and antiquarks in the hadrons emit
``synchrotron light'' when being deflected by the chromomagnetic fields of the
QCD vacuum, which we assume to have a nonperturbative structure. This gives a
source of prompt soft photons with frequencies $\omega <= 300 MeV$ in the c.m.
system of the collision in addition to hadronic bremsstrahlung. In comparing
the frequency spectrum and rate of ``synchrotron'' photons to experimental
results we find some supporting evidence for their existence. We make an
exclusive--inclusive connection argument to deduce from the ``synchrotron''
effect a behaviour of the neutron electric formfactor $G_E^n(Q^2)$ proportional
to $(Q^2)^{1/6}$ for $Q^2 < 20 fm^{-2}$. We find this to be consistent with
available data. In our view, soft photon production in high energy
hadron-hadron and lepton-hadron collisions as well as the behaviour of
electromagnetic hadron formfactors for low $Q^2$ are thus sensitive probes of
the nonperturbative structure of the QCD vacuum.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 13:47:31 GMT""},{""version"":""v2"",""created"":""Fri, 28 Oct 1994 18:21:02 GMT""}]","2009-10-28"
"hep-ph/9410393","Thomas Appelquist","Alan Chodos","Proper-time methods in the presence of non-constant background fields","13 pages, YCTP-P14-94",,"10.1007/3-540-59163-X_291",,"hep-ph",,"  A formalism is developed to enable the construction of the effective action
and related quantities in QED for the case of time-varying background electric
fields. Some examples are studied and evidence is sought for a possible
transition to a phase in which chiral symmetry is spontaneously broken.
YCTP-P14-94
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:07:43 GMT""}]","2015-06-25"
"hep-ph/9410394",,"S. Catani and F. Hautmann","Surprises from Quarkonium Decay into Photons","4 pages + 3 figures, uuencoded postscript, Cambridge preprint
  Cavendish-HEP-94/09","Nucl.Phys.Proc.Suppl. 39BC (1995) 359-363","10.1016/0920-5632(95)00101-E",,"hep-ph",,"  The perturbative QCD approach to quarkonium decay into a photon and hadrons
is reconsidered. It is shown that a consistent treatment within perturbative
QCD calls for the introduction of a fragmentation contribution which has been
neglected so far. The ensuing phenomenological implications are discussed, and,
in particular, the possibility of measuring the gluon fragmentation function of
the photon is addressed.
  *To appear in the proceedings of the workshop QCD94, Montpellier, July '94.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:08:54 GMT""}]","2009-10-28"
"hep-ph/9410395",,"S. Catani and F. Hautmann","Next-to-Leading Corrections at Small X","2 pages, uuencoded postscript, Cavendish-HEP-94/12","Nucl.Phys.Proc.Suppl. 39BC (1995) 48-49","10.1016/0920-5632(95)00042-8",,"hep-ph",,"  We discuss the role of sub-leading corrections to deep inelastic processes in
the small-x regime, and report recent results on the calculation of coefficient
functions and quark anomalous dimensions.
  *To appear in the proceedings of the workshop QCD94, Montpellier, July '94.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:09:29 GMT""}]","2009-10-28"
"hep-th/9410199","Flad","Michel Dubois-Violette, John Madore, Thierry Masson and Jihad Mourad","Linear connections on the quantum plane","9 pages","Lett.Math.Phys. 35 (1995) 351-358","10.1007/BF00750842",,"hep-th math.QA",,"  A general definition has been proposed recently of a linear connection and a
metric in noncommutative geometry. It is shown that to within normalization
there is a unique linear connection on the quantum plane and there is no
metric.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 17:24:13 GMT""}]","2009-10-28"
"hep-th/9410200","Simon Brian Davis","Simon Davis","The Four-Point Function on a Surface of Infinite Genus","11 pages, TeX, 2 figures. The power in the exponential term in
  equation (10) is now typed uniformly and the square in the denominator in
  equation (14) has been removed","Mod.Phys.Lett. A9 (1994) 1299-1308","10.1142/S021773239400112X","DAMTP-R/94/1","hep-th",,"  The four-point function arising in the scattering of closed bosonic strings
in their tachyonic ground state is evaluated on a surface of infinite genus.
The amplitude has poles corresponding to physical intermediate states and
divergences at the boundary of moduli space, but no new types of divergences
result from the infinite number of handles. The implications for the universal
moduli space approach are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 18:31:55 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jul 1996 13:42:00 GMT""}]","2009-10-28"
"hep-th/9410201","J. Mourad","J. Mourad","Linear Connections in Non-Commutative Geometry","15 pages, LMPM ../94 (uses phyzzx)","Class.Quant.Grav.12:965-974,1995","10.1088/0264-9381/12/4/007",,"hep-th",,"  A construction is proposed for linear connections on non-commutative
algebras. The construction relies on a generalisation of the Leibnitz rules of
commutative geometry and uses the bimodule structure of $\Omega^1$. A special
role is played by the extension to the framework of non-commutative geometry of
the permutation of two copies of $\Omega^1$. The construction of the linear
connection as well as the definition of torsion and curvature is first proposed
in the setting of the derivations based differential calculus of Dubois-
Violette and then a generalisation to the framework proposed by Connes as well
as other non-commutative differential calculi is suggested. The covariant
derivative obtained admits an extension to the tensor product of several copies
of $\Omega^1$. These constructions are illustrated with the example of the
algebra of $ n \times n$ matrices.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 19:50:59 GMT""}]","2010-04-06"
"hep-th/9410202","Geoffrey Dixon","Geoffrey Dixon","Octonion X-product orbits","15 pages",,,"BRX TH-363","hep-th math.RA",,"  The octonionic X-product gives the octonions a flexibility not found in the
other real division algebras. The pattern of that flexibility is investigated
here.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 19:27:00 GMT""}]","2008-02-03"
"hep-th/9410203","Laszlo Feher","F. Delduc and L. Feher","Regular Conjugacy Classes in the Weyl Group and Integrable Hierarchies","44 pages, ENSLAPP-L-493/94, substantial revision, SWAT-95-77. (use
  OLATEX (preferred) or LATEX)","J.Phys.A28:5843-5882,1995","10.1088/0305-4470/28/20/016",,"hep-th",,"  Generalized KdV hierarchies associated by Drinfeld-Sokolov reduction to grade
one regular semisimple elements from non-equivalent Heisenberg subalgebras of a
loop algebra $\G\otimes{\bf C}[\lambda,\lambda^{-1}]$ are studied. The graded
Heisenberg subalgebras containing such elements are labelled by the regular
conjugacy classes in the Weyl group ${\bf W}(\G)$ of the simple Lie algebra
$\G$. A representative $w\in {\bf W}(\G)$ of a regular conjugacy class can be
lifted to an inner automorphism of $\G$ given by $\hat w=\exp\left(2i\pi {\rm
ad I_0}/m\right)$, where $I_0$ is the defining vector of an $sl_2$ subalgebra
of $\G$.The grading is then defined by the operator $d_{m,I_0}=m\lambda {d\over
d\lambda} + {\rm ad} I_0$ and any grade one regular element $\Lambda$ from the
Heisenberg subalgebra associated to $[w]$ takes the form $\Lambda = (C_+
+\lambda C_-)$, where $[I_0, C_-]=-(m-1) C_-$ and $C_+$ is included in an
$sl_2$ subalgebra containing $I_0$. The largest eigenvalue of ${\rm ad}I_0$ is
$(m-1)$ except for some cases in $F_4$, $E_{6,7,8}$. We explain how these Lie
algebraic results follow from known results and apply them to construct
integrable systems.If the largest ${\rm ad} I_0$ eigenvalue is $(m-1)$, then
using any grade one regular element from the Heisenberg subalgebra associated
to $[w]$ we can construct a KdV system possessing the standard $\W$-algebra
defined by $I_0$ as its second Poisson bracket algebra. For $\G$ a classical
Lie algebra, we derive pseudo-differential Lax operators for those
non-principal KdV systems that can be obtained as discrete reductions of KdV
systems related to $gl_n$. Non-abelian Toda systems are also considered.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 13:02:58 GMT""},{""version"":""v2"",""created"":""Thu, 8 Jun 1995 18:26:54 GMT""}]","2010-11-01"
"hep-th/9410204",,"J.S.Dowker and J.S.Apps","Functional determinants and effective actions:Corrigenda","3 pages, uses JyTeX",,,,"hep-th",,"  Some calculational errors in expressions derived previously by the first
author for the effective action, or equivalently for the functional
determinant, on sectors of a spherical cap are corrected. The formula for the
change in the effective action under Weyl rescalings in the three dimensional
case is also amended.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 08:51:44 GMT""}]","2007-05-23"
"hep-th/9410205","Alexander Niemeyer","Z. Lalak, A. Niemeyer and H.P. Nilles","S-Dual Gaugino Condensation and Supersymmetry Breaking","11 pages (LaTeX, uses epsf-macros), TUM-HEP-202/94","Phys.Lett. B349 (1995) 99-104","10.1016/0370-2693(95)00216-8",,"hep-th",,"  The principle of S-duality is used to incorporate gaugino condensates into
effective supergravity (superstring) Lagrangians. We discuss two
implementations of S-duality which differ in the way the coupling constant is
transformed. Both solve the problem of the runaway dilaton and lead to
satisfactory supersymmetry breaking in models with a {\em single} gaugino
condensate. The breakdown of supersymmetry is intimately related to a
nontrivial transformation of the condensate under T-duality.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 11:15:54 GMT""}]","2009-10-28"
"hep-th/9410206",,"G. Aldazabal, A. Font, L.E. Ibanez and A.M. Uranga","String GUTs","40 pages, Latex. Two references modified, few other unimportant
  changes","Nucl.Phys.B452:3-44,1995","10.1016/0550-3213(95)00282-W","FTUAM-94-28","hep-th hep-ph",,"  Standard SUSY-GUTs such as those based on $SU(5)$ or $SO(10)$ lead to
predictions for the values of $\alpha _s$ and $sin^2\theta _W$ in amazing
agreement with experiment. In this article we investigate how these models may
be obtained from string theory, thus bringing them into the only known
consistent framework for quantum gravity. String models with matter in standard
GUT representations require the realization of affine Lie algebras at higher
levels. We start by describing some methods to build level $k=2$ orbifold
string models with gauge groups $SU(5)$ or $SO(10)$. We present several
examples and identify generic features of the type of models constructed.
Chiral fields appropriate to break the symmetry down to the standard model
generically appear in the massless spectrum. However, unlike in standard
SUSY-GUTs, they often behave as string moduli, i.e., they do not have
self-couplings. We also discuss briefly the doublet-triplet Higgs splitting. We
find that, in some models, built-in sliding-singlet type of couplings exist.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 14:21:56 GMT""},{""version"":""v2"",""created"":""Mon, 28 Nov 1994 13:44:10 GMT""}]","2009-10-09"
"hep-th/9410207",,"M.Pitk\""anen","Diff invariant Poincare transformations as deformation of Poincare
  algebra","8 pages,latex",,,,"hep-th gr-qc",,"  The concept of $Diff^4$ invariant Poincare transformations is a cornerstone
of T(opological) G(eometro)D(ynamics). This concept makes it possible to
understand the concept of subjective time and irreversibelity as well as
nontriviality of S-matrix at quantum level. In this paper the possibility of
identifying $Diff^4$ invariant Poincare transformations as the recently
discovered Lorentz invariant deformation of Poincare algebra with the basic
property that 'new' energy is some function of 'old' energy, is considered.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:17:59 GMT""}]","2007-05-23"
"hep-th/9410208","Pavel Etingof","Pavel Etingof","On spectral theory of quantum vertex operators","14 pages",,,,"hep-th math.QA",,"  In this note we prove the Davies-Foda-Jimbo-Miwa-Nakayashiki conjecture on
the asymptotics of the composition of n quantum vertex operators for the
quantum affine algebra U_q(\hat sl_2), as n goes to infinity. For this purpose
we define and study the leading eigenvalue and eigenvector of the product of
two components of the quantum vertex operator. This eigenvector and the
corresponding eigenvalue were recently computed by M.Jimbo. The results of his
computation are given in Section 4.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:29:01 GMT""}]","2008-02-03"
"hep-th/9410209","Jean-Bernard Zuber","V. B. Petkova and J.-B. Zuber","On Structure Constants of $sl(2)$ Theories","32 pages","Nucl.Phys.B438:347-372,1995","10.1016/0550-3213(94)00594-5","ASI-TPA/20/94, SPhT 94/113","hep-th math.QA",,"  Structure constants of minimal conformal theories are reconsidered. It is
shown that {\it ratios} of structure constants of spin zero fields of a
non-diagonal theory over the same evaluated in the diagonal theory are given by
a simple expression in terms of the components of the eigenvectors of the
adjacency matrix of the corresponding Dynkin diagram. This is proved by
inspection, which leads us to carefully determine the {\it signs} of the
structure constants that had not all appeared in the former works on the
subject. We also present a proof relying on the consideration of lattice
correlation functions and speculate on the extension of these identities to
more complicated theories.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:37:45 GMT""}]","2010-11-01"
