"alg-geom/9410006",,"Barbara Fantechi, Rita Pardini","Automorphisms and moduli spaces of varieties with ample canonical class
  via deformations of abelian covers","30 pages, LaTeX",,,,"alg-geom math.AG",,"  By a recent result of Viehweg, projective manifolds with ample canonical
class have a coarse moduli space, which is a union of quasiprojective
varieties. In this paper, we prove that there are manifolds with ample
canonical class that lie on arbitrarily many irreducible components of the
moduli; moreover, for any finite abelian group $G$ there exist infinitely many
components $M$ of the moduli of varieties with ample canonical class such that
the generic automorphism group $G_M$ is equal to $G$. In order to construct the
examples, we use abelian covers, i.e. Galois cover whose Galois group is finite
and abelian. We prove two results about abelian covers: first, that if the
building data are sufficiently ample, then the natural deformations surject on
the Kuranishi family of $X$; second, that if the building data are sufficiently
ample and generic, then $Aut(X)=G$.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 15:51:18 GMT""}]","2008-02-03"
"hep-th/9410068","Alok Kumar","Alok Kumar and Koushik Ray","Thermodynamics of Two Dimensional Black Holes","18 pages (One uncoded postscript file for figure appended),
  IP/BBSR/94-54","Phys.Lett. B351 (1995) 431-438","10.1016/0370-2693(95)00374-T",,"hep-th gr-qc",,"  Thermodynamic relations for a class of 2D black holes are obtained
corresponding to observations made from finite spatial distances. We also study
the thermodynamics of the charged version of the Jackiw-Teitelboim black holes
found recently by Lowe and Strominger. Our results corroborate, in appropriate
limits, to those obtained previously by other methods. We also analyze the
stability of these black holes thermodynamically.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 23:12:36 GMT""}]","2009-10-28"
"hep-th/9410069",,"Tom\'as Ort\'in","Duality Versus Supersymmetry","Latex file, 3 pages, Queen Mary and Westfield Report QMW-PH-94-35
  (Contribution to the 7th Marcel Grossman Meeting on General Relativity,
  Stanford, July 1994)",,,,"hep-th",,"  We study the effect of S-duality and target-space duality tranformations of
$N=4,d=4$ and $N=1,d=10$ supersymmetric configurations on their Killing
spinors. We find that, under reasonable assumptions, the dual configurations
are also supersymmetric and that the Killing spinors transform in a simple way.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 21:02:34 GMT""}]","2016-08-14"
"hep-th/9410070","Marcio J. Martins","M.J. Martins","Exact solution of the simplest super-orthosymplectic invariant magnet","8 pages, UFSCARF-TH-12","Phys.Rev.Lett. 74 (1995) 3316-3318","10.1103/PhysRevLett.74.3316",,"hep-th",,"  We present the exact solution of the $Osp(1|2)$ invariant magnet by the Bethe
ansatz approach. The associated Bethe ansatz equation exhibit a new feature by
presenting an explicit and distinct phase behaviour in even and odd sectors of
the theory. The ground state, the low-lying excitations and the critical
properties are discussed by exploiting the Bethe ansatz solution.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 20:22:53 GMT""}]","2009-10-28"
"hep-th/9410071","Marcio J. Martins","M.J. Martins and P.B. Ramos","A note on graded Yang-Baxter solutions as braid-monoid invariants","7 pages, UFSCARF-TH-94-11","J.Phys.A27:L703-L708,1994","10.1088/0305-4470/27/18/010",,"hep-th",,"  We construct two $Osp(n|2m)$ solutions of the graded Yang-Baxter equation by
using the algebraic braid-monoid approach. The factorizable S-matrix
interpretation of these solutions is also discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 20:23:20 GMT""}]","2014-11-18"
"hep-th/9410073","Gary Horowitz","G. W. Gibbons, Gary T. Horowitz and P. K. Townsend","Higher-dimensional resolution of dilatonic black hole singularities","27 pages, R/94/28, UCSBTH-94-35 (Comments added to the discussion
  section)","Class.Quant.Grav.12:297-318,1995","10.1088/0264-9381/12/2/004",,"hep-th gr-qc",,"  We show that the four-dimensional extreme dilaton black hole with dilaton
coupling constant $a= \sqrt{p/(p+2)}$ can be interpreted as a {\it completely
non-singular}, non-dilatonic, black $p$-brane in $(4+p)$ dimensions provided
that $p$ is {\it odd}. Similar results are obtained for multi-black holes and
dilatonic extended objects in higher spacetime dimensions. The non-singular
black $p$-brane solutions include the self-dual three brane of ten-dimensional
N=2B supergravity and a multi-fivebrane solution of eleven-dimensional
supergravity. In the case of a supersymmetric non-dilatonic $p$-brane solution
of a supergravity theory, we show that it saturates a bound on the energy per
unit $p$-volume.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 23:32:20 GMT""},{""version"":""v2"",""created"":""Mon, 17 Oct 1994 21:06:17 GMT""}]","2010-04-06"
"hep-th/9410074","John Uglum","L. Susskind and J. Uglum","Black Holes, Interactions, and Strings","SU-ITP-94-35, 18 pages plus 6 figures, phyzzx",,,,"hep-th gr-qc",,"  We give some examples in which neglecting the interactions between particles
or truncating the description of a black hole to the spherically symmetric mode
leads to unphysical results. The restoration of the interactions and higher
angular momentum modes resolves these problems. It is argued that mathematical
consistency of the description of black holes in the Schwarzschild coordinate
system requires that we neither truncate the theory nor ignore the
interactions. We present two hypotheses on how matter must behave under large
Lorentz boosts in order for black holes to be consistent with quantum
mechanics. Finally, we argue that string theory exhibits these properties. Talk
presented at the PASCOS meeting in Syracuse, New York, May 1994.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 00:42:24 GMT""}]","2009-09-25"
"hep-th/9410075","M. Yoshimura","M.Yoshimura","Time Evolution of Pure Quantum State and Emergence of A Nearly Thermal
  State","10 pages, TU/94/468",,,,"hep-th gr-qc",,"  Dynamical evolution of the quantum ground state (vacuum) is analyzed for time
variant harmonic oscillators characterized by asymptotically constant
frequency. The oscillatory density matrix in the asymptotic future is uniquely
determined by a constant number of produced particles, independent of other
details of transient behavior at intermediate times. Time average over one
oscillation period yields a classical, in some cases even an almost thermal
behavior. In an analytically soluble model the created particle number obeys
the Planck distribution in a parameter limit. This suggests a new way of
understanding the Gibbons-Hawking temperature in the de Sitter spacetime.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 07:24:30 GMT""}]","2007-05-23"
"hep-th/9410076","Yoonbai Kim","Yoonbai Kim","Bubble with Global Monopole","latex with 3 latex figures (use biglatex command) 14 pages,
  DPNU-94-39",,,,"hep-th",,"  The first-order phase transition of $O(3)$ symmetric model is considered in
the limit of high temperature. It is shown that this model supports a new
bubble solution where the global monopole is formed at the center of the buble
in addition to the ordinary $O(3)$ bubble. Though the free energy of it is
larger than that of normal bubble, the production rate can considerably large
at high temperatures.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 09:14:43 GMT""}]","2016-09-06"
"hep-th/9410077","Wolfgang Eholzer","Wolfgang Eholzer and Nils-Peter Skoruppa","Conformal Characters and Theta Series","15 pages (AMS TeX), preprint MSRI, BONN-TH-94-24","Lett. Math. Phys. 35 (1995) 197","10.1007/BF00761292",,"hep-th",,"  We describe the construction of vector valued modular forms transforming
under a given congruence representation of the modular group SL(2,Z) in terms
of theta series. We apply this general setup to obtain closed and easily
computable formulas for conformal characters of rational models of W-algebras.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 10:40:32 GMT""}]","2015-06-26"
"hep-th/9410078",,"J. Gamboa","A Model of Two-Dimensional Quantum Gravity in the Strong Coupling Regime","10pp., Revtex, Si/94/06","Phys.Rev.Lett.74:1900-1903,1995","10.1103/PhysRevLett.74.1900",,"hep-th gr-qc",,"  A model of two-dimensional quantum gravity that is the analog of the
tensionless string is proposed. The gravitational constant ($k$) is the analog
of the Regge slope ($\alpha^{'}$) and it shows that when $k \rightarrow
\infty$, $2D$ quantum gravity can be understood as a tensionless string theory
embeded in a two-dimensional target space. The temporal coordinate of the
target space play the role of time and the wave function can be interpreted as
in standard quantum mechanics.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 13:13:58 GMT""}]","2011-07-19"
