"alg-geom/9410001","Victor Batyrev","Victor V. Batyrev and Dimitrios I. Dais","Strong McKay Correspondence, String-theoretic Hodge Numbers and Mirror
  Symmetry","42 pages, Latex",,,,"alg-geom hep-th math.AG",,"  In the revised version of the paper, we correct misprints and add some new
statements.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 20:42:03 GMT""},{""version"":""v2"",""created"":""Tue, 22 Nov 1994 22:27:36 GMT""}]","2008-02-03"
"hep-ph/9410222","Christoph Best","S. Guellenstern, P. Gornicki, L. Mankiewicz, and A. Schaefer","Monte Carlo Simulations for RHIC Spin Physics","22pp, 21 figs, LaTeX with uuencoded EPS","Phys.Rev.D51:3305-3322,1995","10.1103/PhysRevD.51.3305",,"hep-ph",,"  Direct photon production in longitudinally polarised proton-proton collisions
offers the most direct and unproblematic possibility to determine the polarised
gluon distribution of a proton. This information could play a major role for
improving our understanding of the nucleon structure and QCD in general. It is
hoped that such experiments will be done at RHIC. We present results of
detailed Monte Carlo simulations using a code called {\sc SPHINX}. We find that
for RHIC energies and large gluon polarisation the Compton graph dominates
allowing for a direct test of $\Delta g$. Triggering on away-side jets with the
envisaged jet-criteria should allow to obtain more detailed information on
$\Delta g(x)$. The photon asymmetry resulting from the asymmetry of produced
$\pi^0$'s provides an additional signal, which is complementary to the other
two. For small gluon polarisation, i.e. $\Delta g \le 0.5$ or very soft
polarised gluon-distributions the envisaged experiments will require a highly
sophisticated simulation and large statistics to extract more than upper bounds
for $|\Delta g(x)|$.}
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 10:12:09 GMT""}]","2010-11-01"
"hep-ph/9410223","Christoph Best","S. Guellenstern, P. Gornicki, L. Mankiewicz, A. Schaefer","Sphinx: Monte Carlo Program for Polarised Nucleon-Nucleon Collisions","33pp, LaTeX","Comput.Phys.Commun. 87 (1995) 416-431","10.1016/0010-4655(95)00014-7",,"hep-ph",,"  This program can be used to simulate polarised nucleon - nucleon collisions
at high energies. Spins of colliding particles are taken into account. The
program allows to calculate cross sections for various processes.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 10:22:39 GMT""}]","2009-10-28"
"hep-ph/9410224","Iiro Pentti Vilja","K. Enqvist and I. Vilja","Induced Nucleation in Weak First Order Phase Transition","11 pages in latex, HU-TFT-94-41 and TURKU-FL-P13","Phys.Lett.B344:98-104,1995","10.1016/0370-2693(94)01483-S",,"hep-ph",,"  We study induced nucleation by considering the accumulation rate of shrinking
subcritical bubbles. We derive the probability for a collection of subcritical
bubbles to form a critical bubble, and argue that this mechanism could well
play a role in electroweak phase transitions if the Higgs is heavy.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 11:27:35 GMT""}]","2009-09-25"
"hep-ph/9410225",,"D. Comelli, M. Pietroni and A. Riotto","Implications of a light stop for the spontaneous CP breaking at finite
  temperature in a nonminimal supersymmetric standard model","11 pages, DFPD/TH/51/94, 2 figures available upon e-mail request","Phys.Lett.B343:207-213,1995","10.1016/0370-2693(94)01427-E",,"hep-ph",,"  We study the implications of a light stop for the spontaneous CP breaking at
finite temperature in the Higgs sector of the Minimal Supersymmetric Standard
Model with a gauge singlet. Assuming CP conservation at zero temperature, we
show that the presence of a large mixing between the left- and the right-handed
stops can trigger easily the spontaneous breaking of CP inside the bubbles
nucleated during the electroweak phase transition. This allows to avoid the
fine-tuning among the vacuum expectation values in the region of interest for
the generation of the baryon asymmetry, namely the bubble walls, which has been
recently analized.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:24:22 GMT""}]","2010-11-01"
"hep-ph/9410227","Jukka Sirkka","J. Sirkka","Updated Parameter Limits of the Left-Right Symmetric Model","19 pages, TURKU-FL-P12","Phys.Lett. B344 (1995) 233-239","10.1016/0370-2693(94)01558-T",,"hep-ph",,"  Bounds of the neutral current sector parameters of the left-right symmetric
model are investigated taking into account the low-energy data, LEP-data and
CDF-result for the top mass $m_t=174\pm 10^{+13}_{-12}$. It is found that in
the case of the minimal scalar sector with a left- and a right-handed triplet
and a bidoublet Higgses the mass of the heavy neutral gauge boson $M_{Z'}$
should be larger than 1.2 TeV, assuming equal left- and right-handed gauge
couplings and a negligible VEV of the left-handed triplet. For larger values of
the ratio $g_L/g_R$ smaller values of $M_{Z'}$ are allowed.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:28:00 GMT""}]","2009-10-28"
"hep-th/9410015","Hiroshi Itoyama","M. Anazawa, A. Ishikawa and H. Itoyama","Continuum Annulus Amplitude from the Two-Matrix Model","9 pages, OU-HET 190, revised version. A part of the conclusions has
  been corrected. A new result on integral representation of the annulus
  amplitudes has been added","Phys.Rev. D52 (1995) 6016-6019","10.1103/PhysRevD.52.6016",,"hep-th",,"  An explicit expression for continuum annulus amplitudes having boundary
lengths $\ell_{1}$ and $\ell_{2}$ is obtained from the two-matrix model for the
case of the unitary series; $(p,q) = (m + 1, m)$. In the limit of vanishing
cosmological constant, we find an integral representation of these amplitudes
which is reproduced, for the cases of the $m = 2~(c=0)$ and the $m \rightarrow
\infty~(c=1)$, by a continuum approach consisting of quantum mechanics of loops
and a matter system integrated over the modular parameter of the annulus. We
comment on a possible relation to the unconventional branch of the Liouville
gravity.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 02:06:07 GMT""},{""version"":""v2"",""created"":""Sat, 17 Dec 1994 07:46:15 GMT""}]","2009-10-28"
"hep-th/9410021","S. Pakuliak","S. Pakuliak","On the Bosonization of $L$-Operators for Quantum Affine Algebra
  $U_q(sl_2)$","15 p., LaTeX, Preprint DFTUZ/94/15","Theor.Math.Phys.104:810-822,1996; Teor.Mat.Fiz.104N1:64-77,1995","10.1007/BF02066656",,"hep-th",,"  Some relations between different objects associated with quantum affine
algebras are reviewed. It is shown that the Frenkel-Jing bosonization of a new
realization of quantum affine algebra $\Uqa$ as well as bosonization of
$L$-operators for this algebra can be obtained from Zamolodchikov-Faddeev
algebras defined by the quantum $R$-matrix satisfying unitarity and
crossing-symmetry conditions. (Talk given at the International Coference
""Modern Problems of Quantum Field Theory, Quantum Gravity and Strings"",
Alushta, June 10--20, 1994.)
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 18:24:04 GMT""}]","2011-04-15"
"hep-th/9410022","Vyjayanthi Chari","V. Chari","Minimal Affinizations of Representations of Quantum Groups: the rank 2
  case","19pages",,,,"hep-th",,"  We define the notion of a minimal affinization of an irreducible
representation of $U_q(g)$. We prove that minimal affinizations exist and
establish their uniqueness in the rank 2 case.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 21:07:33 GMT""}]","2007-05-23"
"hep-th/9410023","Tatsuo Kobayashi","T.Kobayashi and C.S.Lim","CP in Orbifold Models","11 pages, KOBE-TH-94-06, Kanazawa-94-20, Latex file","Phys.Lett.B343:122-127,1995","10.1016/0370-2693(94)01447-K",,"hep-th",,"  We study CP in orbifold models. It is found that the orbifolds always have
some automorphisms as CP symmetry. The symmetries are restricted non-trivially
due to geometrical structure of the orbifolds. Explicit analysis on Yukawa
couplings also shows that CP is not violated in orbifold models.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 04:48:29 GMT""}]","2010-11-01"
"hep-th/9410026","Alistair Macintyre","A. MacIntyre","Integrable boundary conditions for classical sine-Gordon theory","10 pages, DTP/94-39","J.Phys. A28 (1995) 1089-1100","10.1088/0305-4470/28/4/029",,"hep-th",,"  The possible boundary conditions consistent with the integrability of the
classical sine-Gordon equation are studied. A boundary value problem on the
half-line $x\leq 0$ with local boundary condition at the origin is considered.
The most general form of this boundary condition is found such that the problem
be integrable. For the resulting system an infinite number of involutive
integrals of motion exist. These integrals are calculated and one is identified
as the Hamiltonian. The results found agree with some recent work of Ghoshal
and Zamolodchikov.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:33:10 GMT""}]","2009-10-28"
"hep-th/9410027","Martin Koehler","Martin Koehler","New Examples for Wightman Fields on a Manifold","16","Class.Quant.Grav.12:1413-1428,1995; Erratum-ibid.12:2355,1995","10.1088/0264-9381/12/6/008","DESY 94-161","hep-th",,"  The product of two free scalar fields on a manifold is shown to be a well
defined operator valued distribution on the GNS Hilbert space of a globally
Hadamard product state. Viewed as a new field all n-point distributions exist,
giving a new example for a Wightman field on a manifold.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 12:48:34 GMT""}]","2010-04-06"
"nucl-th/9410005","Berndt Mueller","Berndt Mueller","Physics and Signatures of the Quark - Gluon Plasma","20 pages, REVTeX. DUKE-TH-94-76","Rept.Prog.Phys.58:611-636,1995","10.1088/0034-4885/58/6/002",,"nucl-th hep-ph",,"  This is a critical review of the various observables that have been proposed
to signal the change from dense hadronic matter to a quark-gluon plasma at high
temperature or baryon density. I discuss current models of quark-gluon plasma
formation in relativistic heavy ion collisions and analyze the virtues and
ambiguities of various signatures. [The author especially invites comments by
interested readers concerning possible inaccuracies or omissions before this
review appears in print.]
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 17:54:31 GMT""}]","2014-11-18"
"nucl-th/9410006",,"Sadhan K. Adhikari and Lauro Tomio","Relativistic Effect on Low-Energy Nucleon-Deuteron Scattering","pages: 21, LaTex text + 7 ps-figures at the end","Phys.Rev.C51:70-77,1995","10.1103/PhysRevC.51.70",,"nucl-th",,"  The relativistic effect on differential cross sections, nucleon-to-nucleon
and nucleon-to-deuteron polarization transfer coefficients, and the spin
correlation function, of nucleon-deuteron elastic scattering is investigated
employing several three-dimensional relativistic three-body equations and
several nucleon-nucleon potentials. The polarization transfer coefficients are
found to be sensitive to the details of the nucleon-nucleon potentials and the
relativistic dynamics employed, and prefer trinucleon models with the correct
triton binding energy. (To appear in Phys. Rev. C)
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 10:12:00 GMT""},{""version"":""v2"",""created"":""Wed, 5 Oct 1994 16:53:00 GMT""}]","2009-09-25"
"nucl-th/9410007",,"Karl Gr\""un, Rudolf Pichler and Heinz Oberhummer","Radiative capture on neutron rich nuclei","5 pages + 1 figure (availbale on request), LaTex, IK-TUW-Preprint
  9406402",,"10.1117/12.204196",,"nucl-th",,"  The $({\rm n},\gamma)$--cross sections for neutron--rich oxygen isotopes have
been calculated in the direct capture model. The experimental data for
${^{18}{\rm O}}({\rm n},\gamma){^{19}{\rm O}}$ can be reproduced using this
model. Compared to previous work the cross section for ${^{19-21}{\rm O}}({\rm
n},\gamma){^{20-22}{\rm O}}$ are enhanced considerably by factors between four
and 300.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 15:15:49 GMT""}]","2015-06-26"
"nucl-th/9410008",,"Mihai Horoi, Vladimir Zelevinsky and B. Alex Brown","Chaos {\sl vs} Thermalization in the Nuclear Shell Model","RevTeX, 12 pages and 4 figures available upon request","Phys.Rev.Lett.74:5194-5197,1995","10.1103/PhysRevLett.74.5194",,"nucl-th",,"  Generic signatures of quantum chaos found in realistic shell model
calculations are compared with thermal statistical equilibrium. We show the
similarity of the informational entropy of individual eigenfunctions in the
mean field basis to the thermodynamical entropy found from the level density.
Mean occupation numbers of single-particle orbitals agree with the Fermi-Dirac
distribution despite the strong nucleon interaction.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 15:22:19 GMT""}]","2009-09-25"
"nucl-th/9410009",,"Mihai Horoi","Parity Mixed Doublets in A = 36 Nuclei","RevTeX, 17 pages; to appear in Phys. Rev. C","Phys.Rev.C50:2392-2397,1994","10.1103/PhysRevC.50.2392",,"nucl-th",,"  The $\gamma$-circular polarizations ($P_{\gamma}$) and asymmetries
($A_{\gamma}$) of the parity forbidden M1 + E2 $\gamma$-decays: $^{36}Cl^{\ast}
(J^{\pi} = 2^{-}; T = 1; E_{x} = 1.95 $ MeV) $\rightarrow$ $^{36}Cl (J^{\pi} =
2^{+}; T = 1; g.s.)$ and $^{36}Ar^{\ast} (J^{\pi} = 2^{-}; T = 0; E_{x} = 4.97
$ MeV) $\rightarrow$ $^{36}Ar^{\ast} (J^{\pi} = 2^{+}; T = 0; E_{x} = 1.97 $
MeV) are investigated theoretically. We use the recently proposed
Warburton-Becker-Brown shell-model interaction. For the weak forces we discuss
comparatively different weak interaction models based on different assumptions
for evaluating the weak meson-hadron coupling constants. The results determine
a range of $P_{\gamma}$ values from which we find the most probable values:
$P_{\gamma}$ = $1.1 \cdot 10^{-4}$ for $^{36}Cl$ and $P_{\gamma}$ = $3.5 \cdot
10^{-4}$ for $^{36}Ar$.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 15:36:22 GMT""}]","2008-11-26"
"nucl-th/9410010",,"Mihai Horoi","Staggering of the Nuclear Charge Radii in a Superfluid Model with Good
  Particle Number","RevTex, 19 pages and 4 postscript figures uuencoded and attached. To
  appear in Phys. Rev. C","Phys.Rev.C50:2834-2840,1994","10.1103/PhysRevC.50.2834",,"nucl-th",,"  A simple superfluid model with an effective four body interaction of monopole
pairing type is used to explain the staggering of the charge radii in the
isotope chains. The contribution of deformation and of the particle number
projection are analyzed for the Sn isotopes. Good results are obtained for the
staggering parameters and neutron pairing energies.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 15:55:37 GMT""}]","2009-09-25"
