"adap-org/9409003","Denis Juriev","Denis Juriev (Mathematical Division, Research Institute for System
  Studies, Russian Academy of Sciences, Moscow)","Towards A Description Of Interactive Psychoinformation Systems.
  Preliminary Remarks. (K Opisaniyu Interaktivnyh Psihoinformatsionnyh Sistem.
  Predvaritel'Nye Zamechaniya)","the text is written in Russian in AmSTeX with cyrillic fonts, 3 pp",,,,"adap-org nlin.AO",,"  An approach to description of interactive psychoinformation systems, based on
the concept of ""virtualization"" and essentially using the technique of the
""secondary image synthesis"" (adap-org/9409002), is sketched. The article has a
rather discussional character and maybe considered as a comment to some
statements of the introduction to the author's paper ""Complex projective
geometry and quantum projective field theory"" (Theor. Math. Phys., 1994).
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:37:06 GMT""},{""version"":""v2"",""created"":""Thu, 22 Sep 1994 13:45:00 GMT""},{""version"":""v3"",""created"":""Mon, 7 Nov 1994 08:33:30 GMT""}]","2008-02-03"
"hep-ph/9409310",,"Enrico Nardi, Esteban Roulet and Daniele Tommasini","New Neutral Gauge Bosons and New Heavy Fermions in the Light of the New
  LEP Data","12 pages (including two tables), revised version, accepted for
  publication in Phys. Lett. B. Includes a discussion of the m_t and alpha_s
  dependence of the bounds on the Z' mass and the fermion mixings","Phys.Lett.B344:225-232,1995","10.1016/0370-2693(95)91542-M","CERN-TH.7443/94, UM-TH-94-34","hep-ph",,"  We derive limits on a class of new physics effects that are naturally present
in grand unified theories based on extended gauge groups, and in particular in
$E_6$ and $SO(10)$ models. We concentrate on $i$) the effects of the mixing of
new neutral gauge bosons with the standard $Z_0$; $ii$) the effects of a mixing
of the known fermions with new heavy states. We perform a global analysis
including all the LEP data on the $Z$ decay widths and asymmetries collected
until 1993, the SLC measurement of the left--right asymmetry, the measurement
of the $W$ boson mass, various charged current constraints, and the low energy
neutral current experiments. We use a top mass value in the range announced by
CDF. We derive limits on the $Z_0$--$Z_1$ mixing, which are always $\lsim 0.01$
and are at the level of a few {\it per mille} if some specific model is
assumed. Model-dependent theoretical relations between the mixing and the mass
of the new gauge boson in most cases require $M_{Z'} > 1\,$TeV. Limits on
light--heavy fermion mixings are also largely improved with respect to previous
analyses, and are particularly relevant for a class of models that we discuss.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:22:12 GMT""},{""version"":""v2"",""created"":""Mon, 12 Dec 1994 16:25:01 GMT""}]","2010-11-01"
"hep-ph/9409311","Rachel Lumpkin","A.D. Martin (Department of Physics, University of Durham)","Low x phenomena","(Invited talk given at ICHEP, Glasgow, July 1994) 4 pages in LATEX
  with 4 figures. (ichep style file appended to latex file)",,,,"hep-ph",,"  We review recent developments in the application of perturbative QCD to
phenomena at small x.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 15:24:39 GMT""},{""version"":""v2"",""created"":""Thu, 15 Sep 1994 08:03:47 GMT""}]","2009-09-25"
"hep-ph/9409312","Stephen Parke, Fermilab","Stephen Parke","Summary of Top Quark Physics","Contribution to DPF'94, Albuquerque, August 2-6, 1994. Latex (macro
  world_sci.sty required), 5 pages + 3 uuencoded figures, FERMILAB-Conf/322-T",,,,"hep-ph",,"  I briefly review standard top quark physics at hadron colliders and summarize
the contributions to this conference. The possibility of new mechanisms for
$t\bar{t}$ production are also discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 15:42:15 GMT""}]","2007-05-23"
"hep-th/9409073","Eamonn Andrew Gaffney","E.A.Gaffney","Hard Thermal Loops, Weak Gravitational Fields and The Quark Gluon Energy
  Momentum Tensor","26, DAMTP 94-74","Nucl.Phys. B442 (1995) 268-300","10.1016/0550-3213(95)00048-8",,"hep-th",,"  We use an auxiliary field construction to discuss the hard thermal loop
effective action associated with massless thermal SU(N) QCD interacting with a
weak gravitational field. It is demonstrated that the previous attempt to
derive this effective action has only been partially successful and that it is
presently only known to first order in the graviton coupling constant. This is
still sufficient to enable a calculation of a symmetric traceless quark gluon
plasma energy momentum tensor. Finally, we comment on the conserved currents
and charges of the derived energy momentum tensor.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 21:31:37 GMT""}]","2009-10-28"
"hep-th/9409074","Kiyoshi Ezawa","Kiyoshi Ezawa","Chern-Simons Quantization of (2+1)-Anti-De Sitter Gravity on a Torus","latex 28 pages","Class.Quant.Grav.12:373-392,1995","10.1088/0264-9381/12/2/007",,"hep-th",,"  Chern-Simons formulation of 2+1 dimensional Einstein gravity with a negative
cosmological constant is investigated when the spacetime has the topology $
R\times T^{2}$. The physical phase space is shown to be a direct product of two
sub-phase spaces each of which is a non-Hausdorff manifold plus a set with
nonzero codimensions. Spacetime geometrical interpretation of each point in the
phase space is also given and we explain the 1 to 2 correspondence with the ADM
formalism from the geometrical viewpoint. In quantizing this theory, we
construct a ""modified phase space"" which is a cotangnt bundle on a torus. We
also provide a modular invariant inner product and investigate the relation to
the quantum theory which is directly related to the spinor representation of
the ADM formalism. (This paper is the revised version of a previous
paper(hep-th/9312151). The wrong discussion on the topology of the phase space
is corrected.)
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 06:56:45 GMT""}]","2010-04-06"
"hep-th/9409075","Benjamin Enriquez","B. Enriquez and B.L. Feigin","Integrals of motion of classical lattice sine-Gordon system","(references added)","Theor.Math.Phys.103:738-756,1995; Teor.Mat.Fiz.103:507-528,1995","10.1007/BF02065872",,"hep-th",,"  We compute the local integrals of motions of the classical limit of the
lattice sine-Gordon system, using a geometrical interpretation of the local
sine-Gordon variables. Using an analogous description of the screened local
variables, we show that these integrals are in involution. We present some
remarks on relations with the situation at roots of 1 and results on another
latticisation (linked to the principal subalgebra of $\widehat{s\ell}_{2}$
rather than the homogeneous one). Finally, we analyse a module of ``screened
semilocal variables'', on which the whole $\widehat{s\ell}_{2}$ acts.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 13:49:40 GMT""},{""version"":""v2"",""created"":""Fri, 16 Sep 1994 12:58:04 GMT""}]","2011-04-20"
"hep-th/9409076",,"G. Delfino, G. Mussardo and P. Simonetti","Scattering Theory and Correlation Functions in Statistical Models with a
  Line of Defect","50 pages, LATEX file, ISAS/EP/94-123","Nucl.Phys. B432 (1994) 518-550","10.1016/0550-3213(94)90032-9",,"hep-th cond-mat",,"  The scattering theory of the integrable statistical models can be generalized
to the case of systems with extended lines of defect. This is done by adding
the reflection and transmission amplitudes for the interactions with the line
of inhomegeneity to the scattering amplitudes in the bulk. The factorization
condition for the new amplitudes gives rise to a set of Reflection-Transmission
equations. The solutions of these equations in the case of diagonal $S$-matrix
in the bulk are only those with $S =\pm 1$. The choice $S=-1$ corresponds to
the Ising model. We compute the exact expressions of the transmission and
reflection amplitudes relative to the interaction of the Majorana fermion of
the Ising model with the defect. These amplitudes present a weak-strong duality
in the coupling constant, the self-dual points being the special values where
the defect line acts as a reflecting surface. We also discuss the bosonic case
$S=1$ which presents instability properties and resonance states. Multi-defect
systems which may give rise to a band structure are also considered. The exact
expressions of correlation functions is obtained in terms of Form Factors of
the bulk theory and matrix elements of the defect operator.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 08:53:19 GMT""}]","2009-10-28"
"hep-th/9409077",,"Harald Skarke","A comment on ``On Non-Abelian Duality'' by Enrique \'Alvarez, Luis
  \'Alvarez-Gaum\'e and Yolanda Lozano","2 pages, Latex, ITP-UH-14/94",,,,"hep-th",,"  The paper commented upon gives the impression that whether the gauged version
of a sigma model gives rise to the original or the dual model depends on the
choice of gauge fixing. It is demonstrated here that this is not so.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:02:07 GMT""}]","2007-05-23"
"hep-th/9409078","Theordpt","A.A. Deriglazov and A.V. Galajinsky","(1,0) superparticle in a curved background and the full set of (1,0)
  supergravity constraints","9 pages, TEX, report2",,,,"hep-th",,"  The classical (1,0) superparticle in a curved superspace is considered. The
minimal set of constraints to be imposed on the background for correct
inclusion of interaction is found. The most general form of Siegel-type local
fermionic symmetry is presented. Local algebra of the theory is shown to be
closed off-shell and nontrivially deformed as compared to the flat one. The
requirements leading to the full set of (1,0) supergravity constraints are
presented.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:50:29 GMT""}]","2007-05-23"
"hep-th/9409079","Jens-U. H. Petersen","Jens-U. H. Petersen","Representations at a Root of Unity of q-Oscillators and Quantum
  Kac-Moody algebras","107 pages. PhD Thesis, University of London, July 1994. New version:
  just a small TeX'nical change to allow automatic processing at xxx",,,"QMW-PH/94-36","hep-th math.QA",,"  Here is a list of chapters:
  1 Introduction
  2 Notation and preliminaries
  Part I: Finite quantum groups
  3 2x2 Matrix quantum groups and the quantum plane
  4 Quantum enveloping algebras at a root of unity
  Part II: q-Oscillators
  5 Representations of q-oscillators at a root of unity
  6 qr-Oscillator at a root of unity
  Part III: Infinite quantum groups
  7 Quantum affine algebras
  8 Quantum affine algebras at a root of unity
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:58:27 GMT""},{""version"":""v2"",""created"":""Tue, 12 Mar 1996 07:11:34 GMT""}]","2008-02-03"
"hep-th/9409080",,"P. Maraner","A Complete Perturbative Expansion for Constrained Quantum Dynamics","18 pages, LaTex","J.Phys. A28 (1995) 2939-2952","10.1088/0305-4470/28/10/021","UPRF-94-408","hep-th",,"  A complete perturbative expansion for the Hamiltonian describing the motion
of a quantomechanical system constrained to move on an arbitrary submanifold of
its configuration space $R^n$ is obtained.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:56:50 GMT""}]","2009-10-28"
"hep-th/9409081","Otmar Moritsch","O. Moritsch, M. Schweda, T. Sommer, L. Tataru and H. Zerrouki","BRST cohomology of Yang-Mills gauge fields in the presence of gravity in
  Ashtekar variables","20 pages, report REF.TUW 94-17",,,,"hep-th",,"  The BRST transformations for the Yang-Mills gauge fields in the presence of
gravity described by Ashtekar variables are obtained by using the so-called
Maurer-Cartan horizontality conditions. The BRST cohomology group expressed by
the Wess-Zumino consistency condition is solved with the help of an operator
$\delta$ introduced by S.P. Sorella which in our case has a very simple form
and generates, together with the differential $d$ and the BRST operator $s$, a
simpler algebra than in the pure Yang-Mills theory. In this way we shall find
the Yang-Mills Lagrangians, the Chern-Simons terms and the gauge anomalies.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 15:45:01 GMT""}]","2007-05-23"
