"adap-org/9411001","Christian H. Borgs","C. Borgs (Freie Universitaet Berlin and IAS) and J.T. Chayes (UCLA and
  IAS)","The covariance matrix of the potts model: A random cluster analysis","52 pages, amstex, no figures",,,"UCLA-Math-Phys 9/94","adap-org cond-mat hep-lat nlin.AO",,"  We consider the covariance matrix $G^{mn}(x-y)$ of the d-dimensional q-states
Potts model, rewriting it in terms of the connectivity, the finite-cluster
connectivity and the infinite-cluster covariance in the random cluster repre-
sentation of Fortuin and Kasteleyn. In any of the $q$ ordered phases, we show
that the matrix $G^{mn}(x-y)$ has one tivial eigenvalue 0, one simple eigen-
value $G_{\wir}^{(1)}(x-y)$ and one ($q-2$)-fold degenerate eigenvalue
$G_{\wir}^{(2)}(x-y)$. Furthermore, we identify the eigenvalues both in terms
of representations of the unbroken symmetry group of the model, and in terms of
connectivities and cluster covariances, thereby attributing algebraic signifi-
cance to these stochastic geometric quantities. In addition to establishing the
existence of the correlation lengths $\xi_{\wir}^{(1)}$ and $\xi_{\wir}^{(2)}$
corresponding to $G_{\wir}^{(1)}(x-y)$ and $G_{\wir}^{(2)}(x-y)$, we show that
$\xi_{\wir}^{(1)}(\beta)\geq \xi_{\wir}^{(2)}(\beta)$ for all inverse tempera-
tures $\beta$. For dimension $d=2$ and $q \geq 1$, we establish a duality
relation between $\xi_{\wir}^{(2)}$ and $\xi_{\free}$, the correlation length
of the two-point function with free boundary conditions: We show
$\xi_{\wir}^{(2)}(\beta) = \frac{1}{2} \xi_{\free}(\beta^\ast)$ for all $\beta
\geq \beta_o$, where $\beta^\ast$ is the dual inverse temperature and $\beta_o$
is the self-dual point. In order to prove the above results, we introduce two
new inequalities. The first is similar to the FKG inequality, but holds for
events which are neither increasing nor decreasing, and replaces independence
in the standard percolation model; the second replaces the van den Berg -
Kesten inequality.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 19:39:56 GMT""}]","2008-02-03"
"hep-ph/9411299","Antonio Lanza","E.Kh. Akhmedov, A. Lanza, S.T. Petcov","Solar Neutrino Data, Neutrino Magnetic Moments and Flavor Mixing","16 pages, latex, 5 figures available upon request from Authors","Phys.Lett.B348:124-132,1995","10.1016/0370-2693(95)00097-5","FTUV/94/64, IFIC/94/67, SISSA 169/94/A-EP","hep-ph astro-ph",,"  The results of all currently operating solar neutrino experiments are
analyzed in the framework of the resonant neutrino spin--flavor precession
scenario including the effects of neutrino mixing. Nine different profiles of
the solar magnetic field are used in the calculations. It is shown that the
available experimental data can be accounted for within the considered
scenario. The Ga--Ge data lead to an upper limit on the neutrino mixing angle:
$\sin 2\theta_0 \aprle 0.25$. One can discriminate between small mixing angle
($\sin 2\theta_0 \aprle 0.1$) and moderate mixing angle solutions by studying
the solar $\bar{\nu}_{e}$ flux which is predicted to be sizeable for moderate
mixing angles. The expected signals due to $\bar{\nu}_{e}$ in the SNO,
Super--Kamiokande and Borexino experiments are calculated and found to be
detectable for $\sin 2\theta_0 \aprge 0.1$.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 10:25:44 GMT""}]","2009-09-25"
"hep-ph/9411300","Ulf Meissner","Ulf-G. Mei{\ss}ner","Baryon Chiral Perturbation Theory A.D. 1994","29 pp, plain LaTeX, no figures","Czech.J.Phys.45:153-179,1995","10.1007/BF01724517","TK 94 17","hep-ph nucl-th",,"  In these lectures, the status of baryon chiral perturbation theory is
reviewed. Particular emphasis is put on the two--flavor sector and the physics
related to electromagnetic probes. I discuss in some detail the structure of
the effective Lagrangian at next--to--leading order, the meaning of low--energy
theorems in Compton scattering and pion photoproduction and confront the chiral
predictions with the existing data. Some remaining problems and challenges are
outlined.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 14:27:09 GMT""}]","2011-04-15"
"hep-ph/9411301","Frank Close","F.E.Close and P.R.Page","The Production and Decay of Hybrid Mesons by Flux-Tube Breaking","Table 7 of original paper replaced with new version. Rest of paper
  identical to original version","Nucl.Phys.B443:233-254,1995","10.1016/0550-3213(95)00085-7","RAL-94-116, OUTP-94-29P","hep-ph",,"  An analytic calculation of the breaking of excited chromoelectric flux-tubes
is performed in an harmonic oscillator approximation and applied to predict the
dynamics of all $J^{PC}$ low-lying gluonic excitations of mesons (hybrids).
Widths, branching ratios and production dynamics of some recently discovered
$J^{PC} = 1^{-+}, 0^{-+}$ and $1^{--}$ mesons are found to be in remarkable
agreement with these results. We introduce the selection rules that can be used
to understand the systematics of numerical decay calculations and we find
possible significant breaking of these rules for specific channels that may
enable enhanced production and detection of hybrids.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 15:05:00 GMT""},{""version"":""v2"",""created"":""Mon, 12 Dec 1994 10:17:00 GMT""}]","2008-11-26"
"hep-ph/9411302",,"K. Martins, D. Blaschke and E. Quack","Quark exchange model for charmonium dissociation in hot hadronic matter","24 pages, 3 tables, 7 figures","Phys.Rev.C51:2723-2738,1995","10.1103/PhysRevC.51.2723","GSI-94-75 and MPG-VT-UR 39/94","hep-ph",,"  A diagrammatic approach to quark exchange processes in meson-meson scattering
is applied to the case of inelastic reactions of the type
$(Q\barQ)+(q\barq)\rightarrow (Q\barq) + (q\barQ)$, where $Q$ and $q$ refer to
heavy and light quarks, respectively. This string-flip process is discussed as
a microscopic mechanism for charmonium dissociation (absorption) in hadronic
matter. The cross section for the reaction $J/\psi + \pi \to D+ \bar D$ is
calculated using a potential model, which is fitted to the meson mass spectrum.
The temperature dependence of the relaxation time for the $\J/Psi$ distribution
in a homogeneous thermal pion gas is obtained. The use of charmonium for the
diagnostics of the state of hot hadronic matter produced in ultrarelativistic
nucleus-nucleus collisions is discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 14:12:15 GMT""}]","2009-09-25"
"hep-th/9411096",,"V. A. Tsokur, Yu. M. Zinoviev","Spontaneous supersymmetry breaking in N=3 supergravity with matter","12 pages, plain LaTeX, no figures","Phys.Atom.Nucl. 59 (1996) 2185-2191; Yad.Fiz. 59N12 (1996)
  1169-1176",,"IHEP 94-114","hep-th",,"  In this paper we investigate the problem of spontaneous supersymmetry
breaking without a cosmological term in $N=3$ supergravity with matter vector
multiplets, scalar fields geometry being $SU(3,m)/SU(3)\otimes SU(m)\otimes
U(1)$. At first, we consider the case of minimal coupling with different
possible gaugings (compact as well as non-compact). Then we show that there
exist dual version of such a theory (with the same scalar field geometry),
which turns out to be the generalization of the $N=3$ hidden sector,
constructed some time ago by one of us, to the case of arbitrary number of
vector multiplets. We demonstrate that spontaneous supersymmetry breaking is
still possible in the presence of matter multiplets.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 16:54:36 GMT""}]","2007-05-23"
"hep-th/9411098","Nguyen Anh Ky","Nguyen Anh Ky and N. Stoilova","Finite-Dimensional Representations of the Quantum Superalgebra
  U$_{q}$[gl(2/2)]: II. Nontypical representations at generic $q$","Latex file, 49 pages","J.Math.Phys. 36 (1995) 5979-6003","10.1063/1.531231","IC/94/352","hep-th math.QA q-alg",,"  The construction approach proposed in the previous paper Ref. 1 allows us
there and in the present paper to construct at generic deformation parameter
$q$ all finite--dimensional representations of the quantum Lie superalgebra
$U_{q}[gl(2/2)]$. The finite--dimensional $U_{q}[gl(2/2)]$-modules $W^{q}$
constructed in Ref. 1 are either irreducible or indecomposible. If a module
$W^{q}$ is indecomposible, i.e. when the condition (4.41) in Ref. 1 does not
hold, there exists an invariant maximal submodule of $W^{q}$, to say
$I_{k}^{q}$, such that the factor-representation in the factor-module
$W^{q}/I_{k}^{q}$ is irreducible and called nontypical. Here, in this paper,
indecomposible representations and nontypical finite--dimensional
representations of the quantum Lie superalgebra $U_{q}[gl(2/2)]$ are considered
and classified as their module structures are analized and the matrix elements
of all nontypical representations are written down explicitly.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 20:22:46 GMT""}]","2009-10-28"
"hep-th/9411099",,"J.G. Russo and A.A. Tseytlin","Constant magnetic field in closed string theory: an exactly solvable
  model","39 pages, harvmac (some corrections and addenda; version to appear in
  Nuclear Physics)","Nucl.Phys.B448:293-330,1995","10.1016/0550-3213(95)00091-6","CERN-TH/95-20, Imperial/TP/94-95/17","hep-th",,"  We consider a simple model describing a closed bosonic string in a constant
magnetic field. Exact conformal invariance demands also the presence of a
non-trivial metric and antisymmetric tensor (induced by the magnetic field).
The model is invariant under target space duality in a compact Kaluza-Klein
direction introduced to couple the magnetic field. Like open string theory in a
constant gauge field, or closed string theory on a torus, this model can be
straightforwardly quantized and solved with its spectrum of states and
partition function explicitly computed. Above some critical value of the
magnetic field an infinite number of states become tachyonic, suggesting a
presence of phase transition. We also construct heterotic string
generalisations of this bosonic model in which the constant magnetic field is
embedded either in the Kaluza-Klein or internal gauge group sector.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 20:54:47 GMT""},{""version"":""v2"",""created"":""Wed, 14 Dec 1994 21:46:05 GMT""},{""version"":""v3"",""created"":""Tue, 11 Apr 1995 18:18:56 GMT""}]","2009-09-17"
"hep-th/9411100","Alexander Migdal","A.A. Migdal","Second Quantization of the Wilson Loop","41 pages, latex, 3 figures and 3 Mathematica files uuencoded","Nucl.Phys.Proc.Suppl. 41 (1995) 151-183","10.1016/0920-5632(95)00433-A","PUPT-1509","hep-th",,"  Treating the QCD Wilson loop as amplitude for the propagation of the first
quantized particle we develop the second quantization of the same propagation.
The operator of the particle position $\hat{\cal X}_{\mu}$ (the endpoint of the
""open string"") is introduced as a limit of the large $N$ Hermitean matrix. We
then derive the set of equations for the expectation values of the vertex
operators $\VEV{ V(k_1)\dots V(k_n)} $. The remarkable property of these
equations is that they can be expanded at small momenta (less than the QCD mass
scale), and solved for expansion coefficients. This provides the relations for
multiple commutators of position operator, which can be used to construct this
operator. We employ the noncommutative probability theory and find the
expansion of the operator $\hat{\cal X}_\mu $ in terms of products of creation
operators $ a_\mu^{\dagger}$. In general, there are some free parameters left
in this expansion. In two dimensions we fix parameters uniquely from the
symplectic invariance. The Fock space of our theory is much smaller than that
of perturbative QCD, where the creation and annihilation operators were
labelled by continuous momenta. In our case this is a space generated by $d =
4$ creation operators. The corresponding states are given by all sentences made
of the four letter words. We discuss the implication of this construction for
the mass spectra of mesons and glueballs.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 23:29:21 GMT""}]","2009-10-28"
"hep-th/9411101",,"H. Lu and C.N. Pope","BRST Quantisation of the N=2 String in a Real Spacetime Structure","17 pages, latex, no figures. Significant revisions, with extended
  discussion of cohomology in different bases for fermionic currents","Nucl.Phys.B447:297-316,1995","10.1016/0550-3213(95)00209-B","CTP TAMU-62/94, SISSA-175/94/EP","hep-th",,"  We study the $N=2$ string with a real structure on the $(2,2)$ spacetime,
using BRST methods. Several new features emerge. In the diagonal basis, the
operator $\exp(\lambda \int^z J^{\rm tot})$, which is associated with the
moduli for the $U(1)$ gauge field on the world-sheet, is local and it relates
the physical operators in the NS and R sectors. However, the picture-changing
operators are non-invertible in this case, and physical operators in different
pictures cannot be identified. The three-point interactions of all physical
operators leads to three different types of amplitudes, which can be
effectively described by the interactions of a scalar NS operator and a bosonic
spinorial R operator. In the off-diagonal bases for the fermionic currents, the
picture-changing operators are invertible, and hence physical operators in
different pictures can be identified. However, now there is no local operator
$\exp(\lambda \int^z J^{\rm tot})$ that relates the physical operators in
different sectors. The physical spectrum is thus described by one scalar NS
operator and one spinorial R operator. The NS and R operators give rise to
different types of three-point amplitudes, and thus cannot be identified.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 00:29:47 GMT""},{""version"":""v2"",""created"":""Wed, 26 Apr 1995 21:11:56 GMT""}]","2009-10-07"
"hep-th/9411102","Edward Witten","Edward Witten","Monopoles and Four-Manifolds","29 pp, harvmac","Math.Res.Lett.1:769-796,1994",,"IASSNS-HEP-94/96","hep-th alg-geom dg-ga math.AG math.DG",,"  Recent developments in the understanding of $N=2$ supersymmetric Yang-Mills
theory in four dimensions suggest a new point of view about Donaldson theory of
four manifolds: instead of defining four-manifold invariants by counting
$SU(2)$ instantons, one can define equivalent four-manifold invariants by
counting solutions of a non-linear equation with an abelian gauge group. This
is a ``dual'' equation in which the gauge group is the dual of the maximal
torus of $SU(2)$. The new viewpoint suggests many new results about the
Donaldson invariants.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 02:09:04 GMT""}]","2010-04-07"
"hep-th/9411103",,"A.Babichenko","Fundamental S-matrix for vector perturbed WD_n minimal models","Latex file. 10 pages. (reference was corrected)",,,,"hep-th",,"  Kink-kink S-matrix for integrable vector perturbed $WD_{n}^{(k)}$ minimal
models is constructed from the Boltzmann weights of $A_{2n-1}^{(2)}$
  RSOS model and checked in two limit cases $k=1$ and $k\rightarrow \infty$
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 10:09:00 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 1994 15:27:00 GMT""}]","2016-09-06"
"hep-th/9411105","M. Navarro","J. Navarro-Salas, M. Navarro and C. F. Talavera","Diffeomorphisms, Noether Charges and Canonical Formalism in 2D Dilaton
  Gravity","14 pages, latex with psfig macro, one figure","Phys.Rev. D52 (1995) 6831-6839","10.1103/PhysRevD.52.6831","FTUV/94-65, IFIC/94-62, Imperial-TP/93-94/60","hep-th",,"  We carry out a parallel study of the covariant phase space and the
conservation laws of local symmetries in two-dimensional dilaton gravity. Our
analysis is based on the fact that the Lagrangian can be brought to a form that
vanishes on-shell giving rise to a well-defined covariant potential for the
symplectic current. We explicitly compute the symplectic structure and its
potential and show that the requirement to be finite and independent of the
Cauchy surface restricts the asymptotic symmetries.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 15:34:02 GMT""}]","2009-10-28"
"math/9411233","Wei-ping Li","Wei-ping Li, Zhenbo Qin","Stable vector bundles on algebraic surfaces",,,,"OSU Math 1994-7","math.AG",,"  We prove an existence result for stable vector bundles with arbitrary rank on
an algebraic surface, and determine the birational structure of certain moduli
space of stable bundles on a rational ruled surface.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 00:00:00 GMT""}]","2016-09-06"
"math/9411234","Shelah Office","Alan H. Mekler, Saharon Shelah, Otmar Spinas","The essentially free spectrum of a variety",,"Israel J. Math. 93 (1996), 1--8",,"Shelah [MShS:417]","math.LO math.RA",,"  We partially prove a conjecture from [MkSh:366] which says that the spectrum
of almost free, essentially free, non-free algebras in a variety is either
empty or consists of the class of all successor cardinals.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 00:00:00 GMT""}]","2008-02-03"
"math/9411235","Shelah Office","Yuri Gurevich, Neil Immerman, Saharon Shelah","McColm conjecture",,"Symposium on Logic in Computer Science (1994), 10--19",,"Shelah [GISh:525]","math.LO cs.LO",,"  Gregory McColm conjectured that positive elementary inductions are bounded in
a class K of finite structures if every (FO + LFP) formula is equivalent to a
first-order formula in K. Here (FO + LFP) is the extension of first-order logic
with the least fixed point operator. We disprove the conjecture. Our main
results are two model-theoretic constructions, one deterministic and the other
randomized, each of which refutes McColm's conjecture.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 00:00:00 GMT""}]","2016-09-06"
"math/9411236","Shelah Office","Yuri Gurevich, Saharon Shelah","On finite rigid structures",,"J. Symbolic Logic 61 (1996), 549--562",,"Shelah [GuSh:526]","math.LO cs.LO",,"  The main result of this paper is a probabilistic construction of finite rigid
structures. It yields a finitely axiomatizable class of finite rigid structures
where no L^omega_{infty, omega} formula with counting quantifiers defines a
linear order.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9411010","Markus Hofmann","Markus Hofmann, Raffaele Mattiello, Heinz Sorge, Horst Stoecker and
  Walter Greiner","A stopped Delta-Matter Source in Heavy Ion Collisions at 10 GeV/n","17 pages, 5 postscript figures, uses psfig.sty and revtex.sty","Phys.Rev.C51:2095-2098,1995","10.1103/PhysRevC.51.2095","UFTP Preprint 374/1994","nucl-th hep-ph",,"  We predict the formation of highly dense baryon-rich resonance matter in
Au+Au collisions at AGS energies. The final pion yields show observable signs
for resonance matter. The Delta(1232) resonance is predicted to be the dominant
source for pions of small transverse momenta. Rescattering effects --
consecutive excitation and deexcitation of Deltas -- lead to a long apparent
lifetime (> 10 fm/c) and rather large volumina (several 100 fm^3) of the
Delta-matter state. Heavier baryon resonances prove to be crucial for reaction
dynamics and particle production at AGS.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 17:18:07 GMT""}]","2008-11-26"
"nucl-th/9411011","Jorge Hirsch","Jorge G. Hirsch, O. Casta\~nos, P. O. Hess and Osvaldo Civitarese","Double beta decay of $^{100}Mo$: the deformed limit","16 pages, revtex, no figures. Submmitted to Phys. Rev. C","Phys.Rev.C51:2252-2255,1995","10.1103/PhysRevC.51.2252",,"nucl-th",,"  The double beta decay of $^{100}Mo$ to the ground state and excited states of
$^{100}Ru$ is analysed in the context of the pseudo SU(3) scheme. The results
of this deformed limit are compared with the vibrational one based on the QRPA
formalism. Consistency between the deformed limit and the experimental
information is found for various $\beta\beta$ transitions, although, in this
approximation some energies and B(E2) intensities cannot reproduced.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 18:36:39 GMT""}]","2008-11-26"
"nucl-th/9411012",,"Wolfgang Bauer and William Friedman","Nuclear Multifragmentation Critical Exponents","3 pages, LaTeX, one postscript figure appended, sub. to
  Phys.Rev.Lett. as a comment","Phys.Rev.Lett.75:767-767,1995","10.1103/PhysRevLett.75.767","DOE/ER/40561-169-INT94-15-02","nucl-th",,"  We show that the critical exponents of nuclear multi-fragmentation have not
been determined conclusively yet.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 22:26:48 GMT""}]","2009-02-11"
"nucl-th/9411013","Dirk Troltenier","D.Troltenier, C.Bahri, and J.P.Draayer","Generalized Pseudo-SU(3) Model and Pairing","21 Pages, 7 Figures (available upon request), Nucl. Phys. A in press",,"10.1016/0375-9474(94)00518-R",,"nucl-th",,"  The pseudo-SU(3) model is extended to explicitly include the spin and
proton-neutron degrees of freedom. A general formalism for evaluating matrix
elements of one-body and two-body tensor operators within this framework is
presented. The pairing interaction, which couples different irreducible
representations of SU(3), is expressed in terms of pseudo-space tensors and a
general result is given for calculating its matrix elements. The importance of
pairing correlations in pseudo-SU(3) model calculations is demonstrated by
examining the dependence of wavefunctions, low-energy collective excitation
spectra, and moments of inertia on the strength of the pairing interaction.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 00:13:59 GMT""}]","2009-10-28"
"nucl-th/9411014","V. Mull","V. Mull and K. Holinde","Combined Description of $\bf{\overline{N}N}$ Scattering and Annihilation
  With A Hadronic Model","revised version, REVTEX, 9 pages, 10 figures available from this URL
  ftp://ikp113.ikp.kfa-juelich.de/pub/kph140/nucl-th.9411014.uu","Phys.Rev.C51:2360-2371,1995","10.1103/PhysRevC.51.2360","KFA-IKP(TH)-1994-39","nucl-th",,"  A model for the nucleon-antinucleon interaction is presented which is based
on meson-baryon dynamics. The elastic part is the $G$-parity transform of the
Bonn $NN$ potential. Annihilation into two mesons is described in terms of
microscopic baryon-exchange processes including all possible combinations of
$\pi,\eta,\rho,\omega,a_0,f_0,a_1,f_1,a_2,f_2,K,K^*$. The remaining
annihilation part is taken into account by a phenomenological energy- and state
independent optical potential of Gaussian form. The model enables a
simultaneous description of nucleon-antinucleon scattering and annihilation
phenomena with fair quality.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 14:57:33 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jan 1995 13:47:31 GMT""}]","2008-11-26"
"solv-int/9411002","Sergej Flach","S. Flach","On the Existence of Localized Excitations in Nonlinear Hamiltonian
  Lattices","13 pages, LaTeX, 2 figures will be mailed upon request (Phys. Rev. E,
  in press)",,"10.1103/PhysRevE.51.1503",,"solv-int nlin.SI",,"  We consider time-periodic nonlinear localized excitations (NLEs) on
one-dimensional translationally invariant Hamiltonian lattices with arbitrary
finite interaction range and arbitrary finite number of degrees of freedom per
unit cell. We analyse a mapping of the Fourier coefficients of the NLE
solution. NLEs correspond to homoclinic points in the phase space of this map.
Using dimensionality properties of separatrix manifolds of the mapping we show
the persistence of NLE solutions under perturbations of the system, provided
NLEs exist for the given system. For a class of nonintegrable Fermi-Pasta-Ulam
chains we rigorously prove the existence of NLE solutions.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 23:25:24 GMT""}]","2009-10-28"
