"acc-phys/9411004",,"C. Travier","High-Brightness Photocathode Electron Sources","PostScript uuencoded file, 18 pages, 5 figures","AIPConf.Proc.335:57-74,1995","10.1063/1.48251","LAL/RT/94-15","acc-phys physics.acc-ph",,"  Most present and future electron accelerators require bright sources.
Invented less than ten years ago, the photo-injector the principle of which is
briefly recalled, has already demonstrated that it can provide very bright
beams. In this paper, the most advanced photo-injector projects are reviewed,
their specific features are outlined, and their major issues are examined. The
state-of-the-art in photocathode and laser technologies is presented. Beam
dynamics issues are also considered since they are essential in the production
of bright beams. Finally, the question of the maturity of photo-injector
technology is addressed.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:59:11 GMT""}]","2008-11-26"
"hep-ph/9411369","Jan Kalinowski","Jan Kalinowski","Higgs search in e+e- and gamma-gamma colliders","LaTeX file, 25 pages, 13 figures not included, hard copy can be
  obtained from Author",,,"IFT 94/21","hep-ph",,"  The prospects for discovering Higgs particles and studying their fundamental
properties at future high--energy electron--positron and photon-photon
colliders are reviewed. Both the Standard Model Higgs boson and the Higgs
particles of its minimal supersymmetric extension are discussed. We also
comment on a two Higgs doublet model searches at LEP 1. We update various
results by taking into account the value of the top quark mass obtained by the
CDF Collaboration and by including radiative corrections.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 10:35:30 GMT""}]","2009-09-25"
"hep-ph/9411370","Thorsten Feldmann","Thorsten Feldmann and Thomas Mannel","Combining Vector-- and Heavy Quark Symmetry","10 pages, latex, no figures (some typo's corrected)","Phys.Lett. B344 (1995) 334-340","10.1016/0370-2693(94)01491-T","HUB-IEP-94/25","hep-ph",,"  Assuming that the chiral symmetry of the light degrees of freedom is realized
as the vector symmetry proposed by Georgi, we write down a chiral Lagrangian
for heavy mesons which incorporates both heavy quark and vector symmetry. Some
of the phenomenological implications of this idea are considered.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:01:03 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 1994 11:17:37 GMT""}]","2009-10-28"
"hep-ph/9411371","Thomas Teubner","R. Harlander, M. Je\.zabek, J.H. K\""uhn and T. Teubner","Polarization in Top Quark Production and Decay near Threshold","6 pages, LaTex (uses epsf.sty, 2 figures appended as uuencoded ps
  files). The complete paper, including figures, is also available via
  anonymous ftp at ttpux2.physik.uni-karlsruhe.de (129.13.102.139) as
  /ttp94-24/ttp94-24.ps, or via www at
  http://ttpux2.physik.uni-karlsruhe.de/preprints.html/",,"10.1063/1.48895","TTP94-24","hep-ph",,"  Theoretical results are presented for top quarks produced in annihilation of
polarized electrons on positrons. Polarization studies for $t\bar t$ pairs near
threshold are free from hadronization ambiguities. This is due to the short
lifetime of the top quark. Semileptonic decays are discussed as well as their
applications in studying polarization dependent processes involving top quarks.
The Green function formalism is applied to $t\bar t$ production at future
$e^+e^-$ colliders with polarized beams. Lippmann--Schwinger equation is solved
numerically for the QCD chromostatic potential given by the two-loop formula at
large momentum transfers and Richardson ansatz at intermediate and small ones.
The polarization dependent momentum distributions of top quarks and their decay
products are calculated.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 14:14:45 GMT""}]","2009-10-28"
"hep-ph/9411372","Annette Holtkamp","M. Kraemer, J. Zunft, J. Steegborn, and P. M. Zerwas","Inelastic J/psi Photoproduction","14 pages, latex, 7 uuencoded figures","Phys.Lett. B348 (1995) 657-664","10.1016/0370-2693(95)00155-E","DESY 94-207, MZ-TH/94-28, TTP 94-20","hep-ph",,"  Inelastic photoproduction of $J/\psi$ particles at high energies is one of
the processes to determine the gluon distribution in the nucleon. We have
calculated the QCD radiative corrections to the color-singlet model of this
reaction. They are large at moderate photon energies, but decrease with
increasing energies. The cross section and the $J/\psi$ energy spectrum are
compared with the available fixed-target photoproduction data and predictions
are given for the HERA energy range.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:39:28 GMT""}]","2009-10-28"
"hep-ph/9411373","Carlo Giunti","S.M. Bilenky and C. Giunti","A Model Independent Approach to Solar Neutrino Experiments","24 pages; published in the proceedings of the 1st Arctic Workshop on
  Future Physics and Accelerators, Saariselka, Finland, 21-26 Aug 1994,
  p.170-192",,,"DFTT 63/94","hep-ph astro-ph",,"  In the first part of this report we present the results of a model
independent analysis of the existing solar neutrino data. We obtained forbidden
regions in the plane of the parameters Delta m^2 and sin^2 2 theta in two
cases: A) Without any restrictions on the values of the solar neutrino fluxes
from different reactions; B) With some restrictions that take into account the
predictions of all the existing solar models. We show that the existing solar
neutrino data allow to exclude rather large regions in the plane of the
parameters Delta m^2 and sin^2 2 theta (especially in case B). In the second
part of this report we present a general method for the analysis of solar
neutrino data that can be applied to future solar neutrino experiments (SNO,
Super-Kamiokande, Icarus) in which high energy 8B neutrinos will be detected.
We show that these experiments will allow: 1) To reveal in a model independent
way the presence of sterile neutrinos in the flux of solar neutrinos on the
earth and to obtain lower bounds for the probability of transition of nu_e's
into sterile states; 2) To obtain directly from the experimental data the
initial 8B nu_e flux and the probability of nu_e's to survive (if there are no
transitions of nu_e's into sterile states).
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:24:34 GMT""},{""version"":""v2"",""created"":""Sat, 16 Oct 2004 01:48:07 GMT""}]","2008-02-03"
"hep-ph/9411374",,"L.M. Sehgal","Rare $K$ Decays","Invited Talk at the Third Workshop on High Energy Particle Physics
  (WHEPP 3) Madras, 1994, LaTex, 14 pages, 3 figures available upon request","Pramana 45:S339-S350,1995","10.1007/BF02907982","PITHA 94/52","hep-ph",,"  The rare decays of the $K$ meson have had a long tradition as a laboratory
for testing the symmetry properties of the weak interactions, and the manner in
which these symmetries are broken by higher order effects. Present--day
interest is focussed on decays that are suppressed by $CP$--symmetry or GIM
symmetry. Such decays, in the standard theory, are sensitive to effects of the
virtual top quark, and could also reveal new interactions transcending the
standard model. In addition, the radiative decays of the $K$ meson have become
a useful testing--ground for effective Lagrangians describing the low energy
interactions of pions, kaons and photons.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 15:17:55 GMT""}]","2010-11-01"
"hep-ph/9411375",,"Jaume Garriga and Tanmay Vachaspati","Zero Modes on Linked Strings","LaTeX, 27 text pages + 2 figures, Fig. 1 file fixed","Nucl.Phys. B438 (1995) 161-181","10.1016/0550-3213(95)00012-H",,"hep-ph gr-qc hep-th",,"  We study linked loops of string in the presence of bosonic condensates and
fermionic zero modes on the strings. We find that the strings necessarily carry
a current if the bosons have an Aharanov-Bohm interaction with the string. The
fermionic case is analyzed in the context of the standard model where there are
lepton and quark zero modes on $Z-$strings. Here we find that the fermionic
ground state in the linked string background is lower than the ground state
when the loops are unlinked but otherwise identical. As in the bosonic case,
the $Z-$strings carry a non-vanishing electric current in the ground state. The
baryon number of the linked configuration is found to agree with previous
indirect results. We also evaluate the angular momentum, electromagnetic charge
and baryonic three current on the linked $Z-$string configuration. Finally we
point out a possible gravitational analogue of the linked string system.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 15:20:00 GMT""},{""version"":""v2"",""created"":""Thu, 24 Nov 1994 11:07:00 GMT""}]","2009-10-28"
"hep-ph/9411376",,"M. A. Braun","On the Nikolaev-Zakharov-Zoller form for the BFKL pomeron","8 pages, LaTeX, no figures","Z.Phys. C70 (1996) 103-106",,"US-FT/19-94","hep-ph",,"  The equation proposed by N.N.Nikolaev, B.G.Zakharov and V.R.Zoller for the
colour dipole cross-section is compared with the BFKL equation for the hard
pomeron for the $SU(2)$ colour group. It is demonstrated that for a fixed
coupling constant the difference between the two equations is due to a
different manner to introduce the gluon mass.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 08:56:09 GMT""}]","2007-05-23"
"hep-ph/9411398",,"Saurabh D. Rindani","CP violation at colliders","20 pages, latex, no figures (only revision is the comment that the
  article is based on a talk presented at WHEPP3, Madras, January 1994)","Pramana 45:S263-S276,1995","10.1007/BF02907978","PRL-TH-94/35","hep-ph",,"  The prospects of experimental detection of $CP$ violation at $e^+e^-$ and
$pp/p\overline{p}$ colliders are reviewed. After a general discussion on the
quantities which can measure $CP$ violation and on the implications of the
$CPT$ theorem, various possibilities of measuring $CP$ violation arising
outside the standard model are taken up. $CP$ violation in leptonic processes,
especially polarization effects in $e^+e^-\rightarrow l^+l^-$ are discussed
next. $CP$ violation in $t\overline{t}$ and $W^+W^-$ production and decay is
also described. (Based on talk presented at the WHEPP3, Madras, January 1994).
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 05:39:49 GMT""},{""version"":""v2"",""created"":""Mon, 28 Nov 1994 07:54:29 GMT""}]","2010-11-01"
"hep-ph/9411399",,"B. Ananthanarayan and Saurabh D. Rindani","Measurement of the $\tau$ electric dipole moment using longitudinal
  polarization of $e^+e^-$ beams","30 pages, latex, no figures","Phys.Rev.D51:5996-6007,1995","10.1103/PhysRevD.51.5996","PRL-TH-94/32 UNIL-TP-5/94","hep-ph",,"  Certain CP-odd momentum correlations in the production and subsequent decay
of $\tau$ pairs in $e^+ e^-$ collisions are enhanced significantly when the
$e^+$ and $e^-$ beams are longitudinally polarized. These may be used to probe
the real and imaginary parts of $d_\tau^\gamma$, the electric dipole moment of
the $\tau$. Closed-form expressions for these ``vector correlations'' and the
standard deviation of the operators defining them due to standard model
interactions are presented for the two-body final states of $\tau$ decays. If
42\% average polarization of each beam is achieved, as proposed for the
tau-charm factories, with equal integrated luminosities for each sign of
polarization and a total yield of $2\cdot 10^7$ $\tau^+ \tau^-$ pairs, it is
possible to attain sensitivities for $\vert\delta {\rm Re}
d_{\tau}^{\gamma}\vert$ of $8\cdot 10^{-19}$, $1\cdot 10^{-19}$, $1\cdot
10^{-19}$ $e$ cm respectively and for $\vert\delta {\rm Im}
d_{\tau}^{\gamma}\vert$ of $4\cdot 10^{-14}$, $6\cdot 10^{-15}$, $5\cdot
10^{-16}$ $e$ cm respectively at the three operating center-of-mass energies of
3.67, 4.25 and 10.58 GeV. These bounds emerge when the effects of a posible
weak dipole form factor $d_\tau^Z$ are negligible as is the case when it is of
the same order of magnitude as $d_\tau^\gamma$. Furthermore, in such a
polarization experiment where different polarizations are possible, a
model-independent disentangling of their individual effects is possible, and a
technique to achieve this is described. A strong longitudinal polarization
physics programme at the tau-charm factory appears warranted.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 06:01:43 GMT""}]","2009-12-30"
"hep-ph/9411400","Samir Mallik","A. Kundu and S. Mallik","Baryogenesis at the Electroweak Scale","15 pages,Latex,no figure","Z.Phys.C68:503-508,1995","10.1007/BF01620729","SINP/TNP/94-9","hep-ph",,"  The generation of the baryon asymmetry of the universe is considered in the
standard model of the electroweak theory with simple extensions of the Higgs
sector. The propagation of quarks of masses up to about 5 GeV are considered,
taking into account their markedly different dispersion relations due to
propagation through the hot electroweak plasma. It is shown that the
contribution of these lighter quarks to the baryon asymmetry can be comparable
to that for the t quark considered earlier.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 14:18:00 GMT""}]","2010-11-01"
"hep-th/9411158","Teng Hong-bo","Bin Chen, Hong-Bo Teng, Ke Wu","$N=2$ and $N=4$ SUSY Yang-Mills action on $M^4\times (Z_2\oplus Z_2)$
  non-commutative geometry","9 pages, Latex, no figures",,,"ASITP-94-61","hep-th",,"  We show that the $N=2$ and $N=4$ SUSY Yang-Mills action can be reformulated
in the sense of non-commutative geometry on $M^4\times (Z_2\oplus Z_2)$ in a
rather simple way. In this way the scalars or pseudoscalars are viewed as gauge
fields along two directions in the space of one-forms on $Z_2\oplus Z_2$.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 16:17:38 GMT""}]","2007-05-23"
"hep-th/9411163","Peter Schaller","P.Schaller (TU Wien), T.Strobl (RWTH Aachen)","Poisson-Sigma-Models: A Generalization of 2-D Gravity Yang-Mills-Systems","9 pages, latex",,,"TUW-94-21, PITHA-94-49","hep-th",,"  A new class of two dimensional integrable field theories, based on the
mathematical notion of Poisson manifolds, and containing gravity-Yang-Mills
systems as well as the G/G gauged Wess-Zumino Witten-model, are presented. The
local solutions of the classical equations of motions as well as a scheme for
the quantization in a Hamiltonian formulation is presented for the general
model. Partial results of a calculation of the partition function on arbitrary
Riemann surfaces via path integral techniques are given. (Contribution to the
proceedings of the Conference on Integrable Systems at the JINR, Dubna, July
1994).
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 21:08:09 GMT""}]","2007-05-23"
"hep-th/9411164",,"A.P. Balachandran, L. Chandar, E. Ercolessi","Edge States in Gauge Theories: Theory, Interpretations and Predictions","36 pages, LATEX File (revised because figures had problems)","Int. J. Mod. Phys. A10 (1995) 1969-1993","10.1142/S0217751X95000966","SU-4240-574","hep-th cond-mat hep-ph",,"  Gauge theories on manifolds with spatial boundaries are studied. It is shown
that observables localized at the boundaries (edge observables) can occur in
such models irrespective of the dimensionality of spacetime. The intimate
connection of these observables to charge fractionation, vertex operators and
topological field theories is described. The edge observables, however, may or
may not exist as well-defined operators in a fully quantized theory depending
on the boundary conditions imposed on the fields and their momenta. The latter
are obtained by requiring the Hamiltonian of the theory to be self-adjoint and
positive definite. We show that these boundary conditions can also have nice
physical interpretations in terms of certain experimental parameters such as
the penetration depth of the electromagnetic field in a surrounding
superconducting medium. The dependence of the spectrum on one such parameter is
explicitly exhibited for the Higgs model on a spatial disc in its London limit.
It should be possible to test such dependences experimentally, the above Higgs
model for example being a model for a superconductor. Boundary conditions for
the 3+1 dimensional $BF$ system confined to a spatial ball are studied. Their
physical meaning is clarified and their influence on the edge states of this
system (known to exist under certain conditions) is discussed. It is pointed
out that edge states occur for topological solitons of gauge theories such as
the 't Hooft-Polyakov monopoles.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 23:59:36 GMT""},{""version"":""v2"",""created"":""Thu, 24 Nov 1994 16:37:13 GMT""}]","2009-10-28"
"hep-th/9411165","Mark Evans","Mark Evans (Rockefeller) and Ioannis Giannakis (Texas A&M)","Symmetry Principles for String Theory","5 pages, Plain TeX, no figures",,"10.1007/3-540-59163-X_270","CTP-TAMU-64/94, ACT-22/94, RU-94-B-8","hep-th",,"  The gauge symmetries that underlie string theory arise from inner
automorphisms of the algebra of observables of the associated conformal field
theory. In this way it is possible to study broken and unbroken symmetries on
the same footing, and exhibit an infinite-dimensional supersymmetry algebra
that includes space-time diffeomorphisms and an infinite number of
spontaneously broken level-mixing symmetries. We review progress in this area,
culminating in the identification of a weighted tensor algebra as a subalgebra
of the full symmetry. We also briefly describe outstanding problems. Talk
presented at the Gursey memorial conference, Istanbul, Turkey, June, 1994.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 00:25:14 GMT""}]","2015-06-26"
"hep-th/9411166","Kiyoshi Ezawa","Kiyoshi Ezawa","""Moduli Space"" of Asymptotically Anti-de Sitter Spacetimes in
  (2+1)-Dimensions","23 pages, Latex","Int.J.Mod.Phys.A10:4139-4160,1995","10.1142/S0217751X95001911","OU-HET/ 206","hep-th",,"  Setting an ansats that the metric is expressible by a power series of the
inverse radius and taking a particular gauge choice, we construct a ""general
solution"" of (2+1)-dimensional Einstein's equations with a negative
cosmological constant in the case where the spacetime is asymptotically anti-de
Sitter. Our general solution turns out to be parametrized by two centrally
extended quadratic differentials on $S^{1}$. In order to include 3-dimensional
Black Holes naturally into our general solution, it is necessary to exclude the
region inside the horizon. We also discuss the relation of our general solution
to the moduli space of flat $\tilde{SL}(2,R)\times\tilde{SL}(2,R)$ connections.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 02:36:48 GMT""}]","2010-11-01"
"hep-th/9411167","Simon L. Lyakhovich","S.A. Lyakhovich and A.A. Sharapov","Quantum inconsistency of W3-gravity models associated with magical
  Jordan algebras","LaTeX, 4 pages, no figures",,,,"hep-th",,"  It is shown that the Sugawara-type construction for W3-algebra associated
with the four magical Jordan algebras leads to the anomalous theory of
W3-gravity.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 10:51:51 GMT""}]","2007-05-23"
"hep-th/9411168",,"S. Bellucci, S. Krivonos and A. Sorin","Linearizing $W_{2,4}$ and $WB_2$ Algebras","13 pages, LaTeX","Phys.Lett. B347 (1995) 260-268","10.1016/0370-2693(95)00002-3","JINR E2-94-440,LNF-94/069(P)","hep-th",,"  It has recently been shown that the $W_3$ and $W_3^{(2)}$ algebras can be
considered as subalgebras in some linear conformal algebras. In this paper we
show that the nonlinear algebras $W_{2,4}$ and $WB_2$ as well as
Zamolodchikov's spin $5/2$ superalgebra also can be embedded as subalgebras
into some linear conformal algebras with a finite set of currents. These linear
algebras give rise to new realizations of the nonlinear algebras which could be
suitable in the construction of $W$-string theories.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 12:21:37 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 1994 12:04:31 GMT""}]","2009-10-28"
"hep-th/9411169","Nial J. MacKay","N.J.MacKay and G.M.T.Watts","Quantum mass corrections for affine Toda solitons","39pp, .uu compressed dvifile. Revised version alters two references
  and includes hep-th no. on Title page","Nucl.Phys.B441:277-309,1995","10.1016/0550-3213(95)00093-8","DAMTP-94-96 / Saclay SPhT T94-137","hep-th",,"  We calculate the first quantum corrections to the masses of solitons in
imaginary-coupling affine Toda theories using the semi-classical method of
Dashen, Hasslacher and Neveu. The theories divide naturally into those based on
the simply-laced, the twisted and the untwisted non-simply-laced algebras. We
find that the classical relationships between soliton and particle masses found
by Olive {\em et al.\ }persist for the first two classes, but do not appear to
do so naively for the third.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 12:57:00 GMT""},{""version"":""v2"",""created"":""Thu, 24 Nov 1994 19:08:00 GMT""}]","2010-11-01"
"hep-th/9411170","Harald Soleng","Mirjam Cvetic, Harald H. Soleng","Naked singularities in dilatonic domain wall space-times","34 pages, REVTeX, 10 uuencoded compressed ps figures","Phys.Rev.D51:5768-5784,1995","10.1103/PhysRevD.51.5768","UPR-635-T, CERN-TH.7475/94","hep-th gr-qc",,"  We investigate gravitational effects of extreme, non-extreme and ultra-
extreme domain walls in the presence of a dilaton field. The dilaton is a
scalar field without self-interaction that couples to the matter po- tential
that is responsible for the formation of the wall. Motivated by superstring and
supergravity theories, we consider both an exponential dilaton coupling
(parametrized with the coupling constant alpha and the case where the coupling
is self-dual, i.e. it has an extremum for a fi- nite value of the dilaton. For
an exponential dilaton coupling, extreme walls (which are static planar
configurations with surface energy density sigma_ext saturating the
corresponding Bogomol'nyi bound) have a naked (planar) singularity outside the
wall for alpha>1, while for alpha smaller or equal to 1 the singularity is
null. On the other hand, non-extreme walls (bubbles with two insides and
sigma_non > sigma_ext and ultra-extreme walls bubbles of false vacuum decay
with sigma_ultra < sigma_ext always have naked singularities. There are
solutions with self-dual couplings, which reduce to singularity-free vacuum
domain wall space--times. However, only non- and ultra-extreme walls of such a
type are dynamically stable.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:10:21 GMT""}]","2009-09-17"
"nucl-th/9411024",,"G. Q. Li and C. M. Ko","Subthreshold kaon production and the nuclear equation of state","10 pages, RevTex, 4 figures available upon request to
  gqli@comp.tamu.edu","Phys.Lett. B349 (1995) 405-410","10.1016/0370-2693(95)00301-Z","TAMU-NTH-94-13","nucl-th",,"  We reexamine in the relativistic transport model the dependence of kaon yield
on the nuclear equation of state in heavy ion collisions at energies that are
below the threshold for kaon production from the nucleon-nucleon interaction in
free space. For Au+Au collisions at 1 GeV/nucleon, we find that the kaon yield
measured by the Kaos collaboration at GSI can be accounted for if a soft
nuclear equation of state is used. We also confirm the results obtained in the
non-relativistic transport model that the dependence of kaon yield on the
nuclear equation of state is more appreciable in heavy ion collisions at lower
incident energies. We further clarify the difference between the predictions
from the relativistic transport model and the non-relativistic transport model
with a momentum-dependent potential.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 17:52:36 GMT""}]","2009-10-28"
"nucl-th/9411025",,"A. Hombach, A. Engel, S. Teis, U. Mosel","Pion and Eta Photoproduction in Nuclei","20 pages, 15 figures, postscript, uuencoded available via anonymous
  ftp at ftp://theorie.physik.uni-giessen.de/ugi-94-15/paper.uu","Z.Phys. A352 (1995) 223-230","10.1007/BF01298912","UGI-94-15","nucl-th",,"  We calculate the quasifree photoproduction of pions and eta mesons on nuclei
from 12C to 208Pb. Assuming that for the quasifree process the cross sections
for pi/eta - photoproduction on a nucleon in medium are -- besides a lowering
due to Pauli blocking -- identical to those on a free nucleon, we use these as
an input. The produced mesons or resonances then propagate through the nucleus
where they can undergo several scattering and absorption processes. This final
state interaction, which leads to a lowering of the initial meson yield up to
70%, we simulate in a coupled channel Boltzmann-Uehling-Uhlenbeck transport
model. It allows us to study in detail the influence of Fermi motion, Pauli
blocking and of the additional decay channels for nucleon resonances in medium
on the photoproduction cross section. The calculated total and differential
cross sections are compared to experimental data and the influence of the
different medium effects on the cross sections is discussed in detail.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:43:00 GMT""}]","2009-10-28"
"nucl-th/9411026","V. Mull","K. Holinde","Hadron-Hadron Interactions","12 pages, Latex, style-file ws-art.sty included, 10 uuemcoded
  compressed tarred figs in seperate file",,,"KFA-IKP(TH)-1994-42","nucl-th",,"  The present status of the chiral approach to the $NN$ interaction as proposed
by Weinberg is discussed. The important role of correlation effects and
explicit vector meson ($\rho$, $\omega$) exchange in the dynamics of
baryon-baryon interactions is demonstrated. As an example, the inclusion of the
exchange of a correlated pair of $\pi$ and $\rho$ meson between two nucleons
appears to be mandatory in order to resolve a long-standing puzzle concerning
the formfactor at the pion-nucleon-nucleon vertex.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 10:57:48 GMT""}]","2007-05-23"
"nucl-th/9411027","Ben Gibson","B. F. Gibson, I. R. Afnan, J. A. Carlson, and D. R. Lehman","Importance of Baryon-Baryon Coupling in Hypernuclei","17 pages LATEX, 1 figure uuencoded postscript","Prog.Theor.Phys.Suppl.117:339-350,1994","10.1143/PTPS.117.339","LA-UR-94-1202","nucl-th",,"  The $\Lambda N - \Sigma N$ coupling in $\Lambda$--hypernuclei and $\Lambda
\Lambda - \Xi N$ coupling in $\Lambda \Lambda$--hypernuclei produce novel
physics not observed in the conventional, nonstrange sector. Effects of
$\Lambda \leftrightarrow \Sigma$ conversion in $^3_{\Lambda}$H are reviewed.
The role of $\Lambda N - \Sigma N$ coupling suppression in the $A=4,5$
$\Lambda$--hypernuclei due to Pauli blocking is highlighted, and the
implications for the structure of $^{10}_{\;\, \Lambda}$B are explored.
Suppression of $\Lambda \Lambda - \Xi N$ conversion in $^{\;\;\, 6}_{\Lambda
\Lambda}$He is hypothesized as the reason that the $< V_{\Lambda \Lambda} >$
matrix element is small. Measurement of $^{\;\;\, 4}_{\Lambda \Lambda}$H is
proposed to investigate the full $\Lambda \Lambda - \Xi N$ interaction. The
implication for $\Lambda \Lambda$ analog states is discussed.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 04:31:03 GMT""}]","2009-09-25"
