"astro-ph/9411107","Robert Crittenden","R.G. Crittenden, D. Coulson and N.G. Turok","Temperature-Polarization Correlations from Tensor Fluctuations","5 pages, revtex, 5 figures, compressed and uuencoded","Phys.Rev.D52:5402-5406,1995","10.1103/PhysRevD.52.5402","PUPT 94-1514","astro-ph hep-ph",,"  We study the polarization-temperature correlations on the cosmic microwave
sky resulting from an initial scale invariant spectrum of tensor (gravity wave)
fluctuations, such as those which might arise during inflation. The correlation
function has the opposite sign to that for scalar fluctuations on large scales,
raising the possibility of a direct determination of whether the microwave
anisotropies have a significant tensor component. We briefly discuss the
important problem of estimating the expected foreground contamination.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:56:39 GMT""}]","2010-12-13"
"hep-lat/9411072","Xiang Qian Luo","Xiang-Qian Luo and Wolfgang Franzki","Chiral transition in a strongly coupled fermion-gauge-scalar model","3 pages, 3 eps figs, encoded with uufiles (Contribution to Lattice
  94)","Nucl.Phys.Proc.Suppl. 42 (1995) 633-635","10.1016/0920-5632(95)00334-6","HLRZ 55/94","hep-lat",,"  We report the recent results from the computer simulations of a
fermion-gauge-scalar model with dynamical chiral-symmetry breaking and chiral
transition induced by the scalar field. This model might be considered to be a
possible alternative to the Higgs mechanism of mass generation. A new scheme is
developed for detecting the chiral transition. Our results show with higher
precision than the earlier works that the chiral transition line joins the
Higgs phase transition line, separating the Higgs and Nambu (chiral-symmetry
breaking) phases. The end point of the Higgs transition with divergent
correlation lengths is therefore suitable for an investigation of the continuum
limit.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 15:15:34 GMT""}]","2015-06-25"
"hep-lat/9411073","Sorin Solomon","Sorin Solomon","The Microscopic Representation of Complex Macroscopic Phenomena
  (Critical Slowing Down - A Blessing in Disguise)","51 pages, latex, 11 figures available on request",,"10.1142/9789812831149_0006",,"hep-lat",,"  Many complex systems are representable as macroscopic set of elements which
interact by simple rules. The complex macroscopically relevant phenomena are
then the result of the generic emergence of a space-time multi-scale dynamics.
Critical Slowing Down labels the emerging global features and describes their
complex collective evolution. This paradigm is quite universal and extends to a
very wide range of systems and disciplines.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:02:00 GMT""}]","2016-11-03"
"hep-lat/9411074",,"N. Persky, R. Ben-Av and S. Solomon","Dynamical Scaling from Multi-Scale Measurements","9 pages,Latex, Request figures from nathanp@vms.huji.ac.il",,"10.1103/PhysRevB.51.6100",,"hep-lat cond-mat",,"  We present a new measure of the Dynamical Critical behavior: the ""Multi-scale
Dynamical Exponent (MDE)""
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:03:00 GMT""}]","2009-10-28"
"hep-ph/9411407","Ernest Ma","Ernest Ma (UC Riverside)","Two-Doublet Higgs Structure at the Electroweak Energy Scale","7 pages (latex), 1st of 2 talks given at the 7th Adriatic Meeting on
  Particle Physics, Brijuni, Croatia (September 1994)",,,"UCRHEP-T137 (November 1994)","hep-ph",,"  The existence of supersymmetry above a few TeV and that of two Higgs doublets
at the electroweak energy scale do not necessarily result in the minimal
supersymmetric standard model (MSSM). An interesting counter example is given
with m_h < 2^{1/2} m_W + radiative corrections = 145 GeV instead of m_h < m_Z +
radiative corrections = 128 GeV in the MSSM.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:16:13 GMT""}]","2007-05-23"
"hep-ph/9411408","Ernest Ma","Ernest Ma (UC Riverside)","Left-Right Gauge Symmetry at the TeV Energy Scale","7 pages (latex), 2nd of 2 talks given at the 7th Adriatic Meeting on
  Particle Physics, Brijuni, Croatia (September 1994)",,,"UCRHEP-T138 (November 1994)","hep-ph",,"  Two first examples beyond the standard model are given which exhibit
left-right symmetry (g_L = g_R) and supersymmetry at a few TeV, together with
gauge-coupling unification at around 10^{16} GeV.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:17:05 GMT""}]","2007-05-23"
"hep-ph/9411409","Peigne","R.Baier, Yu.L.Dokshitzer, S.Peign\'e, D.Schiff","Induced Gluon Radiation in a QCD Medium","13 pages, 3 included figures, latex file","Phys.Lett. B345 (1995) 277-286","10.1016/0370-2693(94)01617-L","LPTHE-Orsay 94-98, LU TP 94-21, BI-TP 94-57","hep-ph",,"  Soft gluon radiation induced by multiple scattering of a fast quark or gluon
propagating through QCD matter is discussed. After revisiting the
Landau-Pomeranchuk-Migdal effect in QED we show that large formation times of
bremsstrahlung quanta determine the QCD radiation intensity (in analogy to QED)
and derive the gluon energy spectrum. Coherent suppression takes place as
compared to the Bethe-Heitler situation of independent emissions. As a result
the energy loss of fast partons in a QCD medium depends on the incident energy
$E$ similarly to QED, $-dE/dz \propto \sqrt{E}$.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:14:58 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 1994 16:00:00 GMT""}]","2009-10-28"
"hep-ph/9411410","Yue Hu","Yue Hu","Bubble Nucleation Rate In Fourth-Order Gravity","20 pages. TeX with phyzzx macro","Phys.Rev. D52 (1995) 961-968","10.1103/PhysRevD.52.961","CU-TP-661","hep-ph",,"  We calculate the bubble nucleation rate in a fourth-order gravity theory
whose action contains an $R^2$ term, under the thin-wall approximation, by two
different methods. First the bounce solution is found for the Euclidean version
of the original action. Next, we use a conformal transformation to transform
the theory into general relativity with an additional scalar field and then
proceed to find the bounce solution. The same results are obtained from both
calculations.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:49:10 GMT""}]","2009-10-28"
"hep-ph/9411411","Jesus","J.M. Moreno, D.H. Oaknin and M. Quir\'os","Fermions on the Electroweak String","12 text pages (Latex) and 8 postscript figures in a uuencoded file","Phys.Lett. B347 (1995) 332-340","10.1016/0370-2693(95)00074-U","CERN-TH.7511/94","hep-ph",,"  We construct a simple class of exact solutions of the electroweak theory
including the naked $Z$--string and fermion fields. It consists in the
$Z$--string configuration ($\phi,Z_\theta$), the {\it time} and $z$ components
of the neutral gauge bosons ($Z_{0,3},A_{0,3}$) and a fermion condensate
(lepton or quark) zero mode. The $Z$--string is not altered (no feed back from
the rest of fields on the $Z$--string) while fermion condensates are zero modes
of the Dirac equation in the presence of the $Z$--string background (no feed
back from the {\it time} and $z$ components of the neutral gauge bosons on the
fermion fields). For the case of the $n$--vortex $Z$--string the number of zero
modes found for charged leptons and quarks is (according to previous results by
Jackiw and Rossi) equal to $|n|$, while for (massless) neutrinos is $|n|-1$.
The presence of fermion fields in its core make the obtained configuration a
superconducting string, but their presence (as well as that of
$Z_{0,3},A_{0,3}$) does not enhance the stability of the $Z$--string.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 19:18:32 GMT""}]","2009-10-28"
"hep-ph/9411412","Randy Lewis","B. Holdom and Randy Lewis","Momentum dependent quark mass in two-point correlators","18 pages, LaTeX, figures in accompanying uuencoded postscript file.
  Published version. References added","Phys.Rev. D51 (1995) 6318-6326","10.1103/PhysRevD.51.6318","UTPT-94-35","hep-ph",,"  A momentum dependent quark mass may be incorporated into a quark model in a
manner consistent with dynamically broken chiral symmetry. We use this to study
the high $Q^2$ behavior of the vector, axialvector, scalar and pseudoscalar
two-point correlation functions. Expanding the results to order $1/Q^6$, we
show the correspondence between the dynamical quark mass and the vacuum
condensates which appear in the operator product expansion of QCD. We recover
the correct leading logarithmic $Q^2$ dependence of the various terms in the
OPE, but we also find substantial subleading corrections which are numerically
huge in a specific case. We conclude by using the vector minus axialvector
correlator to estimate the $\pi^+ - \pi^0$ electromagnetic mass difference.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:54:51 GMT""},{""version"":""v2"",""created"":""Wed, 26 Apr 1995 15:23:51 GMT""}]","2009-10-28"
"hep-ph/9411413","Binetruy","P. Binetruy, E. Dudas","Fermion mass hierarchies in low energy supergravity and superstring
  models","28 pages, Latex","Nucl.Phys.B442:21-46,1995","10.1016/S0550-3213(95)00069-0","LPTHE Orsay 94/73, SPhT Saclay T94/145","hep-ph",,"  We investigate the problem of the fermion mass hierarchy in supergravity
models with flat directions of the scalar potential associated with some gauge
singlet moduli fields. The low-energy Yukawa couplings are nontrivial
homogeneous functions of the moduli and a geometric constraint between them
plays, in a large class of models, a crucial role in generating hierarchies.
Explicit examples are given for no-scale type supergravity models. The Yukawa
couplings are dynamical variables at low energy, to be determined by a
minimization process which amounts to fixing ratios of the moduli fields. The
Minimal Supersymmetric Standard Model (MSSM) is studied and the constraints
needed on the parameters in order to have a top quark much heavier than the
other fermions are worked out. The bottom mass is explicitly computed and shown
to be compatible with the experimental data for a large region of the parameter
space.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 20:55:58 GMT""}]","2009-12-15"
"hep-ph/9411414","Plamen Krastev","J.N. Bahcall, P.I. Krastev and E. Lisi","Limits on Electron-Neutrino Oscillations from the GALLEX $^{51}$Cr
  Source Experiment","6 pages (REVTEX) + one figure (postscript), all in uuencoded format","Phys.Lett.B348:121-123,1995","10.1016/0370-2693(95)00111-W","IASSNS-AST 94/57","hep-ph",,"  The recent result from the chromium source experiment carried out by the
GALLEX collaboration implies interesting limits on the parameters $\Delta m^2$
and $\sin^22\theta$ describing neutrino oscillations. Values of $\Delta
m^2~>~0.17$ eV$^2$ for maximal mixing and of $\sin^22\theta > 0.38$ for $\Delta
m^2 > 1$~eV$^2$ are ruled out at 90\% C.L. This result improves by more than an
order of magnitude previous limits on $\Delta m^2$ derived from
electron-neutrino oscillation experiments at accelerators.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 01:34:32 GMT""}]","2009-10-07"
"hep-ph/9411415","Zhang Qin Hui","Chao wei-qin, Gao chong-shou, and Zhang qing-hui","Multi-Pion Correlation Effects on Two-Pion Interferometry","17 pages, six figures available upon requested","J.Phys. G21 (1995) 847-859","10.1088/0954-3899/21/6/012",,"hep-ph",,"  A general derivation of the multi-pion correlation function for completely
chaotic source is given. Its effects on the pion multiplicity distribution,
two-pion interferometry are studied. A generalized multi-pion correlation
function for a partially coherent source is also discussed.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 01:46:05 GMT""}]","2015-06-25"
"hep-ph/9411416","Sang Jin Sin","Hyun Kyu Lee, Mannque Rho and Sang-Jin Sin","Renormalization-Group Flow Analysis of Meson Condensations in Dense
  Matter","12 pages, 2 figures, (latex 36k+90k)","Phys.Lett. B348 (1995) 290-296","10.1016/0370-2693(95)00171-G",,"hep-ph nucl-th",,"  We present a renormalization-group (RG) flow argument for s-wave kaon
condensation in dense nuclear-star matter predicted in chiral perturbation
theory. It is shown that it is the {\it relevant} mass term together with {\it
any} attractive interaction for the kaon in medium that triggers the
instability. We show that a saddle point of multi-dimensional RG flow can imply
a phase transition. Pion condensation is also analyzed along the same line of
reasoning.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 15:05:57 GMT""}]","2009-10-28"
"hep-ph/9411417","Murman Margvelashvili","V.Kartvelishvili and M.Margvelashvili","On Instanton Contributions to the tau Hadronic Width","6 pages, Latex file","Phys.Lett. B345 (1995) 161-165","10.1016/0370-2693(94)01616-K","INFN-FE 08-94","hep-ph",,"  Comparing the results of finite energy and Borel transformed sum rules for
the difference of vector and axial vector current correlators we evaluate the
instanton contributions to the $\tau$ hadronic width. In contrast to an
explicit theoretical calculation we find that the instanton contributions to
the $\tau$ hadronic width are much smaller than the standard nonperturbative
corrections.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:55:15 GMT""}]","2009-10-28"
"hep-ph/9411418","Robert Harlander","J.H. K\""uhn and E. Mirkes","Semileptonic tau decays, structure functions, kinematics and
  polarisation","12 pages, LaTeX (uses epsf.sty, 3 ps-figures appended as extra
  uuencoded file) The complete paper, including figures, is also available via
  anonymous ftp at ftp://ttpux2.physik.uni-karlsruhe.de/ttp94-27/ttp94-27.ps,
  or via www at http://ttpux2.physik.uni-karlsruhe.de/preprints.html","Nucl.Phys.Proc.Suppl.40:181-189,1995","10.1016/0920-5632(95)00143-W","TTP94-27","hep-ph",,"  The most general angular distribution of two or three meson final states from
semileptonic decays $\tau\rightarrow \pi\pi\nu$, $K\pi\nu$, $\pi\pi\pi\nu$,
$K\pi\pi\nu$, $K\pi\nu$, $KKK\nu$, $\eta\pi\pi\nu,\,\ldots{}$ of polarized
$\tau$ leptons can be characterized by 16 structure functions. Predictions for
hadronic matrix elements, based on CVC and chiral Lagrangians and their
relations to the structure functions are discussed. Most of them can be
determined in currently ongoing high statistics experiments. Emphasis of the
kinematical analysis is firstly put on $\tau$ decays in $e^{+}e^{-}$
experiments where the neutrino escapes detection and the $\tau$ rest frame
cannot be reconstructed. Subsequently it is shown, how the determination of
hadron tracks in double semileptonic events allows to fully reconstruct the
$\tau$ kinematics. The implications for the spin analysis are indicated.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 09:03:52 GMT""}]","2011-07-19"
"hep-ph/9411419","Bodenmueller","Harald Fritzsch","Lepton-Quark Masses and Democratic Symmetry","7 Latex pages, nuclphys.sty appended after \end{document}","Nucl.Phys.Proc.Suppl. 40 (1995) 121-127","10.1016/0920-5632(95)00136-W","MPI-PhT/94-77","hep-ph",,"  It is shown that the simplest breaking of the subnuclear democracy leads to a
successful description of the mixing between the second and third family. In
the lepton channel the nu_mu - nu_tau -oscillations are expected to be
described by a mixing angle of 2.65 degrees which might be observed soon in
neutrino experiments.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 09:28:43 GMT""}]","2009-10-28"
"hep-ph/9411420","Johan Bijnens","Johan Bijnens","Effective Lagrangians for Light Quarks","LaTeX, 16 pages, 4 figures (included, uses epsf.sty, talk presented
  at Perspectives in Particle Physics 94, Brijuni, Croatia, Sept. 94",,,"NORDITA - 94/65 N,P","hep-ph",,"  The class of phenomenological Lagrangians used for light constituent quarks
is discussed. The Nambu-Jona-Lasinio model is then argued to be a good
phenomenological choice and the quality of its prediction in the purely
hadronic sector including several relations between parameters illustrated.
Then we use these models to calculate nonleptonic matrix elements. The
$\pi^+-\pi^0$ mass difference and the $B_K$ parameter, relevant in
$K^0-\overline{K}^0$ mixing, are treated in more detail.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 11:16:44 GMT""}]","2007-05-23"
"hep-ph/9411421",,"Yuri Novozhilov, Andrei Pronko and Dmitri Vassilevich","Extended Chiral Transformations Including Diquark Fields as Parameters","Latex file, to apear in Phis. Lett. B","Phys.Lett. B343 (1995) 358-362; Erratum-ibid. B351 (1995) 601","10.1016/0370-2693(94)01451-H","SPbU-IP-94-17","hep-ph",,"  We introduce extended chiral transformation, which depends both on
pseudoscalar and diquark fields as parameters and determine its group
structure. Assuming soft symmetry breaking in diquark sector, bosonisation of a
quasi-Goldstone $ud$-diquark is performed. In the chiral limit the $ud$-diquark
mass is defined by the gluon condensate, $m_{ud}\approx 300 MeV$. The diquark
charge radius is $\langle r^2_{ud}\rangle^{1/2}\approx 0.5 fm$.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 14:23:53 GMT""}]","2009-10-28"
"hep-ph/9411422","Halperin Igor","Igor Halperin","Soft Gluon Suppression of $ 1/N_{c} $ Contributions in Color Suppressed
  Heavy Meson Decays","10 pages, LATEX, no figures","Phys.Lett. B349 (1995) 548-554","10.1016/0370-2693(95)00264-L","TECHNION-PHYS-94-16","hep-ph",,"  We discuss the non-factorizable terms in color suppressed (Class II) decays.
Our emphasis is on the non-perturbative soft gluon exchange mechanism, which
has been previously found to be responsible for the rule of discarding $
1/N_{c} $ in the Class I decays. The non-factorizable contribution to the
decays $ \bar{B}^{0} \rightarrow D^{0} \pi^{0} $ at the tree level is estimated
within the light cone QCD sum rule method which combines the technique of the
QCD sum rules with the description of the pion in terms of the set of wave
functions of increasing twist. We find that the same soft gluon exchange
mechanism tends to cancel the $ 1/N_{c} $ term in the factorized amplitude.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:37:51 GMT""}]","2009-10-28"
"hep-ph/9411435",,"Amitava Datta, Aseshkrishna Datta and Sreerup Raychaudhuri","Observing Virtual LSPs at LEP II","11 pages,latex,4 figs(available from the authors on request)","Phys.Lett. B349 (1995) 113-117","10.1016/0370-2693(95)00225-A","DO-TH 94/25, TIFR/TH/94-48","hep-ph",,"  In the minimal supersymmetric extension of the Standard Model (MSSM) with
$R$-parity conservation the possibility that the sneutrino and the second
lightest neutralino decay dominantly into invisible channels and, in addition
to the lightest neutralino, carry missing energy, is still open --- both
theoretically and experimentally. It is shown that for a large region of the
parameter space allowed by {\rm LEP-I} data, these particles can contribute
significantly to the process $e^+ e^- \longrightarrow \gamma$ + {\rm nothing}.
This signal, if it exists, can be easily detected at {\rm LEP-II} as an
enhancement over the Standard Model or the conventional MSSM predictions.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 09:55:07 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 1994 15:41:24 GMT""}]","2009-10-28"
"hep-ph/9411436","Cvetic","Gorazd Cvetic","A general framework with two Higgs doublets and suppressed FCNC","18 pages, LaTeX, 6 PostScript figures. 3 additional figures available
  upon request",,,"DO-TH-94/27","hep-ph",,"  We investigated a general framework of the Standard Model with two Higgs
doublets (2HDSM) with suppressed flavor-changing neutral currents (FCNC's).
Loop-induced FCNC (and CP-violating) effects, when confronted with experimental
constraints for the $K$-$\bar K$, $B$-$\bar B$ and $D$-$\bar D$ mixing and for
the $(b \to s \gamma)$ decay, provide us with constraints on the values of the
dominant Yukawa couplings of the charged Higgs, i.e., the values of the
couplings of $H^{\pm}$ to $t$ and $b$ quarks. Once these {\it low} energy
experimental data relevant for the mixings and for the mentioned decay, as well
as the theoretical uncertainties for the hadronic matrix elements, are
sufficiently reduced, such analyses may be able to rule out the minimal SM and
even certain special types of the 2HDSM's (e.g., the popular ``type II'', and
``type I'' 2HDSM). In such a case, a more general 2HDSM framework discussed
here could still survive as a viable framework. Eventual detection of the
charged Higgs in high energy experiments and the measurement of its mass would
represent important information that would additonally help to rule out or to
favor the various specific 2HDSM scenarios that are contained in the discussed
2HDSM framework.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 15:16:01 GMT""}]","2009-09-25"
"hep-th/9411203","Ferdinando Gliozzi","F.Gliozzi and R.Tateo","ADE functional dilogarithm identities and integrable models","LaTeX, 9 pages, no figures","Phys.Lett. B348 (1995) 84-88","10.1016/0370-2693(95)00125-5",,"hep-th math.QA q-alg",,"  We describe a new infinite family of multi-parameter functional equations for
the Rogers dilogarithm, generalizing Abel's and Euler's formulas. They are
suggested by the Thermodynamic Bethe Ansatz approach to the Renormalization
Group flow of 2D integrable, ADE-related quantum field theories. The known sum
rules for the central charge of critical fixed points can be obtained as
special cases of these. We conjecture that similar functional identities can be
constructed for any rational integrable quantum field theory with factorized
S-matrix and support it with extensive numerical checks.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 16:54:34 GMT""}]","2009-10-28"
"hep-th/9411204","Frank Antonuccio","F.Antonuccio and S.Dalley","c>1 Non-Critical Strings and Large-N Matrix Field Theory","9 pages LateX + 7 figures uuencoded","Phys. Lett. B348 (1995) 55","10.1016/0370-2693(95)00108-W","OUTP-9430P","hep-th hep-lat",,"  Motivated by a possible relativistic string description of hadrons we use a
discretised light-cone quantisation and Lanczos algorithm to investigate the
phase structure of phi^3 matrix field theory in the large N limit. In 1+1
dimensions we confirm the existence of Polyakov's non-critical string theory at
the boundary between parton-like and string-like phases, finding critical
exponents for longitudinal oscillations equal to or consistent with those given
by a mean field argument. The excitation spectrum is finite, possibly discrete.
We calculate light-cone structure functions and find evidence that the
probability Q(x) of a parton in the string carrying longitudinal momentum
fraction between x and x+dx has support on all 0<x<1, despite the average
number of partons being infinite.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:37:08 GMT""}]","2009-10-28"
"hep-th/9411205","Damiano Anselmi","Damiano Anselmi and Pietro Fre'","Gauged Hyperinstantons and Monopole Equations","13 pages, latex, no figures, [revision: a couple of references
  reordered correctly]","Phys. Lett. B347 (1995) 247","10.1016/0370-2693(95)00033-H","HUTP-94/A041 and SISSA 182/94/EP","hep-th",,"  The monopole equations in the dual abelian theory of the N=2 gauge-theory,
recently proposed by Witten as a new tool to study topological invariants, are
shown to be the simplest elements in a class of instanton equations that follow
from the improved topological twist mechanism introduced by the authors in
previous papers. When applied to the N=2 sigma-model, this twisting procedure
suggested the introduction of the so-called hyperinstantons, or triholomorphic
maps. When gauging the sigma-model by coupling it to the vector multiplet of a
gauge group G, one gets gauged hyperinstantons that reduce to the
Seiberg-Witten equations in the flat case and G=U(1). The deformation of the
self-duality condition on the gauge-field strength due to the
monopole-hyperinstanton is very similar to the deformation of the self-duality
condition on the Riemann curvature previously observed by the authors when the
hyperinstantons are coupled to topological gravity. In this paper the general
form of the hyperinstantonic equations coupled to both gravity and gauge
multiplets is presented.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:57:01 GMT""},{""version"":""v2"",""created"":""Mon, 19 Dec 1994 21:51:04 GMT""}]","2009-10-28"
"hep-th/9411206","Damiano Anselmi","Damiano Anselmi","Nodes as Composite Operators in Matrix Models","22 pages, latex, 1+5 figures. 1 figure available on request","Class.Quant.Grav.12:1135-1150,1995","10.1088/0264-9381/12/5/005","SISSA/ISAS 110/94/EP","hep-th",,"  Riemann surfaces with nodes can be described by introducing simple composite
operators in matrix models. In the case of the Kontsevich model, it is
sufficient to add the quadratic, but ``non-propagating'', term (tr[X])^2 to the
Lagrangian. The corresponding Jenkins-Strebel differentials have pairwise
identified simple poles. The result is in agreement with a conjecture
formulated by Kontsevich and recently investigated by Arbarello and Cornalba
that the set ${\cal M}_{m*,s}$ of ribbon graphs with s faces and
$m*=(m_0,m_1,\ldots,m_j,\ldots)$ vertices of valencies
$(1,3,\ldots,2j+1,\ldots)$ ``can be expressed in terms of Mumford-Morita
classes'': one gets an interpretation for univalent vertices. I also address
the possible relationship with a recently formulated theory of constrained
topological gravity.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 20:13:41 GMT""},{""version"":""v2"",""created"":""Tue, 29 Nov 1994 14:08:29 GMT""}]","2010-04-06"
"hep-th/9411207","Bougourzi Hamid A.","A.H. Bougourzi","N-point matrix elements of dynamical vertex operators of the higher spin
  XXZ model","16 pages, CRM-2207, LaTex","J.Phys. A28 (1995) 5831-5842","10.1088/0305-4470/28/20/015",,"hep-th",,"  We extend the concept of conjugate vertex operators, first introduced by
Dotsenko in the case of the bosonization of the $su(2)$ conformal field theory,
to the bosonization of the dynamical vertex operators (type II in the
classification of the Kyoto school) of the higher spin XXZ model. We show that
the introduction of the conjugate vertex operators leads to simpler expressions
for the N-point matrix elements of the dynamical vertex operators, that is,
without redundant Jackson integrals that arise from the insertion of screening
charges. In particular, the two-point matrix element can be represented without
any integral.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 21:28:09 GMT""}]","2009-10-28"
"hep-th/9411208",,"Martin Markl","Models for Operads","33 pages, LaTeX, article 12pt style, no figures",,,,"hep-th math.QA q-alg",,"  We study properties of differential graded (dg) operads modulo weak
equivalences, that is, modulo the relation given by the existence of a chain of
dg operad maps inducing a homology isomorphism. This approach, naturally
arising in string theory, leads us to consider various versions of models.
Besides of some applications in topology and homological algebra we show that
our theory enables one to prove the existence of homotopy structures on
physically relevant spaces. For example, we prove that a closed string-field
theory induces a homotopy Lie algebra structure on the space of relative
states, which is one of main results of T. Kimura, A. Voronov and J. Stasheff
(see [16]). Our theory gives a systematic way to prove statements of this type.
The paper is a corrected version of a preprint which began to circulate in
March 1994, with some new examples added.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 00:05:19 GMT""}]","2008-02-03"
"hep-th/9411209","Kenneth S. Clubok","M.B. Halpern","Irrational Conformal Field Theory on the Sphere and the Torus","LaTex file, 16 pages, Invited talk at the XIth International Congress
  of Mathematical Physics, Paris, July 18-23, 1994, One misspelled name
  corrected",,,"UCB-PTH-94/33, LBL-36437","hep-th",,"  I review the foundations of irrational conformal field theory (ICFT), which
includes rational conformal field theory as a small subspace. Highlights of the
review include the Virasoro master equation and the generalized
Knizhnik-Zamolodchikov equations for the correlators of ICFT on the sphere and
the torus.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 01:50:05 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 1994 05:30:10 GMT""}]","2008-02-03"
"hep-th/9411211","Vadim Vereschagin","V.L.Vereschagin","Asymptotics of Solutions of the Discrete String Equation","24 pp., Latex",,,,"hep-th",,"  The main subject of the paper is the so-called Discrete Painlev\'e-1 Equation
(DP1). Solutions of DP1 are classified under criterion of their behavior while
argument tends to infinity. The Isomonodromic Deformations Method yields
asymptotic formulae for regular solutions of DP1. DP1 is an integrable system,
what allows to develop appropriate Whitham theory. Asymptotics of singular
solutions of DP1 are calculated by using the Whitham method.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 12:50:12 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 1995 14:08:52 GMT""},{""version"":""v3"",""created"":""Mon, 18 Dec 1995 11:22:23 GMT""}]","2008-02-03"
"hep-th/9411212","Jean-Bruno Erismann","Jerzy Kijowski","Relativistic Elastomechanics is a Gauge--Type Theory","12 pages,TeX",,,"CPT-94/P.3102","hep-th",,"  A new approach to relativistic elasticity theory is proposed. In this
approach the theory becomes a gauge--type theory, with the diffeomorphisms of
the material space playing the role of gauge transformations. The dynamics of
the elastic material is expressed in terms of three independent, hyperbolic,
second order partial differential equations imposed on three (independent)
gauge potentials. The relationship with the Carter-Quintana approach is
discussed.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 09:31:45 GMT""}]","2007-05-23"
"hep-th/9411213","Spenta Wadia","Spenta R. Wadia","$W_\infty$ Algebra and Geometric Formulation of QCD$_2$","3 pages, latex, conference talk",,,,"hep-th",,"  We review the gauge invariant formulation of 2-dim. QCD. We show that the
non-linear gauge invariant phase space is the coset $W_\infty/W_{+\infty}\times
W_{-\infty}$ ,which is specified by the $N=\infty$ master-field of this model.
The meson fields correspond to the local coordinates of the coset. We comment
on the stringy collective coordinates of the solitons (baryons) in this model.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:37:44 GMT""}]","2007-05-23"
"hep-th/9411214","Shtykov Nikolay","N. Shtykov and D.V.Vassilevich","The heat kernel for deformed spheres","10 pages, latex, no figures","J.Phys. A28 (1995) L37-L44","10.1088/0305-4470/28/1/007","TIT/HEP-265/94","hep-th",,"  We derive the asymptotic expansion of the heat kernel for a Laplace operator
acting on deformed spheres. We calculate the coefficients of the heat kernel
expansion on two- and three-dimensional deformed spheres as functions of
deformation parameters. We find that under some deformation the conformal
anomaly for free scalar fields on $R^4\times \tilde S^2$ and $R^6\times \tilde
S^2$ is canceled.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 12:00:00 GMT""}]","2009-10-28"
"hep-th/9411215",,"Janos Polonyi","Fixed points, saddle points and universality","presented at ""Infrared Quantum Physics"", Paris, June, 1994, 5 pg",,,,"hep-th",,"  It is pointed out that the universality might seriously be violated by models
with several fixed points.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:16:48 GMT""}]","2007-05-23"
