"alg-geom/9412012","J. M. Landsberg","J.M. Landsberg","On Degenerate Secant and Tangential Varieties and Local Differential
  Geometry","Exposition altered according to the helpful recommendations of the
  referee. AMSTeX",,,,"alg-geom dg-ga math.AG math.DG",,"  We study the local differential geometry of varieties $X^n\subset \Bbb C\Bbb
P^{n+a}$ with degenerate secant and tangential varieties. We show that the
second fundamental form of a smooth variety with degenerate tangential variety
is subject to certain rank restrictions. The rank restrictions imply a slightly
refined version of Zak's theorem on linear normality and a short proof of the
Zak-Fantecchi theorem on the superadditivity of multisecant defects. We show
there is a vector bundle defined over general points of $TX$ whose fibers carry
the structure of a Clifford algebra. This structure implies additional
restrictions of the size of the secant defect. The Clifford algebra structure,
combined with further local computations, yields a new proof of Zak's theorem
on Severi varieties that is substantially shorter than the original. We also
prove local and global results on the dimension of the Gauss image of
degenerate tangential varieties, refining the results in [GH].
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 21:11:02 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 1995 14:21:07 GMT""}]","2008-02-03"
"hep-lat/9412071","Michael Ogilvie","Peter N. Meisinger and Michael C. Ogilvie","An Effective Action for Finite Temperature QCD with Fermions","3 pages, 3 figures, latex, self-extracting, Lattice '94 contribution","Nucl.Phys.Proc.Suppl. 42 (1995) 532-534","10.1016/0920-5632(95)00303-Q",,"hep-lat",,"  Using lattice perturbation theory at finite temperature, we compute for
staggered fermions the one-loop fermionic corrections to the spatial and
temporal plaquette couplings as well as the leading $Z_N$ symmetry breaking
coupling. Numerical and analytical considerations indicate that the finite
temperature corrections to the zero-temperature calculation of A. Hasenfratz
and T. DeGrand are small for small values of $\kappa = {1\over 2m_F}$, but
become significant for intermediate values of $\kappa$. The effect of these
finite temperature corrections is to ruin the agreement of the
Hasenfratz-DeGrand calculation with Monte Carlo data. We conjecture that the
finite temperature corrections are suppressed nonperturbatively at low
temperatures, resolving this apparent disagreement. The $Z_N$ symmetry breaking
coupling is small; we argue that it may change the order of the transition
while having little effect on the critical value of $\beta$.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 18:29:30 GMT""}]","2009-10-28"
"hep-lat/9412072","Keijo Kajantie","K. Kajantie","Hot electroweak matter","10 pages, uuencoded compressed postscript file, contribution to
  LATTICE94","Nucl.Phys.Proc.Suppl. 42 (1995) 103-112","10.1016/0920-5632(95)00192-C","HU-TFT-94-51","hep-lat",,"  This talk summarises recent results on lattice Monte Carlo studies of finite
T electroweak phase transition. Particular attention is given to the 3d
effective theory approach, replacing the full 4d theory by a three dimensional
effective theory of the modes constant in imaginary time.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 12:24:43 GMT""}]","2009-10-28"
"hep-lat/9412073","Juergen Riedler","W. Beirl, P. Homolka, B. Krishnan, H. Markum, J. Riedler","Quantum gravity and spin systems","3 pages, uuencoded postscript file, contribution to the XII Int.
  Symp. on Lattice Field Theory, Bielefeld, Germany, 1994","Nucl.Phys.Proc.Suppl. 42 (1995) 710-712","10.1016/0920-5632(95)00358-G",,"hep-lat",,"  A new method for nonperturbative investigations of quantum gravity is
presented in which the simplicial path integral is approximated by the
partition function of a spin system. This facilitates analytical and numerical
computations considerably. In two dimensions equivalence to an Ising model with
ternary couplings is recovered. First simulations in four dimensions indicate
strong similarities to the phase structure of original Regge theory.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 15:50:45 GMT""}]","2009-10-28"
"hep-ph/9412288","T. M. Bibilashvili","Tengiz M. Bibilashvili","The Problem of the Double Time-Ordered Operator Product Calculation in
  the Nonequilibrium Quantum Field Theory","10 pages in LaTeX, 4 figures in LaTeX, introduction and some Comments
  are revised",,,"IP-HE-17/94","hep-ph",,"  It is shown that calculation of the operator's groups product with the
independent time ordering procedure in each one is important for some problems
in the nonequilibrium quantum field theory at finite temperature. This problem
is solved in terms of path integrals by means of time-integration contour
transformation. A role of thermal ghosts for this problem is also discussed.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 17:57:27 GMT""},{""version"":""v2"",""created"":""Thu, 15 Dec 1994 12:19:41 GMT""},{""version"":""v3"",""created"":""Tue, 10 Jan 1995 17:14:46 GMT""}]","2009-09-25"
"hep-ph/9412289","Erwin Mirkes","E. Mirkes and J. Ohnemus","Angular Distributions of Drell-Yan Lepton Pairs at the Tevatron: Order
  $\alpha_s^2$ Corrections and Monte Carlo Studies","26 pages (Revtex) plus 9 (uuencoded) postscript figures available as
  a compressed tar file at
  ftp://phenom.physics.wisc.edu/pub/preprints/madph-94-857-figs.tar.Z","Phys.Rev. D51 (1995) 4891-4904","10.1103/PhysRevD.51.4891","MAD/PH/857, UCD-94-39","hep-ph",,"  We investigate the angular distribution of the lepton pair in the process $p
\bar{p} \rightarrow \gamma^{\ast} + X \rightarrow \ell^+\ell^- + X$, where the
virtual photon is produced at high transverse momentum. The angular
distribution of the leptons is very sensitive to possible nonperturbative
effects, such as a nontrivial vacuum structure of QCD, and offers a good chance
to test such effects. We present complete ${\cal O}(\alpha_s^2)$ calculations
of the decay lepton distributions in the lepton pair rest frame. An order
${\cal O}(\alpha_s)$ Monte Carlo study of the lepton angular distributions,
with acceptance cuts and energy resolution smearing applied to the leptons, is
also presented.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 16:18:01 GMT""},{""version"":""v2"",""created"":""Wed, 14 Dec 1994 22:53:45 GMT""}]","2009-10-28"
"hep-ph/9412290",,"A.Bottino, N.Fornengo, G.Mignola and S.Scopel","Searching for Relic Neutralinos","Invited Talk to ""Physics from Planck Scale to Electroweak Scale"",
  Warsaw, September 1994 (presented by A.Bottino) - 10 pages, 9 figures - LaTex
  file, figures not included - Complete PostScript file, with all figures
  embedded is available at ftp://toxd01.to.infn/pub/giulio/warsaw94.ps",,,"DFTT-67/94, GEF-Th-10/94","hep-ph astro-ph",,"  Theoretical expectations for direct and indirect searches for relic
neutralinos are presented. Complementarity among various investigation means is
discussed in connection with the values of the neutralino relic abundance.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 17:21:27 GMT""}]","2009-09-25"
"hep-ph/9412291","George Siopsis","George Siopsis (The University of Tennessee, Knoxville)","Electroweak corrections to the toponium decay width","to be published in Phys. Lett. B, 9 pages LaTeX (incl. 3 figures)
  uses feynman, epic and eepic","Phys.Lett. B345 (1995) 532-536","10.1016/0370-2693(94)01647-U","UTHEP-94-1001","hep-ph",,"  We discuss one-loop electroweak corrections to the decay width of toponium.
We calculate the energy-level shifts by expanding around the solution of the
Bethe-Salpeter equation in the instantaneous approximation, in analogy with the
positronium case. We show that first-order electroweak effects are suppressed
by at least four powers of the strong coupling constant, and are therefore
negligible compared with QCD corrections. The calculation is manifestly gauge
invariant and takes into account the contributions to the decay rate due to
both Coulomb enhancement and phase space reduction effects.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 19:21:46 GMT""}]","2009-10-28"
"hep-ph/9412292","Nina Byers","Nina Byers (UCLA)","Threshold production of charmed and B mesons in e+e- annihilation","26 pages, LaTEX file using REVTEX and epsfig; figures called by this
  file are in a file submitted separately using 'figures' command. e-mail
  byers@uclahep.physics.ucla.edu. To be published in the Proceedings of the
  Int'l Conf. on Quark Confinement and the Hadron Spectrum, Villa Olmo-Como,
  Italy, 20-24 June 1994",,,"UCLA/94/TEP/47","hep-ph hep-ex",,"  A simple extension of the QCD inspired potential model which includes
dynamical quarks first proposed by Eichten et al. is remarkably successful in
accounting both for the observed narrow state heavy quarkonium spectroscopy and
experimental data on threshold production of charmed and B mesons in e+e-
annihilation. In addition to this model, a variant of it can also account for
the data. The cross section data are mainly inclusive cross section
measurements. The two models give distinguishably different predictions for the
energy dependence of production cross sections for individual channels, and
measurment of the energy dependence of production cross sections for individual
channels may distinguish between these models.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 02:15:00 GMT""}]","2007-05-23"
"hep-ph/9412293","Kumar S. Gupta","A.Abd El-Hady, K.S.Gupta, A.J.Sommerer, J.Spence and J.P.Vary","Isgur-Wise Function and $V_{cb}$ from Bethe-Salpeter Equations","12 Pages, 6 Postscript figures (appended at the end with
  instructions, available also from gupta@iastate.edu)","Phys.Rev.D51:5245-5250,1995","10.1103/PhysRevD.51.5245","ISU-NP-94-13","hep-ph nucl-th",,"  We calculate the Isgur-Wise function from the solutions of the Bethe-Salpeter
equations. The shape of the Isgur-Wise function thus calculated is a prediction
of the Bethe-Salpeter equations and does not depend on undetermined parameters.
We develop an analytical approximation to our Isgur-Wise function in the form
$\xi ( \omega) = \eta [ 1 - \frac{{\rho^2}}{\eta} (\omega - 1) + a (\omega -
1)^{3/2}]$ where $\rho^2 = 1.279$, $a = .91$, $\eta = .9942$ and $\omega$ is
the recoil velocity. The Isgur-Wise function is then used to obtain $V_{cb}$
from the recent experimental data of ${\bar B} \to D^* \ell \bar\nu$ decay. Our
best estimate of $V_{cb}$ is $(34.7 \pm 2.5) \times 10^{-3}$, which is
comparable to some of the latest estimates in the literature.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 03:39:59 GMT""}]","2010-11-01"
"hep-ph/9412294","Tim Stelzer","Lynne H. Orr, T. Stelzer, W.J. Stirling","Gluon Radiation in t\bar{t} Production at the Tevatron p\bar{p} Collider","12 pages, latex, 9 uuencoded postscript figures","Phys.Rev. D52 (1995) 124-132","10.1103/PhysRevD.52.124","DTP/94/112, UR-1397, ER-40685-845","hep-ph",,"  We present a complete calculation of the matrix elements for the processes $q
\bar q, gg \to b W^+ \bar b W^- g$ and $qg \to b W^+ \bar b W^- q$ which are
relevant for the study of events with an additional jet in $t \bar t$
production at the Tevatron $p \bar p $ collider. Our calculation includes (i)
the contributions from gluons emitted during the top production and decay
stages and the interference between these, and (ii) the complete set of Feynman
diagrams corresponding to both resonant and non-resonant top production. We
study the distribution in phase space of the additional parton jet and make
comparisons with previous studies based on the soft-gluon approximation and
with results from parton-shower Monte Carlo simulations. The implications for
top mass measurements are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 10:32:23 GMT""}]","2009-10-28"
"hep-ph/9412295",,"Stephan Narison (Univ. Montpellier)","Alpha_s from Tau Decays","Due to some requests, this paper replaces file corrupted by e-mail
  transfer: Talk given at the third Workshop on Tau Lepton Physics, Montreux,
  Switzerland, September 1994. published in Nucl.Phys. B, proceedings
  supplement, 40 (1995) 47-58","Nucl.Phys.Proc.Suppl. 40 (1995) 47-58","10.1016/0920-5632(95)00129-W","CERN-TH 7506/94","hep-ph",,"  We review the present status in the determination of the $accurate$ value of
$\alpha_s$ from $\tau$-decays, where we discuss in detail the different sources
of theoretical errors.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 11:45:16 GMT""},{""version"":""v2"",""created"":""Mon, 16 Oct 1995 11:58:00 GMT""}]","2009-10-28"
"hep-ph/9412296","Carlo Giunti","S.M. Bilenky and C. Giunti","A Model Independent Analysis of Solar Neutrino Data","Latex file, 4 pages (2 figures included). The postscript file of text
  and figures is available at
  ftp://toxd01.to.infn.it/pub/giunti/dftt-68-94/dftt-68-94.ps.Z",,,"DFTT 68/94; to be published in the Proc. of ""Trends in Astroparticle
  Physics"", Stockholm, Sweden, 22 - 25 September 1994","hep-ph",,"  We present the results of a solar model independent analysis of the existing
solar neutrino data in the case of $\nu_{e}\to\nu_{\mu(\tau)}$ MSW transitions.
We considered two cases. In the first case no assumptions on the values of the
total fluxes of neutrinos from all reactions have been made. In the second case
we constrained the values of the neutrino fluxes within some wide limits that
take into account the predictions of the existing Standard Solar Models. We
show that in both cases the existing data allow to exclude rather large regions
in the plane of the parameters $ \Delta m^2 $ and $ \sin^2 2\theta $.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 11:33:30 GMT""}]","2007-05-23"
"hep-th/9412116","Anton Zabrodin","A.V.Zabrodin","Quantum transfer matrices for discrete and continuous quasi-exactly
  solvable problems","15 pages, standard LaTeX","Theor.Math.Phys.104:762-776,1996; Teor.Mat.Fiz.104N1:8-24,1995","10.1007/BF02066651","ITEP-Z2/94","hep-th",,"  We clarify the algebraic structure of continuous and discrete quasi-exactly
solvable spectral problems by embedding them into the framework of the quantum
inverse scattering method. The quasi-exactly solvable hamiltonians in one
dimension are identified with traces of quantum monodromy matrices for specific
integrable systems with non-periodic boundary conditions. Applications to the
Azbel-Hofstadter problem are outlined.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 17:41:10 GMT""}]","2014-11-18"
"hep-th/9412117","Philip Candelas","Philip Candelas, Xenia de la Ossa and Sheldon Katz","Mirror Symmetry for Calabi-Yau Hypersurfaces in Weighted P_4 and
  Extensions of Landau Ginzburg Theory","29 pages, plain TeX. Two figures submitted separately as a uuencoded
  file. A plot at the end of the paper requires an extended memory version of
  TeX. Instructions for suppressing the plot included at head of source file","Nucl.Phys. B450 (1995) 267-292","10.1016/0550-3213(95)00189-Y","IASSNS-HEP-94/100, NEIP-94-009, OSU Math 1993-3, UTTG-25-93","hep-th alg-geom math.AG",,"  Recently two groups have listed all sets of weights (k_1,...,k_5) such that
the weighted projective space P_4^{(k_1,...,k_5)} admits a transverse
Calabi-Yau hypersurface. It was noticed that the corresponding Calabi-Yau
manifolds do not form a mirror symmetric set since some 850 of the 7555
manifolds have Hodge numbers (b_{11},b_{21}) whose mirrors do not occur in the
list. By means of Batyrev's construction we have checked that each of the 7555
manifolds does indeed have a mirror. The `missing mirrors' are constructed as
hypersurfaces in toric varieties. We show that many of these manifolds may be
interpreted as non-transverse hypersurfaces in weighted P_4's, ie,
hypersurfaces for which dp vanishes at a point other than the origin. This
falls outside the usual range of Landau--Ginzburg theory. Nevertheless
Batyrev's procedure provides a way of making sense of these theories.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 20:33:20 GMT""}]","2009-10-28"
"hep-th/9412119",,"Stefan Mashkevich, Jan Myrheim, K{\aa}re Olaussen and Ronald Rietman","Solution of the Three--Anyon Problem","15 pages, LaTeX2.09","Phys.Lett. B348 (1995) 473","10.1016/0370-2693(95)00139-C","Theoretical Physics Seminar in Trondheim, No.\ 28, 1994","hep-th cond-mat",,"  We solve, by separation of variables, the problem of three anyons with a
harmonic oscillator potential. The anyonic symmetry conditions from cyclic
permutations are separable in our coordinates. The conditions from two-particle
transpositions are not separable, but can be expressed as reflection symmetry
conditions on the wave function and its normal derivative on the boundary of a
circle. Thus the problem becomes one-dimensional. We solve this problem
numerically by discretization. $N$-point discretization with very small $N$ is
often a good first approximation, on the other hand convergence as $N\to\infty$
is sometimes very slow.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 10:52:19 GMT""}]","2009-10-28"
"hep-th/9412120","Michio Ikehara","M. Ikehara","The Continuum Limit of the Schwinger-Dyson Equations of the One and Two
  Matrix Model with Finite Loop Length","13 pages, LaTeX","Phys. Lett. B348 (1995) 365","10.1016/0370-2693(95)00191-M","KEK-TH-424","hep-th",,"  We take the continuum limit of the \sdeq s of the one and two matrix model
without expanding them in the length of the loop. The resulting equations agree
with those proposed for string field theory in the temporal gauge. We find that
the loop operators are required to mix in the two matrix model case and
determine the non-constant tadpole terms.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 12:25:13 GMT""}]","2009-10-28"
"hep-th/9412121",,"F.A.Lunev","Renormalization without regularization and R-operation","Talk given at IX Workshop on High Energy Physics and Quantum Field
  Theory, Zvenigorod, Russia, 14-19 September 1994; LaTeX, 5 pages",,,,"hep-th",,"  Definition of Feynman integrals as solutions of some well defined systems of
differential equations is proposed. This definition is equivalent to usual one
but needs no regularization and application of $R$-operation. It is argued that
proposed renormalization scheme maintains all symmetries that can be maintained
in perturbative quantum field theory, and also is convenient for practical
calculations.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 13:19:23 GMT""}]","2007-05-23"
"hep-th/9412122",,"C. Cronstrom, M. Noga","Multi-Hamiltonian Structure of Lotka-Volterra and Quantum Volterra
  Models","14 pages","Nucl.Phys. B445 (1995) 501-515","10.1016/0550-3213(95)00152-I","NORDITA - 94/59 P","hep-th",,"  We consider evolution equations of the Lotka-Volterra type, and elucidate
especially their formulation as canonical Hamiltonian systems. The general
conditions under which these equations admit several conserved quantities
(multi-Hamiltonians) are analysed. A special case, which is related to the
Liouville model on a lattice, is considered in detail, both as aclassical and
as aquantal system
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 13:41:04 GMT""}]","2016-09-06"
"hep-th/9412123","Stephan Braune","S. Braune, HU Berlin","Geometrical Properties of Conformal Field Theories Coupled to
  Two-Dimensional Quantum Gravity","10 pages, TeX, no figures","Int.J.Mod.Phys.A11:1913-1928,1996","10.1142/S0217751X96000997","HUB-IEP-94/34","hep-th",,"  In this work we discuss an approach due to F. David to the geometry of world
sheets of non-critical strings in quasiclassical approximation. The
gravitational dressed conformal dimension is related to the scaling behavior of
the two-point function with respect to a distance variable. We show how this
approach reproduces the standard gravitational dressing in the next order of
perturbation theory. With the same technique we calculate the intrinsic
Hausdorff dimension of a world sheet.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 15:22:59 GMT""}]","2010-11-01"
"math/9412221",,"Jonathan Huntley, Jay Jorgenson, Rolf Lundelius","On the Asymptotic Behavior of Counting Functions Associated to
  Degenerating Hyperbolic Riemann Surfaces",,,,"MSRI 1995-021","math.DG",,"  We develop an asymptotic expansion of the spectral measures on a degenerating
family of hyperbolic Riemann surfaces of finite volume. As an application of
our results, we study the asymptotic behavior of weighted counting functions,
which, if $M$ is compact, is defined for $w \geq 0$ and $T > 0$ by $$N_{M,w}(T)
= \sum\limits_{\lambda_n \leq T}(T-\lambda_n)^w $$ where $\{\lambda_n\}$ is the
set of eigenvalues of the Laplacian which acts on the space of smooth functions
on $M$. If $M$ is non-compact, then the weighted counting function is defined
via the inverse Laplace transform. Now let $M_{\ell}$ denote a degenerating
family of compact or non-compact hyperbolic Riemann surfaces of finite volume
which converges to the non-compact hyperbolic surface $M_{0}$. As an example of
our results, we have the following theorem: There is an explicitly defined
function $G_{\ell,w}(T)$ which depends solely on $\ell$, $w$, and $T$ such that
for $w > 3/2$ and $T>0$, we have $$N_{M_{\ell},w}(T) = G_{\ell,w}(T)
+N_{M_{0},w}(T) +o(1)$$ for $\ell \to 0$. We also consider the setting when $w
< 3/2$, and we obtain a new proof of the continuity of small eigenvalues on
degenerating hyperbolic Riemann surfaces of finite volume.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 00:00:00 GMT""}]","2016-09-06"
