"alg-geom/9412001","Wayne Raskind","Wayne M. Raskind","Higher $l$-adic Abel-Jacobi mappings and filtrations on Chow groups","33 pages, Latex. To appear in Duke Math. Journal",,,,"alg-geom math.AG",,"  We define a filtration on the Chow groups of a smooth projective variety X
over a field k by using the cycle map into continuous l-adic etale cohomology.
The main theorem says that if k is a function field in one variable over a
finite field, this filtration for zero cycles is of length at most one modulo
the kernel of the cycle map.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 14:25:23 GMT""}]","2008-02-03"
"hep-lat/9412007","Thomas Wittlich","H.R. Rubinstein, S. Solomon and T. Wittlich","Nucleon masses in strong magnetic fields","3 pages, PostScipt, compressed, uuencoded, contribution to Lattice 94","Nucl.Phys.Proc.Suppl. 42 (1995) 358-360","10.1016/0920-5632(95)00249-9",,"hep-lat",,"  We compute the variation of the masses of the proton and the neutron induced
by the presence of a strong external magnetic field. We discuss the choice of
the wave function and different techniques how to apply the magnetic field. The
results obtained from a 24 16^2 8 and a 16^2 8^2 lattice are compared with a
phenomenological approach.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 17:28:50 GMT""}]","2009-10-28"
"hep-lat/9412008","Mike Peardon","Mike Peardon","Dynamical fermion simulations using Luescher's local bosonic action
  algorithm","3 pages - uuencoded PostScript. Contribution to proceedings of
  Lattice '94","Nucl.Phys.Proc.Suppl. 42 (1995) 891-893","10.1016/0920-5632(95)00413-4",,"hep-lat",,"  The two-flavour Schwinger model is used to test the local boson action
algorithm of M Luescher. The autocorrelation time is found to rise linearly
with the number of auxiliary boson fields. An extension to the algorithm is
proposed which exactly reproduces the full dynamical partition function for any
number of boson fields.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 17:37:32 GMT""}]","2009-10-28"
"hep-lat/9412009",,"Jeffrey E. Mandula and Michael C. Ogilvie","Structural Properties of the Lattice Heavy Quark Effective Theory","4 pages; postscript; no figures; Talk at Lattice `94 (Bielefeld)","Nucl.Phys.Proc.Suppl. 42 (1995) 424-427","10.1016/0920-5632(95)00270-J",,"hep-lat hep-ph",,"  We discuss two related aspects of the lattice version of the heavy quark
effective theory (HQET). They are the effects of heavy quark modes with large
momenta, near the boundary of the Brillouin zone, and the renormalization of
the lattice HQET. We argue that even though large momentum modes are present,
their contributions to heavy-light bound states and perturbative loop integrals
are dynamically suppressed and vanish in the continuum limit. We also discuss a
new feature of the renormalization of the lattice HQET not present in the
continuum theory, namely that the classical velocity is finitely renormalized.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 20:46:52 GMT""}]","2009-10-28"
"hep-lat/9412010","Carleton Detar","C. DeTar (University of Utah)","Finite temperature QCD: progress and outstanding problems","Contribution to Lattice '94. 12 pages Postscript","Nucl.Phys.Proc.Suppl.42:73-84,1995","10.1016/0920-5632(95)00189-G","UU-HEP 94/4","hep-lat",,"  I review recent progress in numerical simulations of finite temperature
quantum chromodynamics and discuss the status of some outstanding problems.
Included is (1) a discussion of recent results determining the temperature of
the ``phase transition'' in full QCD, (2) a scaling analysis of the Polyakov
loop variable, leading to the determination of a constituent quark free energy,
(3) studies of critical behavior near the phase transition in two-flavor QCD,
(4) a discussion of problems and new results in thermodynamic simulations with
Wilson fermions, (5) recent results in pure gauge theory with a mixed
fundamental/adjoint action, and (6) the nonperturbative determination of the
equation of state with dynamical fermions included. Finally I mention briefly
new developments in efforts to construct a phenomenology of deconfinement and
chiral symmetry restoration, namely (7) the dual superconducting model and (8)
the instanton model.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 21:47:51 GMT""}]","2008-11-26"
"hep-lat/9412011","Geoffrey Bodwin","G.T. Bodwin, S. Kim, D.K. Sinclair","Decays rates for S- and P-wave bottomonium","3 pages Latex using espcrc2.sty and epsf.sty + 2 postscript figures","Nucl.Phys.Proc.Suppl.42:306-308,1995","10.1016/0920-5632(95)00234-Z","ANL-HEP-CP-94-91","hep-lat",,"  We use the Bodwin-Braaten-Lepage factorization scheme to separate the long-
and short-distance factors that contribute to the decay rates of $\Upsilon$,
$\eta_b$ (S-wave) and $\chi_b$,$h_b$ (P-wave). The long distance matrix
elements are calculated on the lattice in the quenched approximation using a
non-relativistic formulation of the $b$ quark dynamics.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 23:15:41 GMT""}]","2008-11-26"
"hep-lat/9412012","Kazuyuki Kanaya","Y. Iwasaki, K. Kanaya, S. Kaya, S. Sakai, and T. Yoshi\'e","Nature of the finite temperature transition in QCD with strange quark","ps file, 3 pages with 4 figures","Nucl.Phys.Proc.Suppl. 42 (1995) 499-501","10.1016/0920-5632(95)00292-H","UTHEP-290","hep-lat astro-ph nucl-th",,"  The finite temperature transition in QCD is studied using Wilson quarks for
the cases of $N_F=2$, 3 and 2+1. For $N_F=2$ the transition is smooth in the
chiral limit on both $\nt=4$ and 6 lattices. For $N_F=3$, clear two state
signals are observed for $\beta\leq4.7$ on $8^2\times10 \times4$ and
$12^3\times4$ lattices, which implies the transition is first order for $m_q
\simm{<} 140$ MeV. For $N_F=2+1$ we study two cases of $m_s \simeq 150$ and 400
MeV with $m_u=m_d \simeq 0$. In contrast to a previous result with staggered
quarks, two state signals are clearly observed for both cases, suggesting a
first order QCD phase transition in the real world.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 08:04:22 GMT""}]","2009-10-28"
"hep-lat/9412013","Juan Nieves","Juan M. Nieves (for the UKQCD Collaboration)","A Lattice Study of Semi-leptonic Decays of $D$-Mesons","3 pages, uuencoded compressed postscript file, contribution to
  Lattice '94, 27 Sep - 1 Oct, Bielefeld, Germany, to appear in the proceedings","Nucl.Phys.Proc.Suppl. 42 (1995) 431-433","10.1016/0920-5632(95)00272-B","Southampton Preprint SHEP 94/95-09","hep-lat hep-ph",,"  We present results of a lattice computation of the matrix elements of the
vector and axial-vector currents which are relevant for the semi-leptonic
decays $D \rightarrow K$ and $D \rightarrow K^*$. The computations are
performed in the quenched approximation to lattice QCD on a $24^3 \times 48$
lattice at $\beta=6.2$ using an $O(a)$-improved fermionic action.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 09:37:32 GMT""}]","2009-10-28"
"hep-lat/9412014","Jon Ivar Skullerud","Jon Ivar Skullerud","A lattice study of the quark propagator and vertex function","3 pages, uuencoded compressed postscript. Contribution to Lattice '94","Nucl.Phys.Proc.Suppl. 42 (1995) 364-366","10.1016/0920-5632(95)00251-4",,"hep-lat",,"  We report on the status of a study of the quark propagator and quark-gluon
vertex in momentum space. Quark propagators have been generated at beta=6.0
using the O(a)-improved Sheikholeslami-Wohlert action and fixed to the Landau
gauge. The first results for the quark pole mass and field renormalisation
constant are reported, and plans for future work are presented.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 09:56:37 GMT""}]","2009-10-28"
"hep-lat/9412015","Luis Antonio Fernandez","A. Cruz, D.Iniguez, A. Tarancon, L.A. Fernandez, A. Munoz Sudupe","The Coulomb-Higgs transition of the three-parameter U(1)-Higgs model","3 pages, uuencoded compressed ps file. Contribution to Lattice '94","Nucl.Phys.Proc.Suppl. 42 (1995) 606-608","10.1016/0920-5632(95)00325-4",,"hep-lat",,"  We find a first order Coulomb--Higgs phase transition at moderately large
values of the coupling $\lambda$, and no evidence for a change of order at any
finite value of it.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 10:45:01 GMT""}]","2009-10-28"
"hep-lat/9412016","William Tang","Jan Smit and Wai Hung Tang","Sphaleron transition rate at high temperature in the 1+1 D abelian Higgs
  model","3 pages, uuencoded compressed postscript file, contribution to the
  Conference Proceedings ""LATTICE 94"", Bielefeld- Germany","Nucl.Phys.Proc.Suppl. 42 (1995) 590-592","10.1016/0920-5632(95)00320-9","ITFA-94-37","hep-lat hep-ph",,"  New results for the rate are presented using the canonical ensemble in the
classical approximation on a spatial lattice. We find that the rate at high
temperatures is proportional to $T^2$, and strongly dependent on the lattice
spacing $a$. We conclude that a better effective action is needed for the
classical approximation.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 13:25:52 GMT""}]","2009-10-28"
"hep-ph/9412207","Helmut Neufeld","H. Neufeld","Isospin Violation in Chiral Perturbation Theory and the Decays $\eta \ra
  \pi \ell \nu$ and $\tau \ra \eta \pi \nu$","10 pages, latex, one figure available upon request",,"10.1007/BF01579808","UWThPh-1994-42","hep-ph",,"  I discuss isospin breaking effects within the standard model. Chiral
perturbation theory presents the appropriate theoretical framework for such an
investigation in the low--energy range. Recent results on the electromagnetic
contributions to the masses of the pseudoscalar mesons and the $K_{\ell 3}$
amplitudes are reported. Using the one--loop formulae for the $\eta_{\ell 3}$
form factors, rather precise predictions for the decay rates of $\eta
\rightarrow \pi \ell \nu$ can be obtained. Finally, I present an estimate of
the $\tau \ra \eta \pi \nu$ branching ratio derived from the dominant meson
resonance contributions to this decay.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 16:44:48 GMT""}]","2009-10-28"
"hep-ph/9412208",,"J.L. Goity and Marc Sher","Bounds on $\Delta B=1$ Couplings in the Supersymmetric Standard Model","Latex, four figures in eps. 16 pages","Phys.Lett.B346:69-74,1995; erratum-ibid.B385:500,1996","10.1016/0370-2693(94)01688-9","CEBAF-TH-94-24","hep-ph",,"  The most general supersymmetric model contains baryon number violating terms
of the form $\lambda_{ijk}\;\ov{D}_i\, \ov{D}_j\, \ov{U}_k$ in the
superpotential. We reconsider the bounds on these couplings, assuming that
lepton number conservation ensures proton stability. These operators can
mediate $n - \ov{n}$ oscillations and double nucleon decay. We show that
neutron oscillations do not, as previously claimed, constrain the
$\lambda_{dsu}$ coupling; they do provide a bound on the $\lambda_{dbu}$
coupling, which we calculate. We find that the best bound on $\lambda_{dsu}$
arises from double nucleon decay into two kaons; the calculation is discussed
in detail. There are no published limits on this process; experimenters are
urged to examine this nuclear decay mode. Finally, the other couplings can be
bounded by the requirement of perturbative unification.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 18:20:26 GMT""}]","2014-11-17"
"hep-ph/9412209","Stefano Moretti","S. Moretti and W.J. Stirling","Contributions of below--threshold decays to ${\cal {MSSM}}$ Higgs
  branching ratios","15 pages, latex, 5 figures appended as uuencoded files","Phys.Lett. B347 (1995) 291-299; Erratum-ibid. B366 (1996) 451","10.1016/0370-2693(95)00088-3","DFTT 60/94, DTP/94/104","hep-ph",,"  We calculate all the experimentally relevant branching ratios of the Higgs
bosons of the Minimal Supersymmetric Standard Model, paying particular
attention to the contributions from below--threshold decays. We show that in
some cases these can significantly change the pattern of branching ratios
calculated without taking off--shell effects into account
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 22:53:41 GMT""}]","2009-10-28"
"hep-ph/9412210","Alan Steif","G.W. Gibbons and Alan R. Steif","Sphalerons and Conformally Compactified Minkowski Spacetime","12 pages, tex, 2 references and comment added","Phys.Lett.B346:255-261,1995","10.1016/0370-2693(94)00005-R","DAMTP/R94/53, UCD-PHY-94-41","hep-ph gr-qc hep-th",,"  Solutions to the Yang-Mills field equations which describe exploding or
imploding shells of gauge field and which may serve as approximations to the
exploding sphaleron are discussed. The solutions are conformally related to
$SO(2)\times SO(4)$ invariant Yang-Mills solutions. The behavior of fermions in
the gauge field background and higher gauge groups are also considered.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 19:43:18 GMT""},{""version"":""v2"",""created"":""Mon, 9 Jan 1995 18:52:32 GMT""}]","2009-10-07"
"hep-ph/9412211","O. W. Greenberg","S.R. Corley and O.W. Greenberg","Bound States in Galilean-Invariant Quantum Field Theory","17 pages, latex. Title, emphasis, and notation changed",,,"University of Maryland PP 97-40","hep-ph nucl-th",,"  We consider the nonrelativistic quantum mechanics of a model of two spinless
fermions interacting via a two-body potential. We introduce quantum fields
associated with the two particles as well as the expansion of these fields in
asymptotic ``in'' and ``out'' fields, including such fields for bound states,
in principle. We limit our explicit discussion to a two-body bound state. In
this context we discuss the implications of the Galilean invariance of the
model and, in particular, show how to include bound states in a strictly
Galilean-invariant quantum field theory.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 21:11:07 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 1996 19:08:45 GMT""}]","2008-02-03"
"hep-ph/9412212",,"Pran Nath and R.Arnowitt","The Decay b-s+gamma in SUSY Extensions of the Standard Model","Based on invited talk at the ICHEP94 Conf.at Glasgow, July
  94;postscript file 3pages plus one fig available on request",,,,"hep-ph",,"  A brief review is given of the decay b-s+gamma in SUSY extensions of the
Standard Model.It is found that the recent CLEO results put strong constraints
on the parameter space of the minimal N=1 Supergravity unified theory.Dark
matter analyses are also strongly constrained for mu>0.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 20:33:06 GMT""}]","2007-05-23"
"hep-ph/9412213","Marc Kamionkowski","Marc Kamionkowski, Kim Griest, Gerard Jungman, and Bernard Sadoulet","Model-Independent Comparison of Direct vs. Indirect Detection of
  Supersymmetric Dark Matter","10 pages, self-unpacking uuencoded PostScript file","Phys.Rev.Lett.74:5174-5177,1995","10.1103/PhysRevLett.74.5174","IASSNS-HEP-94/76, SU-4240-593, CfPA-94-TH-59, CU-TP-653,
  UCSD/PTH-94-23","hep-ph astro-ph",,"  We compare the rate for elastic scattering of neutralinos from various nuclei
with the flux of upward muons induced by energetic neutrinos from neutralino
annihilation in the Sun and Earth. We consider both scalar and axial-vector
interactions of neutralinos with nuclei. We find that the event rate in a kg of
germanium is roughly equivalent to that in a $10^5$- to $10^7$-m$^2$ muon
detector for a neutralino with primarily scalar coupling to nuclei. For an
axially coupled neutralino, the event rate in a 50-gram hydrogen detector is
roughly the same as that in a 10- to 500-m$^2$ muon detector. Expected
experimental backgrounds favor forthcoming elastic-scattering detectors for
scalar couplings while the neutrino detectors have the advantage for
axial-vector couplings.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 04:43:20 GMT""}]","2008-11-26"
"hep-ph/9412214",,"C.-P. Yuan (Michigan State University)","Strategies for Probing CP Properties in the Top Quark System at $e^-e^+$
  and Hadron Colliders","20 pages, in LaTeX","Mod.Phys.Lett.A10:627-638,1995","10.1142/S0217732395000673","MSUHEP-41009","hep-ph",,"  I discuss strategies for probing CP properties in the top quark system at
$e^-e^+$ and hadron Colliders. The magnitudes of CP violation effects predicted
by various models are reviewed. I also discuss the potential of various current
and future colliders in measuring the CP asymmetry associated with the
productions and/or decays of the top quarks.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 08:15:49 GMT""}]","2010-11-01"
"hep-ph/9412215","Yoshimasa Kurihara","Y. Kurihara, D. Perret-Gallix, Y. Shimizu","$e^+ e^- \to e^- {\bar \nu_e} u {\bar d}$ from LEP to linear collider
  energies","18 pages, uses epsfig.sty, 10 postscript figures. revised for minor
  change of the text at Dec 6 1994","Phys.Lett. B349 (1995) 367-374","10.1016/0370-2693(95)00298-Y","KEK preprint 94-150, KEK CP-021, LAPP-EXP-94.23","hep-ph",,"  The complete tree level cross section for the process $e^+e^- \to e^-
\bar\nu_e u \bar{d}$ is computed using the GRACE system, a program package for
automatic amplitude calculation. Special attention is brought to the gauge
violation problem induced by the finite width of the $W$-boson. The {\it
preserved gauge scheme} is introduced and an event generator which includes
double-resonant, single-resonant and non-resonant diagrams with no need for a
cut on the electron polar angle is presented. Since no cut needs to be applied
to the electron, the generator can be used to estimate background for searches
involving jets and missing energy. A monojet event rate estimation based on
this process at LEP-I energy is discussed.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 09:25:02 GMT""},{""version"":""v2"",""created"":""Tue, 6 Dec 1994 02:48:45 GMT""}]","2009-10-28"
"hep-ph/9412216",,"Xavier A. Siemens and T.W.B. Kibble","High Harmonic Configurations of Cosmic Strings: An Analysis of
  Self-Intersections","12 pages, LaTeX, 6 figures","Nucl.Phys.B438:307-319,1995","10.1016/0550-3213(94)00592-3","IMPERIAL/TP/94-95/01, NI94018","hep-ph astro-ph",,"  A general formulation for describing odd-harmonic cosmic strings is developed
and used to determine the self-intersection properties of high-harmonic loops.
This is important because loop formation mechanisms produce high-harmonic
components (kinks) which can only be eliminated very slowly by gravitational
radiation, damping by the dense surrounding plasma in the era of string
formation, or by the expansion of the Universe. For the class of loops examined
it has been found that in the high-harmonic limit, essentially all cosmic loops
self-intersect.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 15:16:50 GMT""},{""version"":""v2"",""created"":""Tue, 6 Dec 1994 16:22:35 GMT""}]","2010-12-09"
"hep-ph/9412217",,"T.S.Evans and A.C.Pearson","A Re-examination of the Path Ordered Approach to Real Time Thermal Field
  Theory","14 pages, latex (figures included as LaTeX), available through
  anonymous ftp from ftp://euclid.tp.ph.ic.ac.uk/papers/93-4_09.tex or at
  http://euclid.tp.ph.ic.ac.uk/Papers/index.html","Phys. Rev. D 52, 4652 (1995)","10.1103/PhysRevD.52.4652","Imperial/TP/93-94/09","hep-ph",,"  We argue that the asymptotic condition should not be applied in the
derivation of the real time formalism of thermal field theory. It is shown
that, contrary to popular belief, the generating functional of time ordered
Green functions does not factorise. When no asymptotic condition is applied to
the real time formalism, we find that the normal two component Feynman rules
arises naturally. In addition, the extra Feynman rule that is applied when
calculating vacuum diagrams is simply derived. We also clear up any doubts
regarding the equivalence of the real and imaginary time formalisms. Finally,
we consider these results in the case of the new real time contour.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 15:20:31 GMT""}]","2016-08-24"
"hep-th/9412007","Oswaldo Monteiro del Cima","O.M. Del Cima and F.A.B. Rabelo de Carvalho","Some Quantum Aspects of Complex Vector Fields with Chern-Simons Term","17 pages, Latex, appeared in Int.J.Mod.Phys A10 (1995) 1641","Int.J.Mod.Phys. A10 (1995) 1641-1654","10.1142/S0217751X95000784",,"hep-th",,"  Complex vector fields with Maxwell, Chern-Simons and Proca terms are
minimally coupled to an Abelian gauge field. The consistency of the spectrum is
analysed and 1-loop quantum corrections to the self-energy are explicitly
computed and discussed. The incorporation of 2-loop contributions and the
behaviour of tree-level scattering amplitudes in the limit of high
center-of-mass energies are also commented.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 17:43:03 GMT""},{""version"":""v2"",""created"":""Wed, 2 Aug 1995 18:00:36 GMT""}]","2009-10-28"
"hep-th/9412008","Jose M. Figueroa-O'Farrill","J.M. Figueroa-O'Farrill","N=2 structures on solvable Lie algebras: the c=9 classification","49 pages in 2 columns (=25 physical pages), (uufiles-gz-9)'d .dvi
  file (uses AMSFonts 2.1+). Revision: Added 1 reference, corrected typos,
  added some more material","Commun.Math.Phys. 177 (1996) 129-156","10.1007/BF02102433","QMW-PH-94-27","hep-th",,"  Let G be a finite-dimensional Lie algebra (not necessarily semisimple). It is
known that if G is self-dual (that is, if it possesses an invariant metric)
then there is a canonical N=1 superconformal algebra associated to its N=1
affinization---that is, it admits an N=1 (affine) Sugawara construction. Under
certain additional hypotheses, this N=1 structure admits an N=2 extension. If
this is the case, G is said to possess an N=2 structure. It is also known that
an N=2 structure on a self-dual Lie algebra G is equivalent to a vector space
decomposition G = G_+ \oplus G_- where G_\pm are isotropic Lie subalgebras. In
other words, N=2 structures on G are in one-to-one correspondence with Manin
triples (G,G_+,G_-). In this paper we exploit this correspondence to obtain a
classification of the c=9 N=2 structures on self-dual solvable Lie algebras. In
the process we also give some simple proofs for a variety of Lie algebraic
results concerning self-dual Lie algebras admitting symplectic or K\""ahler
structures.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 18:36:37 GMT""},{""version"":""v2"",""created"":""Mon, 5 Dec 1994 17:32:54 GMT""}]","2009-10-28"
"hep-th/9412009","Christoph Schweigert","J. Fuchs, A.N. Schellekens, and C. Schweigert","Quasi-Galois Symmetries of the Modular S-Matrix","20 pages (A4), LaTeX","Commun.Math.Phys. 176 (1996) 447-466","10.1007/BF02099557","NIKHEF-H/94-37","hep-th",,"  The recently introduced Galois symmetries of RCFT are generalized, for the
WZW case, to `quasi-Galois symmetries'. These symmetries can be used to derive
a large number of equalities and sum rules for entries of the modular matrix S,
including some that previously had been observed empirically. In addition,
quasi-Galois symmetries allow to construct modular invariants and to relate
S-matrices as well as modular invariants at different levels. They also lead us
to an extremely plausible conjecture for the branching rules of the conformal
embeddings of g into so(dim g).
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 18:50:49 GMT""}]","2015-06-26"
"hep-th/9412010","David Lamb","D.J. Lamb and A.Z. Capri","Finite particle creation in 1+1 dim. compact in space","13 pages, RevTeX, no figures","Class.Quant.Grav.12:413-420,1995","10.1088/0264-9381/12/2/010","Alberta Thy-25-94","hep-th gr-qc",,"  In this paper we calculate the massive particle creation as seen by a
stationary observer in a $1+1$ dimensional spacetime compact in space. The
Bogolubov transformation relating the annihilation and creation operators
between two spacelike surfaces is calculated. The particle creation, as
observed by a stationary observer who moves from the first spacelike surface to
the second is then calculated, and shown to be finite, as is expected for a
spacetime with finite spatial volume.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 19:41:47 GMT""}]","2010-04-06"
"hep-th/9412011","Warren Siegel","W. Siegel","Super Multi-Instantons in Conformal Chiral Superspace","21 pg., uuencoded compressed postscript file (twist.ps.Z.uu), other
  formats (.dvi, .ps, .ps.Z, 8-bit .tex) available at
  http://insti.physics.sunysb.edu/~siegel/preprints or at
  ftp://max.physics.sunysb.edu/preprints/siegel","Phys.Rev. D52 (1995) 1042-1050","10.1103/PhysRevD.52.1042","ITP-SB-94-66","hep-th",,"  We reformulate self-dual supersymmetric theories directly in conformal chiral
superspace, where superconformal invariance is manifest. The superspace can be
interpreted as the generalization of the usual Atiyah-Drinfel'd-Hitchin-Manin
twistors (the quaternionic projective line), the real projective light-cone in
six dimensions, or harmonic superspace, but can be reduced immediately to
four-dimensional chiral superspace. As an example, we give the 't Hooft and
ADHM multi-instanton constructions for self-dual super Yang-Mills theory. In
both cases, all the parameters are represented as a single, irreducible,
constant tensor.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 21:18:13 GMT""}]","2009-10-28"
"hep-th/9412012","My Account","Jorge Alfaro, Ricardo Medina and Luis F. Urrutia","The Itzykson-Zuber Integral for U(m|n)","Latex, 16 pages","J.Math.Phys. 36 (1995) 3085-3093","10.1063/1.531014","PUC-FIS 14, October 1994","hep-th",,"  We compute the Itzykson-Zuber (IZ) integral for the superunitary group
U(m|n). As a consequence, we are able to find the non-zero correlations of
superunitary matrices
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 01:51:41 GMT""}]","2009-10-28"
"hep-th/9412013","Hu Zhan-ning","Zhan-Ning Hu and Bo-Yu Hou","Cyclic Quantum Dilogarithm and Shift Operator","9 pages, latex, no figures",,,"AS-ITP-94-62","hep-th",,"  {}From the cyclic quantum dilogarithm the shift operator is constructed with
$q$ is a root of unit and the representation is given for the current algebra
introduced by Faddeev $et ~al$. It is shown that the theta-function is
factorizable also in this case by using the star-square equation of the
Baxter-Bazhanov model.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 15:21:30 GMT""}]","2007-05-23"
"hep-th/9412014","Koushik Ray","Alok Kumar and Koushik Ray","Entropy of Extremal Black Holes in Two Dimensions","11 pages","Phys.Rev. D51 (1995) 5954-5957","10.1103/PhysRevD.51.5954","IP/BBSR/94-65","hep-th",,"  Entropy for two dimensional extremal black holes is computed explicitly in a
finite-space formulation of the black hole thermodynamics and is shown to be
zero {\it locally}. Our results are in conformity with the recent one by
Hawking et al in four dimensions.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 03:45:24 GMT""}]","2009-10-28"
"hep-th/9412015","Nissan Itzhaki","N.Itzhaki","Some Interesting Properties of Field theories with an Infinite Number of
  Fields","12 pages, LaTex","Int.J.Mod.Phys. A13 (1998) 625-634","10.1142/S0217751X98000275","TAUP 2216-94","hep-th",,"  We give an indication that gravity coupled to an infinite number of fields
might be a renormalizable theory. A toy model with an infinite number of
interacting fermions in four-dimentional space-time is analyzed. The model is
finite at any order in perturbation theory. However, perturbation theory is
valid only for external momenta smaller than $\lambda ^{-\frac{1}{2}}$ , where
$\lambda$ is the coupling constant.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 12:15:56 GMT""}]","2009-10-28"
"hep-th/9412016","Nissan Itzhaki","N.Itzhaki","Coordinate System In Quantum Gravity","7 pages , LaTex",,,"TAUP-2166-94","hep-th gr-qc",,"  We discuss a Gedanken experiment in which we construct a physical coordinate
system which covers the universe. Using general properties of quantum gravity
we find that the minimum uncertainty of the coordinate system is $\sqrt[5]{R}$
where $R$ is the radius of the universe
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 12:10:52 GMT""}]","2007-05-23"
"hep-th/9412017","H. Sato","N. Aizawa, S. Sachse, H-T. Sato","Laughlin states on the sphere as representations of Uq(sl(2))","8 pages, Latex","Mod.Phys.Lett. A10 (1995) 853-858","10.1142/S0217732395000922","LMU-TPW 94-19, OWUAM-005","hep-th alg-geom math.AG",,"  We discuss quantum algebraic structures of the systems of electrons or
quasiparticles on a sphere of which center a magnetic monople is located on. We
verify that the deformation parameter is related to the filling ratio of the
particles in each case.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 11:46:10 GMT""}]","2009-10-28"
"hep-th/9412018",,"A. Wipf and S. Duerr","Gauge Theories in a Bag","40 pages, LATEX-file","Nucl.Phys. B443 (1995) 201-232","10.1016/0550-3213(95)00114-8","ETH-TH/94-36 and ZU-TH 30/94","hep-th",,"  We investigate multi-flavour gauge theories confined in $d\es 2n$-dimensional
Euclidean bags. The boundary conditions for the 'quarks' break the axial
flavour symmetry and depend on a parameter $\theta$. We determine the
$\theta$-dependence of the fermionic correlators and determinants and find that
a $CP$-breaking $\theta$-term is generated dynamically. As an application we
calculate the chiral condensate in multi-flavour $QED_2$ and the abelian
projection of $QCD_2$. In the second model a condensate is generated in the
limit where the number of colours, $N_c$, tends to infinity. We prove that the
condensate in $QCD_2$ decreases with increasing bag radius $R$ at least as
$\sim R^{-1/N_cN_f}$. Finally we determine the correlators of mesonic currents
in $QCD_2$.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 13:37:00 GMT""},{""version"":""v2"",""created"":""Thu, 15 Dec 1994 14:14:00 GMT""}]","2009-10-28"
"hep-th/9412019","Ishikawa Sumio","Sumio Ishikawa, Yasuhiro Iwama, Tadashi Miyazaki and Motowo Yamanobe","Interacting open p-branes","10 pages, LaTeX","Int.J.Mod.Phys. A10 (1995) 4671-4680","10.1142/S0217751X95002163",,"hep-th",,"  The Kalb-Ramond action, derived for interacting strings through an
action-at-a-distance force, is generalized to the case of interacting
p-dimensional objects (p-branes) in D-dimensional space-time. The open p-brane
version of the theory is especially taken up. On account of the existence of
their boundary surface, the fields mediating interactions between open p-branes
are obtained as massive gauge fields, quite in contrast to massless gauge ones
for closed p-branes.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 12:56:37 GMT""}]","2015-06-26"
"hep-th/9412020",,"Dmitri V. Fursaev and Sergey N. Solodukhin","On one-loop renormalization of black-hole entropy","10 pages, latex, no figures; The text is slightly changed and some
  new eqs. are added to make the proof of our statement more transparent. This
  version will appear in Phys. Lett. B","Phys.Lett. B365 (1996) 51-55","10.1016/0370-2693(95)01290-7","JINR E2-94-462","hep-th",,"  One-loop divergences appearing in the entropy of a quantum black hole are
proven to be completely eliminated by the standard renormalization of both the
gravitational constant and other coefficients by the $R^2$-terms in the
effective gravitational action. The essential point of the proof is that due to
the higher order curvature terms the entropy differs from the
Bekenstein-Hawking one in the Einstein gravity by the contributions depending
on the internal and external geometry of the horizon surface.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 14:36:13 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 08:04:54 GMT""}]","2009-10-28"
