"alg-geom/9403016","Christoph Sorger","Christoph Sorger","Groupe de Picard de la vari\'et\e de modules des
  th\^eta-caracteristiques des courbes planes","48 pages, amslatex v1.1, french",,,,"alg-geom math.AG",,"  Nous calculons le groupe de Picard de l'espace des modules
$\Theta_{\planp}(d)$ des th\^eta-caract\'eristiques des courbes planes (non
forc\'ement lisses) de degr\'e $d$. Nous montrons que pour $d\ge 6$, le groupe
de Picard de la composante paire est engendr\'e par le fibr\'e d\'eterminant
${\cal{D}}$ et l'image r\'eciproque ${\cal{L}}$, sous le morphisme support
sch\'ematique, de ${\cal{O}}_{\proj}(1)$ o\`u $\proj$ est l'espace des courbes
de degr\'e $d$ sur $\planp$. Pour $1\le d \le 4$, ce groupe est engendr\'e
uniquement par ${\cal{L}}$, le fibr\'e d\'eterminant \'etant trivial dans ces
cas. Dans le groupe $\Cl$ des diviseurs de Weil, le fibr\'e d\'eterminant admet
une racine: le fibr\'e pfaffien ${\cal{P}}$. De plus, pour $d\geq 4$ pair,
${\cal{L}}$ aussi admet une racine dans $\Cl$. Si $d=5$, le fibr\'e pfaffien
s'\'etend en un fibr\'e inversible et le groupe de Picard est engendr\'e par
${\cal{L}}$ et ${\cal{P}}$. On verra ainsi que la composante paire de
$\Theta_{\planp}(d)$ est localement factoriel si et seulement si $d=1,2,3$ ou
$d=5$. On obtient un r\'esultat analogue pour la composante impaire. Ensuite,
nous \'etudions la question d'existence d'une famille universelle sur un ouvert
de l'ouvert $U$ des th\^eta-caract\'eristiques dont le faisceau sous-jacent est
stable. Nous montrons que pour $d$ pair une telle famille ne peut exister,
tandis que pour $d$ impair une telle famille existe, pas sur $U$ entier, mais
localement dans la topologie de Zariski.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 20:49:01 GMT""}]","2008-02-03"
"hep-ph/9403388",,"W. Buchmuller and Z. Fodor","Confinement in Three Dimensions and the Electroweak Phase Transition","9 pages, DESY-94-045, 4 figures can be obtained via e-mail from
  fodor@vxdesy.desy.de","Phys.Lett. B331 (1994) 124-130","10.1016/0370-2693(94)90952-0",,"hep-ph",,"  The infrared behaviour of the standard model at finite temperature is
determined by the confining phase of the SU(2)-Higgs model in three dimensions.
Due to the Landau singularity of the three-dimensional gauge theory the
perturbative treatment of the electroweak phase transition breaks down for
Higgs masses above a critical mass $m_H^c$. Based on a renormalization group
improved effective potential we find $m_H^c\sim$ 70 GeV. The scalar
self-coupling has a Landau-type singularity also in the abelian U(1)-Higgs
model, which leads to a breakdown of perturbation theory in the symmetric
phase.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 15:53:55 GMT""}]","2009-10-28"
"hep-th/9403167",,"A. de Souza Dutra and Marcelo Hott","Quantization of Maxwell-Chern-Simons-Podolsky Theory","14 pages, UR1348, ER40685-796",,,,"hep-th",,"  We quantize a generalized electromagnetism in 2 + 1 dimensions which contains
a higher-order derivative term by using Dirac's method. By introducing
auxiliary fields we transform the original theory in a lower-order derivative
one which can be treated in a usual way.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 16:02:45 GMT""}]","2007-05-23"
"hep-th/9403168","Alexander Kirillov","Pavel Etingof (Harvard), Alexander Kirillov Jr. (Yale)","On the affine analogue of Jack's and Macdonald's polynomials","27 pages. Revised version; minor corrections",,,,"hep-th math.QA",,"  We define the analogue of Jack's (Jacobi) polynomials, which were defined for
finite-dimensional root system by Heckman and Opdam as eigenfunctions of
trigonometric Sutherland operator for the affine root system $\hat A_{n-1}$. In
the affine case, we define the polynomials as eigenfunctions of ""affine
Sutherland operator"", which is Calogero-Sutherland operator with elliptic
potential plus the term involving derivative with respect to the modular
parameter. We show that such polynomials can be constructed explicitly as
traces of certain intertwiners for affine Lie algebra. Also, we define the
q-analogue of this construction, which gives affine analogues of Macdonald's
polynomials, and show the (conjectured) relation between the Macdonald's inner
product identities for affine case and scalar product of conformal blocks in
the WZW model.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 16:42:17 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jan 1995 19:29:32 GMT""}]","2008-02-03"
"hep-th/9403169","Sharlene Cartier","M. Baker, James S. Ball, F. Zachariasen","Classical Electrodynamics with Dual Potentials","18 pages, 3 figures not included, CALT-68-1890",,,,"hep-th",,"  We present Dirac's method for using dual potentials to solve classical
electrodynamics for an oppositely charged pair of particles, with a view to
extending these techniques to non-Abelian gauge theories.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 18:41:55 GMT""}]","2009-09-25"
"hep-th/9403170",,"G. Mack, V. Schomerus","Models of Quantum Space Time: Quantum Field Planes","21 pages, HUTMP 94-B335",,,,"hep-th",,"  Quantum field planes furnish a noncommutative differential algebra $\Omega$
which substitutes for the commutative algebra of functions and forms on a
contractible manifold. The data required in their construction come from a
quantum field theory. The basic idea is to replace the ground field ${\bf C}$
of quantum planes by the noncommutative algebra ${\cal A}$ of observables of
the quantum field theory.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 20:14:56 GMT""}]","2007-05-23"
"hep-th/9403171","Sen-Ben Liao","Sen-Ben Liao, Janos Polonyi and Dapeng Xu","Quantum and Thermal Fluctuations in Field Theory","27pp+7 figures, MIT-CTP-2143","Phys.Rev. D51 (1995) 748-764","10.1103/PhysRevD.51.748",,"hep-th",,"  Blocking transformation is performed in quantum field theory at finite
temperature. It is found that the manner temperature deforms the renormalized
trajectories can be used to understand better the role played by the quantum
fluctuations. In particular, it is conjectured that domain formation and mass
parameter generation can be observed in theories without spontaneous symmetry
breaking.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 23:04:50 GMT""},{""version"":""v2"",""created"":""Tue, 29 Mar 1994 17:58:55 GMT""}]","2009-10-28"
"hep-th/9403173","Quevedo","C.P. Burgess and F. Quevedo","Nonabelian Bosonization as Duality","plain TeX, 12 pages, McGill-94/15, NEIP-94-001 (We had misspelled
  `Wiegmann' and have added some references.)","Phys.Lett. B329 (1994) 457-462","10.1016/0370-2693(94)91090-1",,"hep-th cond-mat hep-ph",,"  Applying the techniques of nonabelian duality to a system of Majorana
fermions in 1+1 dimensions we obtain the level-one Wess-Zumino-Witten model as
the dual theory. This makes nonabelian bosonization a particular case of a
nonabelian duality transformation, generalizing our previous result
(hep-th/9401105) for the abelian case.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 11:36:00 GMT""},{""version"":""v2"",""created"":""Tue, 5 Apr 1994 10:00:40 GMT""}]","2009-10-28"
"hep-th/9403178","Giovanni Felder","V. M. Buchstaber, Giovanni Felder, A. V. Veselov","Elliptic Dunkl operators, root systems, and functional equations","30 pages","Duke Math.J. 76 (1994) 885-911",,,"hep-th math.QA",,"  We consider generalizations of Dunkl's differential-difference operators
associated with groups generated by reflections. The commutativity condition is
equivalent to certain functional equations. These equations are solved in many
cases. In particular, solutions associated with elliptic curves are
constructed. In the $A_{n-1}$ case, we discuss the relation with elliptic
Calogero-Moser integrable $n$-body problems, and discuss the quantization
($q$-analogue) of our construction.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 12:13:36 GMT""}]","2008-02-03"
"math/9403208",,"Bernard Maurey, Vitali D. Milman, Nicole Tomczak-Jaegermann","Asymptotic infinite-dimensional theory of Banach spaces",,,,"Banach Archive 3/28/94","math.FA",,"  In this paper structure of infinite dimensional Banach spaces is studied by
using an asymptotic approach based on stabilization at infinity of finite
dimensional subspaces which appear everywhere far away. This leads to notions
of asymptotic structures and asymptotic versions of a given Banach space. As an
example of application of this approach, a class of asymptotic $l_p$-spaces is
introduced and investigated in detail. Some properties of this class, as
duality and complementation, are analogous to properties of classical $l_p$
spaces, although the latter is more ``regular'' than its classical counterpart;
in contrast, the property exhibited in the uniqueness theorem is very different
than for spaces $l_p$.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 17:54:36 GMT""}]","2016-09-06"
"math/9403209",,"Mikhail I. Ostrovskii","Quojections without Banach subspaces",,"Bull. Polish Acad. Sc., 44 (1996), no. 2, 143-146",,"Banach Archive 3/28/94","math.FA",,"  A quojection (projective limit of Banach spaces with surjective linking
mappings) without infinite dimensional Banach subspaces is constructed. This
results answers a question posed by G.Metafune and V.B.Moscatelli.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 17:54:36 GMT""}]","2010-09-07"
"math/9403210",,"Peter G. Casazza, Hans Jarchow","Self-Induced Compactness in Banach Spaces",,,,"Banach Archive 3/28/94","math.FA",,"  The question which led to the title of this note is the following:
  {\it If $X$ is a Banach space and $K$ is a compact subset of $X$, is it
possible to find a compact, or even approximable, operator $v:X\to X$ such that
$K\subset\ol{v(B_X)}$?}
  This question was first posed by P.G.Dixon [6] in connection with
investigating the problem of the existence of approximate identities in certain
operator algebras. We shall provide a couple of observations related to the
above question and give in particular a negative answer in case of approximable
operators.
  We shall also provide the first examples of Banach spaces having the
approximation property but failing the bounded compact approximation property
though all of their duals do even have the metric compact approximation
property.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 17:54:36 GMT""}]","2016-09-06"
"nucl-th/9403017",,"A. Mariano, F. Krmpoti\'c and A.F.R. de Toledo Piza","Ground-state Correlation Effects in Extended RPA Calculations","8 pages text (LaTex) and 1 figure (available upon request), to be
  published in Phys. Rev. C",,"10.1103/PhysRevC.49.2824",,"nucl-th",,"  We study normalization problems associated with use of perturbatively
correlated ground-states in extended RPA schemes in the context of a specific
but typical example. The sensitivity of the results to the amount of $2p2h$
admixtures to the correlated ground state is also investigated in terms of a
modification of the standard perturbative approach.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 16:38:43 GMT""}]","2016-08-14"
"nucl-th/9403018",,"F. Krmpoti\'c","Double beta decay transition mechanism","LaTeX and 5 figures, talk given at the `XVII Symposium on Nuclear
  Physics', Oaxtepec, Mexico, 4-7 January 1994. LaTeX source modified by arXiv
  admin so that paper compiles in spite of omitted definition file. See source
  for details",,,,"nucl-th",,"  After briefly reviewing $\beta \beta$ decay as a test of the neutrino mass, I
examine the nuclear structure involved in this process. Simple formulas (\`{a}
la Pad\'{e}) are designed for the transition amplitudes and the general
behavior of $\beta \beta$ decay amplitudes in the quasiparticle random phase
approximation are discussed. Results of a calculation for $^{48}Ca$, $^{76}Ge
$, $^{82}Se$, $^{100}Mo$, $^{128}Te$ and $^{130}Te$ nuclei are presented, in
which the particle-particle interaction strengths have been fixed by invoking
the partial restoration of the isospin and Wigner SU(4) symmetries. An upper
limit of $ <m_{\nu}>\approx 1$ eV is obtained for the effective neutrino mass.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 16:39:01 GMT""}]","2016-08-14"
