"astro-ph/9406071","Wayne Hu","Wayne Hu","The Nature versus Nurture of Anisotropies","25 pages including 10 figures, uuencoded tarred postscript, to appear
  in the Proceedings of the Case Western CMB Meeting, CfPA-TH-94-31",,,,"astro-ph",,"  With the rapidly growing number of cosmic microwave background measurements
on various scales, there is real hope that the number of acceptable models for
structure formation will be limited to a very few in the near future. Yet any
given model can always be saved by introducing and tuning extraneous free
parameters. To better understand this question of ``nature versus nurture'' for
temperature fluctuations, it is useful to know not only the general features of
anisotropy predictions but also their causes. Extracting the physical content
of our other works, we present here a {\it simple} account of cosmic microwave
background anisotropies on all scales. In particular, we show that analytic
approximations can trace the structure of the so-called ``Doppler peaks,''
which arise due to the {\it adiabatic} oscillations in the photon-baryon fluid.
We also show how the finite thickness of the last scattering surface and the
Silk damping mechanism can be described in a unified way by photon diffusion.
In order to present a specific example, we focus on comparing the primordial
isocurvature baryon (PIB) model with the standard cold dark matter model (CDM).
In particular, we explain why PIB generically predicts larger {\it
non}-oscillatory anisotropies from the 1$^\circ$ to 10$^\circ$ scale which may
already be in conflict with experiments.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 19:35:18 GMT""}]","2007-05-23"
"hep-th/9406192","Satoshi Iso","S. Iso and S.J. Rey","Collective Field Theory of the Fractional Quantum Hall Edge State and
  the Calogero-Sutherland Model","12, UT-682 and SNUTP 94-55#","Phys.Lett. B352 (1995) 111-116","10.1016/0370-2693(95)00471-V",,"hep-th cond-mat",,"  \noindent Using hydrodynamic collective field theory approach we show that
one-particle density matrix of the $\nu=1/m$ fractional quantum Hall edge state
interpolates between chiral Luttinger liquid behavior $\langle
\psi^{\dagger}(r) \psi(0) \rangle \sim r^{-m} $ and Calogero-Sutherland model
behavior $\langle \psi^{\dagger}(r) \psi(0) \rangle \sim r^{-(m+1/m)/2} $ as
the droplet width is varied continuously. Low-energy excitations are described
by $c=1$ conformal field theory of a compact boson of radius $\sqrt m$. The
result suggests complementary relation between the two-dimensional quantum Hall
droplet and the one-dimensional Calogero-Sutherland model.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 10:31:05 GMT""}]","2009-10-28"
"hep-th/9406193","Elizalde","E. Elizalde and S.D. Odintsov","A Theory for the Conformal Factor in Quantum $R^2$ Gravity","10 pages, LaTeX file, June 1-1994","Phys.Lett.B334:33-39,1994","10.1016/0370-2693(94)90588-6",,"hep-th",,"  A new theory for the conformal factor in R$^2$-gravity is developed. The
infrared phase of this theory, which follows from the one-loop renormalization
group equations for the whole quantum R$^2$-gravity theory is described. The
one-loop effective potential for the conformal factor is found explicitly and a
mechanism for inducing Einstein gravity at the minimum of the effective
potential for the conformal factor is suggested. A comparison with the
effective theory of the conformal factor induced by the conformal anomaly, and
also aiming to describe quantum gravity at large distances, is done.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 10:05:18 GMT""}]","2009-09-17"
"hep-th/9406194","V. N. Tolstoy","Sergei Khoroshkin (ITEP, Moscow), Valeriy N. Tolstoy (Moscow State
  University)","Yangian Double and Rational R-matrix","25 pages",,,"Preprint of Bielefeld University, 1994","hep-th math.QA",,"  Studying the algebraic structure of the double ${\cal D}Y(g)$ of the yangian
$Y(g)$ we present the triangular decomposition of ${\cal D}Y(g)$ and a
factorization for the canonical pairing of the yangian with its dual inside
${\cal D}Y(g)$. As a consequence we obtain an explicit formula for the
universal R-matrix $R$ of ${\cal D}Y(g)$ and demonstrate how it works in
evaluation representations of $Y(sl_2)$. We interprete one-dimensional factor
arising in concrete representations of $R$ as bilinear form on highest weight
polynomials of irreducible representations of $Y(g)$ and express this form in
terms of {\it gamma-functions}.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 01:53:07 GMT""}]","2008-02-03"
"hep-th/9406195","Itakura Kazunori","Kazunori Itakura and Koichi Ohta","Quantum Hamiltonian Reduction of the Schwinger Model","23 pages, LaTeX file, UT-Komaba 94-5","Phys.Rev. D50 (1994) 4145-4156","10.1103/PhysRevD.50.4145",,"hep-th",,"  We reexamine a unitary-transformation method of extracting a physical
Hamiltonian from a gauge field theory after quantizing all degrees of freedom
including redundant variables. We show that this {\it quantum Hamiltonian
reduction} method suffers from crucial modifications arising from
regularization of composite operators. We assess the effects of regularization
in the simplest gauge field theory, the Schwinger model. Without
regularization, the quantum reduction yields the identical Hamiltonian with the
classically reduced one. On the other hand, with regularization incorporated,
the resulting Hamiltonian of the quantum reduction disagrees with that of the
classical reduction. However, we find that the discrepancy is resolved by
redefinitions of fermion currents and that the results are again consistent
with those of the classical reduction.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 11:35:27 GMT""}]","2009-10-28"
"hep-th/9406196","Alexeiev Anton","A.Yu.Alekseev and L.D.Faddeev","An involution and dynamics for the $q$-deformed quantum top","Uppsala University preprint UUITP 12/1994, 12 pages, LaTeX file","Zap.Nauchn.Semin.200:3-16,1992; J.Math.Sci.77:3137-3145,1995",,,"hep-th",,"  It is known that the involution corresponding to the compact form is
incompatible with comultiplication for quantum groups at $|q|=1$. In this paper
we consider the quantum algebra of functions on the deformed space $T^{*}G_{q}$
which includes both the quantum group and the quantum universal enveloping
algebra as subalgebras. For this extended object we construct an
anti-involution which reduces to the compact form $*$-operation in the limit
$q\rightarrow 1$. The algebra of functions on $T^{*}G_{q}$ endowed with the
$*$-operation may be viewed as an algebra of observables of a quantum
mechanical system. The most natural interpretation for such a system is a
deformation of the quantum symmetric top. We suggest a discrete dynamics for
this system which imitates the free motion of the top.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 14:21:54 GMT""}]","2008-11-26"
"hep-th/9406197",,"A. Babichenko","Integrable vector perturbations of W-invariant theories and their
  quantum group symmetry","Latex file. 18 pages. (Final part was changed)",,,,"hep-th",,"  Perturbations of $WD_n$ and $W_3$ conformal theories which generalize the
$(1,2)$ perturbations of conformal minimal models are shown to be integrable by
counting argument. $A_{2n-1,q}^{(2)}$ and $D_{4,q}^ {(3)}$ symmetries of
corresponding S-matrices are conjectured and proved by explicit construction of
conserved nonlocal charges in the $WD_3$ case with the proper quantum group of
symmetry.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 12:55:00 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 1994 15:48:00 GMT""}]","2008-02-03"
"hep-th/9406202","Centro De Estudios Cientificos De Santia","J.Zanelli","Quantization of the Gravitational Constant in Odd-Dimensional Gravity","9 pages, LaTeX","Phys.Rev. D51 (1995) 490-492","10.1103/PhysRevD.51.490",,"hep-th gr-qc",,"  It is pointed out that the action recently proposed by Ba\~nados et al. for
gravitation in odd dimensions higher (and lower) than four, provides a natural
quantization for the gravitational constant. These theories possess no
dimensionful parameters and hence they may be power counting renormalizable.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 21:24:33 GMT""}]","2009-10-28"
"math/9406225",,"Laura M. Chihara, Dennis W. Stanton","A matrix equation for association schemes",,,,"OP-SF 29 Jun 1994","math.CO math.CA",,"  {Let ${\Cal X}$ be a self-dual P-polynomial association scheme. Then there
are at most 12 diagonal matrices $T$ such that $(PT)^3=I$. Moreover, all of the
solutions for the classical infinite families of such schemes (including the
Hamming scheme) are classified.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 00:00:00 GMT""}]","2016-09-06"
"math/9406226",,"Anne de M\'edicis, Dennis W. Stanton","Combinatorial orthogonal expansions",,,,"OP-SF 29 Jun 1994","math.CA math.CO",,"  The linearization coefficients for a set of orthogonal polynomials are given
explicitly as a weighted sum of combinatorial objects. Positivity theorems of
Askey and Szwarc are corollaries of these expansions.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9406033","Ray Nix","Brian W. Bush and J. Rayford Nix","Classical Hadrodynamics: A New Approach to Ultrarelativistic Heavy-Ion
  Collisions","6 pages, LA-UR-94-2178","Nucl.Phys.A583:705C-710C,1995","10.1016/0375-9474(94)00748-C",,"nucl-th",,"  We discuss a new approach to ultrarelativistic heavy-ion collisions based on
classical hadrodynamics for extended nucleons, corresponding to nucleons of
finite size interacting with massive meson fields. This new theory provides a
natural covariant microscopic approach that includes automatically spacetime
nonlocality and retardation, nonequilibrium phenomena, interactions among all
nucleons and particle production. In the current version of our theory, we
consider $N$ extended unexcited nucleons interacting with massive neutral
scalar ($\sigma$) and neutral vector ($\omega$) meson fields. The resulting
classical relativistic many-body equations of motion are solved numerically
without further approximation for soft nucleon-nucleon collisions at $p_{\rm
lab}$ = 14.6, 30, 60, 100 and 200 GeV/$c$ to yield the transverse momentum
imparted to the nucleons. For the future development of the theory, the
isovector pseudoscalar ($\pi^+$, $\pi^-$, $\pi^0$), isovector scalar
($\delta^+$, $\delta^-$, $\delta^0$), isovector vector ($\rho^+$, $\rho^-$,
$\rho^0$) and neutral pseudoscalar ($\eta$) meson fields that are known to be
important from nucleon-nucleon scattering experiments should be incorporated.
In addition, the effects of quantum uncertainty on the equations of motion
should be included by use of techniques analogous to those used by Moniz and
Sharp for nonrelativistic quantum electrodynamics.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 21:05:43 GMT""}]","2011-04-20"
"nucl-th/9406034","Ray Nix","Brian W. Bush and J. Rayford Nix","Particle-Production Mechanism in Relativistic Heavy-Ion Collisions","10 pages, LA-UR-94-2179",,,,"nucl-th",,"  We discuss the production of particles in relativistic heavy-ion collisions
through the mechanism of massive bremsstrahlung, in which massive mesons are
emitted during rapid nucleon acceleration. This mechanism is described within
the framework of classical hadrodynamics for extended nucleons, corresponding
to nucleons of finite size interacting with massive meson fields. This new
theory provides a natural covariant microscopic approach to relativistic
heavy-ion collisions that includes automatically spacetime nonlocality and
retardation, nonequilibrium phenomena, interactions among all nucleons, and
particle production. Inclusion of the finite nucleon size cures the
difficulties with preacceleration and runaway solutions that have plagued the
classical theory of self-interacting point particles. For the soft reactions
that dominate nucleon-nucleon collisions, a significant fraction of the
incident center-of-mass energy is radiated through massive bremsstrahlung. In
the present version of the theory, this radiated energy is in the form of
neutral scalar ($\sigma$) and neutral vector ($\omega$) mesons, which
subsequently decay primarily into pions with some photons also. Additional
meson fields that are known to be important from nucleon-nucleon scattering
experiments should be incorporated in the future, in which case the radiated
energy would also contain isovector pseudoscalar ($\pi^+$, $\pi^-$, $\pi^0$),
isovector scalar ($\delta^+$, $\delta^-$, $\delta^0$), isovector vector
($\rho^+$, $\rho^-$, $\rho^0$), and neutral pseudoscalar ($\eta$) mesons.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 21:18:20 GMT""}]","2007-05-23"
"nucl-th/9406035",,"C.R. Muenz, J. Resag, B.C. Metsch, H.R. Petry","Electromagnetic Meson Form Factors in the Salpeter Model","22 pages including 10 figures","Phys.Rev.C52:2110-2119,1995","10.1103/PhysRevC.52.2110","Preprint University of Bonn, TK-94-08","nucl-th hep-ph",,"  We present a covariant scheme to calculate mesonic transitions in the
framework of the Salpeter equation for $q\bar{q}$-states. The full Bethe
Salpeter amplitudes are reconstructed from equal time amplitudes which were
obtained in a previous paper\cite{Mue} by solving the Salpeter equation for a
confining plus an instanton induced interaction. This method is applied to
calculate electromagnetic form factors and decay widths of low lying
pseudoscalar and vector mesons including predictions for CEBAF experiments. We
also describe the momentum transfer dependence for the processes
$\pi^0,\eta,\eta'\rightarrow\gamma\gamma^*$.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 13:56:03 GMT""}]","2008-11-26"
