"alg-geom/9406005","Charles Walter","Charles H. Walter","Pfaffian Subschemes","26 pages, AMS-LaTeX",,,,"alg-geom math.AG",,"  A subscheme $X\subset \Bbb P^{n+3}$ of codimension $3$ is {\em Pfaffian} if
it is the degeneracy locus of a skew-symmetric map $f:\cal{E}\spcheck(-t) @>>>
\cal{E}$ with $\cal{E}$ a locally free sheaf of odd rank on $\Bbb P^{n+3}$. It
is shown that a codimension $3$ subscheme $X\subset\Bbb P^{n+3}$ is Pfaffian if
and only if it is locally Gorenstein, subcanonical (i.e.\ $\omega_X\cong\cal
O_X(l)$ for some integer $l$), and the following parity condition holds: if
$n\equiv 0\pmod{4}$ and $l$ is even, then $\chi (\cal O_X (l/2))$ is also even.
The paper includes a modern version of the Horrocks correspondence, stated in
the language of derived categories. A local analogue of the main theorem is
also proved.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:28:12 GMT""}]","2008-02-03"
"hep-ph/9406331","Mary Hall Reno","Kevin R. Barger and M. H. Reno","Hadron collider limits on anomalous $WW\gamma$ couplings","Revtex 23 pages + 8 figures, UIOWA-94-10","Phys.Rev. D51 (1995) 90-98","10.1103/PhysRevD.51.90",,"hep-ph",,"  A next-to-leading log calculation of the reactions $pp$ and
$p\overline{p}\rightarrow W^\pm\gamma X$ is presented including a tri-boson
gauge coupling from non-Standard Model contributions. Two approaches are made
for comparison. The first approach considers the tri-boson $WW\gamma$ coupling
as being uniquely fixed by tree level unitarity at high energies to its
Standard Model form and, consequently, suppresses the non-Standard Model
contributions with form factors. The second approach is to ignore such
considerations and calculate the contributions to non-Standard Model tri-boson
gauge couplings without such suppressions. It is found that at Tevatron
energies, the two approaches do not differ much in quantitative results, while
at Large Hadron Collider (LHC) energies the two approaches give significantly
different predictions for production rates. At the Tevatron and LHC, however,
the sensitivity limits on the anomalous coupling of $WW\gamma$ are too weak to
usefully constrain parameters in effective Lagrangian models.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 16:19:06 GMT""}]","2009-10-28"
"hep-ph/9406332",,"A.Yu.Dubin and Yu.S.Kalashnikova","Interaction of Wilson Loops in the SU(N) Gauge Theory","Preprint ITEP-40-94, 24 pages, 4 fugures available by request from
  the authors","Phys.Atom.Nucl.58:1967-1976,1995; Yad.Fiz.58:2078-2087,1995",,,"hep-ph",,"  The average of two Wilson loops is expressed in terms of gauge invariant
field strength correlators. Assuming the existence of finite correlation length
$T_g$ and taking into account the absence of a fixed direction in colour space,
we generalize the area law asymptotics for the case of the average of two
Wilson loops embedded into the same plane. The results are presented in terms
of averaged single Wilson loop operators in irreducible representations which
correspond to the geometry of the contours. A special reduction of our results
(obtained for arbitrary dimensionality of space-time) to the case of
two-dimensional SU(N) theory is performed and the connection to the results
existing in literature is established.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 07:30:24 GMT""}]","2009-09-25"
"hep-ph/9406333",,"Stuart Raby","SO(10) SUSY GUTs and Fermion Masses","31 pages, Ohio State Univ. Preprint - OHSTPY-HEP-T-94-010 (figures
  may be obtained on request)",,,,"hep-ph",,"  In this talk~\footnote{Talk presented at the IFT Workshop on Yukawa
Couplings, Gainesville, FL, February 1994.} I summarize published work on a
systematic operator analysis for fermion masses in a class of effective
supersymmetric SO(10) GUTs \cite{adhrs}~\footnote{This work is in collaboration
with G. Anderson, S. Dimopoulos, L.J. Hall, and G. Starkman.}. Given a minimal
set of four operators at $M_G$, we have just 6 parameters in the fermion mass
matrices. We thus make 8 predictions for the 14 low energy observables (9 quark
and charged lepton masses, 4 quark mixing angles and $\tan \beta$). Several
models, i.e. particular sets of dominant operators, are in quantitative
agreement with the low energy data.
  In the second half of the talk I discuss the necessary ingredients for an
SO(10) GUT valid below the Planck (or string) scale which reproduces one of our
models. \footnote{These are preliminary results of work in progress with
Lawrence Hall.} This complete GUT should still be interpreted as an effective
field theory, i.e. perhaps the low energy limit of a string theory.}
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 14:14:55 GMT""}]","2007-05-23"
"hep-ph/9406336","Passarino Giampiero","Giampiero Passarino","The Z Line-shape in the Standard Model","(Talk given at the 1994 Zeuthen Workshop on Elementary Particle
  Theory). Latex, 5 pages (Figures upon request, GIAMPIERO@TO.INFN.IT)","Nucl.Phys.Proc.Suppl.37B:32,1994","10.1016/0920-5632(94)90657-2",,"hep-ph",,"  The status of the theoretical uncertainties for LEP1 observables associated
with the corresponding comparison among different codes is briefly reviewed.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 06:39:30 GMT""}]","2009-10-28"
"hep-th/9406110",,"Y. Jack Ng","Limitation to Quantum Measurements of Spacetime Distances","9pages, nofigures, postscript file, IASSNS-94/41","Annals N.Y.Acad.Sci.755:579-584,1995","10.1111/j.1749-6632.1995.tb38998.x",,"hep-th",,"  Inspired by the work of Wheeler among others, we have studied the problem of
quantum measurements of space-time distances by applying the general principles
of quantum mechanics as well as those of general relativity. Contrary to the
folklore, the minimum error in the measurement of a length is shown to be
proportional to the one-third power of the length itself. This uncertainty in
space-time measurements implies an uncertainty of the space-time metric and
yields quantum decoherence for particles heavier than the Planck mass. There is
also a corresponding minimum error in energy-momentum measurements.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 20:33:57 GMT""}]","2011-03-28"
"hep-th/9406111","Satoru Odake","H.Awata, M.Fukuma, Y.Matsuo, S.Odake","Subalgebras of $W_{1+\infty}$ and Their Quasifinite Representations","10 pages, LaTeX, RIMS-985, YITP/K-1076, YITP/U-94-22, SULDP-1994-4","J.Phys.A28:105-112,1995","10.1088/0305-4470/28/1/015",,"hep-th",,"  We propose a series of new subalgebras of the $W_{1+\infty}$ algebra
parametrized by polynomials $p(w)$, and study their quasifinite
representations. We also investigate the relation between such subalgebras and
the $\hat{\mbox{gl}}(\infty)$ algebra. As an example, we investigate the $\Win$
algebra which corresponds to the case $p(w)=w$, presenting its free field
realizations and Kac determinants at lower levels.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 04:27:11 GMT""}]","2009-10-28"
"hep-th/9406112","Ed Savage","Edward D. Savage & G E Stedman","Large Parabosons versus supersymmetry in Jahn-Teller Systems","8pp. (LATEX) (Replaced version includes (non-standard) Sci-Word style
  file jeep.sty at start of paper.)","J.Phys. A27 (1994) 4663-4668","10.1088/0305-4470/27/13/039",,"hep-th",,"  The applications of parabosons by Schmutz (1980) and of supersymmetry by
Jarvis {\em et al.} (1984) in Jahn-Teller systems are compared and contrasted.
Although a parasupersymmetric Jahn-Teller system has not yet been identified,
the method of Schmutz is used here to show that the $E \times \epsilon $
supersymmetric Jahn-Teller Hamiltonian can be written in terms of paraboson
operators.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 04:08:56 GMT""},{""version"":""v2"",""created"":""Sat, 18 Jun 1994 08:19:55 GMT""}]","2009-10-28"
"hep-th/9406114",,"Demosthenes Ellinas and Jan Sobczyk","Quantum Heisenberg Group and Algebra: Contraction, Left and Right
  Regular Representations","11 pages, Written in Tex with Harvmac macro, FTUV/94-30","J.Math.Phys. 36 (1995) 1404-1412","10.1063/1.531129",,"hep-th",,"  We show that the quantum Heisenberg group $H_{q}(1)$ can be obtained by means
of contraction from quantum $SU_q(2)$ group. Its dual Hopf algebra is the
quantum Heisenberg algebra $U_{q}(h(1))$. We derive left and right regular
representations for $U_{q}(h(1))$ as acting on its dual $H_{q}(1)$. Imposing
conditions on the right representation the left representation is reduced to an
irreducible holomorphic representation with an associated quantum coherent
state. By duality, left and right regular representations for quantum
Heisenberg group with the quantum Heisenberg algebra as representation module
are also constructed. As before reduction of left representations leads to
finite dimensional irreducible ones for which the intertwinning operator is
also investigated.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 11:29:00 GMT""}]","2009-10-28"
"hep-th/9406115","Jochen Schwenk","E. Kraus, K. Sibold","Gauge parameter dependence in gauge theories (revised: subsection 2.3)","6, MPI-PhT/94-34, BUTP-94/15","Nucl.Phys.Proc.Suppl. 37B (1994) 120-125","10.1016/0920-5632(94)90667-X",,"hep-th",,"  Dependence on the gauge parameters is an important issue in gauge theories:
physical quantities have to be independent. Extending BRS transformations by
variation of the gauge parameter into a Grassmann variable one can control
gauge parameter dependence algebraically. As application we discuss the anomaly
coefficient in the Slavnov-Taylor identity, $S$-matrix elements, the vector
two-point-function and the coefficients of renormalization group and
Callan-Symanzik equation.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 11:49:37 GMT""},{""version"":""v2"",""created"":""Fri, 8 Jul 1994 09:56:20 GMT""}]","2009-10-28"
"hep-th/9406116","Zapletal","A. Zapletal and M. Karowski","Highest Weight $U_q[sl(n)]$ Modules and Invariant Integrable n-State
  Models with Periodic Boundary Conditions""","5 pages, LaTeX, SFB 288 preprint","J.Phys. A27 (1994) 7419-7424","10.1088/0305-4470/27/22/016",,"hep-th",,"  The weights are computed for the Bethe vectors of an RSOS type model with
periodic boundary conditions obeying $U_q[sl(n)]$ ($q=\exp(i\pi/r)$)
invariance. They are shown to be highest weight vectors. The q-dimensions of
the corresponding irreducible representations are obtained.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 14:26:07 GMT""}]","2009-10-28"
"hep-th/9406117",,"A. Barducci, R. Casalbuoni, R. Gatto, M. Modugno and G. Pettini","Thermodynamics of the Massive Gross-Neveu Model","34 pages (+18 figures, available upon request to pettini@fi.infn.it),
  LATEX file, uses art12a.sty, macro included, UGVA-DPT 1994/06-854","Phys.Rev. D51 (1995) 3042-3060","10.1103/PhysRevD.51.3042",,"hep-th",,"  We study the thermodynamics of massive Gross-Neveu models with explicitly
broken discrete or continuous chiral symmetries for finite temperature and
fermion densities. The large $N$ limit is discussed bearing attention to the
no-go theorems for symmetry breaking in two dimensions which apply to the
massless cases. The main purpose of the study is to serve as analytical
orientation for the more complex problem of chiral transition in
$4-$dimensional QCD with quarks. For any non-vanishing fermion mass we find, at
finite densities, lines of first order phase transitions. For small mass values
traces of would-be second order transitions and a tricritical point are
recognizable. We study the thermodynamics of these models, and in the model
with broken continuous chiral symmetry we examine the properties of the pion
like state.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 14:31:13 GMT""}]","2009-10-28"
"hep-th/9406118","Mikhail Lashkevich","M. Yu. Lashkevich","Sectors of Mutually Local Fields in Integrable Models of Quantum Field
  Theory","a misprint in references corrected",,,,"hep-th",,"  It is known that 2D field theories admit several sectors of mutually local
fields so as two fields from different sectors are mutually nonlocal. We show
that any one-partical integrable model with ${\bf Z}_2$ symmetry contains three
sectors: bosonic, fermionic and `disorder' one. We generalize the form factor
axioms to fermionic and `disorder' sectors. For the particular case of the
sinh-Gordon model we obtain several form factors in these sectors.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:09:11 GMT""},{""version"":""v2"",""created"":""Wed, 10 Aug 1994 11:00:54 GMT""}]","2008-02-03"
"math/9406230","Alfredo Poirier","Alfredo Poirier","Coexistence of critical orbit types in sub-hyperbolic polynomial maps",,,,"Stony Brook IMS 1994/10","math.DS",,"  We establish necessary and sufficient conditions for the realization of
mapping schemata as post-critically finite polynomials, or more generally, as
post-critically finite polynomial maps from a finite union of copies of the
complex numbers {\bf C} to itself which have degree two or more in each copy.
As a consequence of these results we prove a transitivity relation between
hyperbolic components in parameter space which was conjectured by Milnor.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9406020",,"Mihai Horoi and Alex Brown","Downloading the Nuclear Structure Shell Model Code OXBASH from INTERNET","text file",,,,"nucl-th hep-lat",,"  This document explains how to download the OXBASH code for nuclear structure
calculations from the NSCL anonymous server and get it running on VAX (VMS),
ALPHA (OpenVMS) and IBM RS/6000 (aix) computers. The physics behind the code is
explained in the OXBASH manual, which is part of the downloading package.
Everybody is welcome to download the code and use it under the conditions
described below.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:31:08 GMT""}]","2007-05-23"
"patt-sol/9406001",,"R. A. Kraenkel, M. A. Manna (Physique Mathematique et Theorique,
  URA-CNRS 768 Universite de Montpellier 34095 Montpellier CEDEX 05, France)
  and J. G. Pereira (Instituto de Fisica Teorica, Universidade Estadual
  Paulista Rua Pamplona 145)","The Korteweg-de Vries Hierarchy and Long Water-Waves",,,"10.1063/1.531294",,"patt-sol nlin.PS nlin.SI solv-int",,"  By using the multiple scale method with the simultaneous introduction of
multiple times, we study the propagation of long surface-waves in a shallow
inviscid fluid. As a consequence of the requirements of scale invariance and
absence of secular terms in each order of the perturbative expansion, we show
that the Korteweg-de Vries hierarchy equations do appear in the description of
such waves. Finally, we show that this procedure of eliminating secularities is
closely related to the renormalization technique introduced by Kodama and
Taniuti.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 08:47:00 GMT""}]","2009-10-28"
