"cmp-lg/9404007","Gosse Bouma","Gosse Bouma (Alfa-Informatica, Rijksuniversiteit Groningen), Gertjan
  van Noord (Alfa-Informatica, Rijksuniversiteit Groningen)","Constraint-Based Categorial Grammar","8 pages, LaTeX","Proceedings ACL 94",,,"cmp-lg cs.CL",,"  We propose a generalization of Categorial Grammar in which lexical categories
are defined by means of recursive constraints. In particular, the introduction
of relational constraints allows one to capture the effects of (recursive)
lexical rules in a computationally attractive manner. We illustrate the
linguistic merits of the new approach by showing how it accounts for the syntax
of Dutch cross-serial dependencies and the position and scope of adjuncts in
such constructions. Delayed evaluation is used to process grammars containing
recursive constraints.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 10:58:10 GMT""}]","2008-02-03"
"hep-th/9404113","Andreas Honecker","R. Blumenhagen, W. Eholzer, A. Honecker, K. Hornfeck, R. Huebel","Unifying W-Algebras","13 pages (plain TeX); BONN-TH-94-01, DFTT-15/94","Phys.Lett. B332 (1994) 51-60","10.1016/0370-2693(94)90857-5",,"hep-th",,"  We show that quantum Casimir W-algebras truncate at degenerate values of the
central charge c to a smaller algebra if the rank is high enough: Choosing a
suitable parametrization of the central charge in terms of the rank of the
underlying simple Lie algebra, the field content does not change with the rank
of the Casimir algebra any more. This leads to identifications between the
Casimir algebras themselves but also gives rise to new, `unifying' W-algebras.
For example, the kth unitary minimal model of WA_n has a unifying W-algebra of
type W(2,3,...,k^2 + 3 k + 1). These unifying W-algebras are non-freely
generated on the quantum level and belong to a recently discovered class of
W-algebras with infinitely, non-freely generated classical counterparts. Some
of the identifications are indicated by level-rank-duality leading to a coset
realization of these unifying W-algebras. Other unifying W-algebras are new,
including e.g. algebras of type WD_{-n}. We point out that all unifying quantum
W-algebras are finitely, but non-freely generated.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 11:16:23 GMT""}]","2009-10-28"
"hep-th/9404114","Dieter Luest","E. Kiritsis, C. Kounnas and D. Luest","Superstring Gravitational Wave Backgrounds with Spacetime Supersymmetry","14 pages, CERN-TH.7218/94, HUN-IEP-94/5, LPTENS-94/10 (references
  updated)","Phys.Lett.B331:321-329,1994","10.1016/0370-2693(94)91059-6",,"hep-th astro-ph gr-qc",,"  We analyse the stringy gravitational wave background based on the current
algebra $E^{c}_{2}$. We determine its exact spectrum and construct the modular
invariant vacuum energy. The corresponding N=1 extension is also constructed.
The algebra is again mapped to free bosons and fermions and we show that this
background has N=4 (N=2) unbroken spacetime supersymmetry in the type II
(heterotic case).
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 12:29:42 GMT""},{""version"":""v2"",""created"":""Mon, 25 Apr 1994 15:34:06 GMT""},{""version"":""v3"",""created"":""Wed, 27 Apr 1994 15:27:28 GMT""}]","2009-10-07"
"hep-th/9404115",,"M. Alvarez and J.M.F. Labastida","Topological Matter in Four Dimensions","54 pages, phyzzx, US-FT/8-93","Nucl.Phys. B437 (1995) 356-390","10.1016/0550-3213(94)00512-D",,"hep-th",,"  Topological models involving matter couplings to Donaldson-Witten theory are
presented. The construction is carried using both, the topological algebra and
its central extension, which arise from the twisting of $N=2$ supersymmetry in
four dimensions. The framework in which the construction is based is
constituted by the superspace associated to these algebras. The models show new
features of topological quantum field theories which could provide either a
mechanism for topological symmetry breaking, or the analog of two-dimensional
mirror symmetry in four dimensions.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 07:41:21 GMT""}]","2009-10-28"
"hep-th/9404116","Dasmahapatra S.","Srinandan Dasmahapatra","On State Counting and Characters","23 pages, harvmac, CMPS-94-103","Int.J.Mod.Phys. A10 (1995) 875-894","10.1142/S0217751X95000437",,"hep-th",,"  We outline the relationship between the thermodynamic densities and
quasi-particle descriptions of spectra of RSOS models with an underlying Bethe
equation. We use this to prove completeness of states in some cases and then
give an algorithm for the construction of branching functions of their emergent
conformal field theories. Starting from the Bethe equations of $D_n$ type, we
discuss some aspects of the $Z_n$ lattice models.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 14:29:28 GMT""}]","2015-06-26"
"math/9404218","Wolfram Koepf","Dominik Gruntz, Wolfram Koepf","Formal power series",,,,"OP-SF 19 Apr 1994","math.CA",,"  In this article we will describe the \Maple\ implementation of an algorithm
presented in~\cite{Koe92}--\cite{Koeortho} which computes an {\em exact\/}
formal power series (FPS) of a given function. This procedure will enable the
user to reproduce most of the results of the extensive bibliography on
series~\cite{Han}. We will give an overview of the algorithm and then present
some parts of it in more detail.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 00:00:00 GMT""}]","2009-09-25"
"math/9404219","Wolfram Koepf","Wolfram Koepf","A package on formal power series",,,,"OP-SF 19 Apr 1994","math.CA math.NA",,"  Formal Laurent-Puiseux series are important in many branches of mathematics.
This paper presents a {\it Mathematica} implementation of algorithms developed
by the author for converting between certain classes of functions and their
equivalent representing series. The package {\tt PowerSeries} handles functions
of rational, exponential, and hypergeometric type, and enables the user to
reproduce most of the results of Hansen's extensive table of series.
Subalgorithms of independent significance generate differential equations
satisfied by a given function and recurrence equations satisfied by a given
sequence.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 00:00:00 GMT""}]","2016-09-06"
"math/9404220","Wolfram Koepf","Wolfram Koepf","Algorithmic work with orthogonal polynomials and special functions",,,,"OP-SF 19 Apr 1994","math.CA",,"  In this article we present a method to implement orthogonal polynomials and
many other special functions in Computer Algebra systems enabling the user to
work with those functions appropriately, and in particular to verify different
types of identities for those functions. Some of these identities like
differential equations, power series representations, and hypergeometric
representations can even dealt with algorithmically, i.\ e.\ they can be
computed by the Computer Algebra system, rather than only verified.
  The types of functions that can be treated by the given technique cover the
generalized hypergeometric functions, and therefore most of the special
functions that can be found in mathematical dictionaries.
  The types of identities for which we present verification algorithms cover
differential equations, power series representations, identities of the
Rodrigues type, hypergeometric representations, and algorithms containing
symbolic sums.
  The current implementations of special functions in existing Computer Algebra
systems do not meet these high standards as we shall show in examples. They
should be modified, and we show results of our implementations.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 00:00:00 GMT""}]","2016-09-06"
"math/9404221","Wolfram Koepf","Wolfram Koepf, Dieter Schmersau","Bounded nonvanishing functions and Bateman functions",,,,"OP-SF 19 Apr 1994","math.CA math.CV",,"  We consider the family B-tilde of bounded nonvanishing analytic functions
  f(z) = a_0 + a_1 z + a_2 z^2 + ...
  in the unit disk. The coefficient problem had been extensively investigated,
and it is known that |a_n| <= 2/e for n=1,2,3, and 4. That this inequality may
hold for n in N, is know as the Kry\.z conjecture. It turns out that for f in
B-tilde with a_0 = e^-t,
  f(z) << e^{-t (1+z)/(1-z)}
  so that the superordinate functions e^{-t (1+z)/(1-z)} = sum F_k(t) z^k are
of special interest. The corresponding coefficient function F_k(t) had been
independently considered by Bateman [3] who had introduced them with the aid of
the integral representation
  F_k(t) = (-1)^k 2/pi int_0^pi/2 cos(t tan theta - 2 k theta) d theta .
  We study the Bateman function and formulate properties that give insight in
the coefficient problem in B-tilde.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 00:00:00 GMT""}]","2016-09-06"
"math/9404222","Wolfram Koepf","Wolfram Koepf, Dieter Schmersau","Spaces of functions satisfying simple differential equations",,,,"OP-SF 19 Apr 1994","math.CA",,"  In \cite{Koe92}--\cite{Koe93c} the first author published an algorithm for
the conversion of analytic functions for which derivative rules are given into
their representing power series $\sum\limits_{k=0}^{\infty}a_{k}z^{k}$ at the
origin and vice versa, implementations of which exist in {\sc Mathematica}
\cite{Wol}, (s.\ \cite{Koe93c}), {\sc Maple} \cite{Map} (s.\ \cite{GK}) and
{\sc Reduce} \cite{Red} (s.\ \cite{Neun}).
  One main part of this procedure is an algorithm to derive a homogeneous
linear differential equation with polynomial coefficients for the given
function. We call this type of ordinary differential equations {\sl simple}.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9404021",,"P. Mohr, H. Abele, U. Atzrott, G. Staudt, R. Bieber, K. Gr\""un, H.
  Oberhummer, T. Rauscher, E. Somorjai","Systematics of $\alpha$--nucleus optical potentials","7 pages, LaTex, 3 figures available upon request to
  gruen@ekpvs2.una.ac.at, IK-TUW-Preprint 9404402",,,,"nucl-th",,"  Double--folded optical $\alpha$--nucleus potentials can be used to calculate
elastic scattering cross sections in a wide mass-- and energy region. Because
of the systematic behavior of the potential parameters we are able to obtain
reliable optical potentials for astrophysically relevant reactions even without
scattering data in low--energy region. As example we analyze the capture
reaction ${^{144}{\rm Sm}}(\alpha,\gamma){^{148}{\Gd}}$.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 11:46:07 GMT""}]","2009-09-25"
