"alg-geom/9407005","Yu. I. Manin","Yu. I. Manin","Generating Functions in Algebraic Geometry and Sums over Trees","15 pages. AMS-Tex",,,,"alg-geom math.AG",,"  We calculate generating functions for the Poincare polynomials of moduli
spaces of pointed curves of genus zero and of Configuration Spaces of Fulton
and MacPherson. We also prove that contributions of multiple coverings of
curves in a Calabi-Yau threefold calculated via Kontsevich's compactification
coincide with the prediction of Candelas et al., and Aspinwall and Morrison.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 13:20:50 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jul 1994 14:28:40 GMT""}]","2008-02-03"
"hep-th/9407056","Robert Perry","Robert J. Perry (The Ohio State University)","Hamiltonian Light-Front Field Theory and Quantum Chromodynamics","corrected version of 1994 lectures, 84 pages, LATEX. Published in
  ""Hadron Physics 94,"" Proceedings, Gramado, Brazil (World Scientific, 1995)",,,,"hep-th hep-ph nucl-th",,"  Light-front coordinates offer a scenario in which a constituent picture of
hadron structure can emerge from QCD, after several difficulties are addressed.
Field theoretic difficulties force us to introduce cutoffs that violate Lorentz
covariance and gauge invariance, and a new renormalization group formalism
based on a similarity transformation is used with coupling coherence to fix
cuonterterms that restore these symmetries. The counterterms contain functions
of longitudinal momentum fractions that severely complicate renormalization,
but they also offer possible resolutions of apparent contradictions between the
constituent picture and QCD. The similarity transformation and coupling
coherence are applied to QED; and it is shown that the resultant Hamiltonian
leads to standard lowest order bound state results, with the Coulomb
interaction emerging naturally. The same techniques are applied to QCD and with
physically motivated assumptions it is shown that a simple confinement
mechanism appears.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 18:27:51 GMT""},{""version"":""v2"",""created"":""Wed, 9 Jul 1997 02:21:02 GMT""}]","2008-02-03"
"hep-th/9407057","Robert Becker","Victor G. Kac, Minoru Wakimoto","Integrable highest weight modules over affine superalgebras and number
  theory","45 pages",,,,"hep-th math.NT math.QA math.RT",,"  In the first part of the paper we give the denominator identity for all
simple finite-dimensional Lie super algebras $\frak g\/$ with a non-degenerate
invariant bilinear form. We give also a character and (super) dimension
formulas for all finite-dimensional irreducible $\frak g\/$-modules of
atypicality $\leq 1\/$ . In the second part of the paper we give the
denominator identity for the affine superalgebras $\hat{\frak g}\/$ associated
to $\frak g\/$. Specializations of this identity give almost all old and many
new formulas for the number of representations of an integer as sums of squares
and sums of triangular numbers. At the end, we introduce the notion of an
integrable $\hat{\frak g}\/$-module and give a classification of irreducible
integrable highest weight $\hat{\frak g}\/$-modules.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 19:05:18 GMT""}]","2008-02-03"
"hep-th/9407058",,"Yoshiyuki Watabiki","Non-critical String Field Theory with Non-orientable String Interactions","13 pages, INS-Rep.-1038","Phys.Lett. B346 (1995) 46-54","10.1016/0370-2693(94)01651-R",,"hep-th",,"  We study the non-critical string field theory with non-orientable string
interactions by using the transfer matrix formalism in the dynamical
triangulation. For any value of $c$ (total central charge of matter), we have
constructed the non-orientable string field theory at the discrete level. Two
coupling constants $G$ and $\Gx$ which satisfy the relation $(\Gx)^3 = G \Gx$
are introduced, where $G$ counts the number of untwisted handles of the
world-sheet while $\Gx$ counts the number of cross-caps. In the case of the
non-critical string theory which correspond to multicritical one matrix models
(including $c=0$ case), we have succeeded in taking the continuum limit, and
then have obtained the continuous string field theory.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 12:30:05 GMT""}]","2009-10-28"
"hep-th/9407059",,"G. Jorjadze L. O'Raifeartaigh I. Tsutsui","Quantization of a relativistic particle on the SL(2,R) manifold based on
  Hamiltonian reduction","12 pages, INS-Rep.-1042","Phys.Lett. B336 (1994) 388-394","10.1016/0370-2693(94)90549-5",,"hep-th",,"  A quantum theory is constructed for the system of a relativistic particle
with mass m moving freely on the SL(2,R) group manifold. Applied to the
cotangent bundle of SL(2,R), the method of Hamiltonian reduction allows us to
split the reduced system into two coadjoint orbits of the group. We find that
the Hilbert space consists of states given by the discrete series of the
unitary irreducible representations of SL(2,R), and with a positive-definite,
discrete spectrum.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 09:44:41 GMT""}]","2009-10-28"
"hep-th/9407060","Antti Niemi","A.J. Niemi and V.V. Sreedhar","On the infrared limit of the Chern-Simons-Proca theory","12 pages, UU-ITP 13/94 and HU-TFT-94-24","Phys.Lett. B336 (1994) 381-387","10.1016/0370-2693(94)00949-X",,"hep-th",,"  We investigate a modification of the 2+1 dimensional abelian Chern-Simons
theory, obtained by adding a Proca mass term to the gauge field. We are
particularly interested in the infrared limit, which can be described by two
{\it a priori} different ""topological"" quantum mechanical models. We apply
methods of equivariant cohomology and the ensuing supersymmetry to analyze the
partition functions of these quantum mechanical models. In particular, we find
that a previously discussed phase-space reductive limiting procedure which
relates these two models can be seen as a direct consequence of our
supersymmetry.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 12:16:23 GMT""}]","2009-10-28"
"hep-th/9407061","Friedemann Brandt","Friedemann Brandt, Walter Troost and Antoine Van Proeyen","BRST-Antibracket Cohomology in 2D Conformal Gravity","14 pages, LaTex, NIKHEF-H 94-16, KUL-TF-94/17, to appear in the
  proceedings of the `Geometry of Constrained Dynamical Systems' workshop,
  Isaac Newton Institute for Mathematical Sciences, Cambridge, June 15--18,
  1994",,,,"hep-th",,"  We present results of a computation of the BRST-antibracket cohomology in the
space of local functionals of the fields and antifields for a class of 2d
gravitational theories which are conformally invariant at the classical level.
In particular all classical local action functionals, all candidate anomalies
and all BRST--invariant functionals depending nontrivially on antifields are
given and discussed for these models.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 15:58:05 GMT""}]","2007-05-23"
"math/9407202","Dan Lieman","Daniel Lieman","Automorphic forms and cubic twists of elliptic curves","17 pages",,,"formerly auto-fms/9407001","math.NT math.RT",,"  This paper surveys the connection between the elliptic curve
  E_D: x^3 + y^3 = D
  and a certain metaplectic form on the cubic cover of GL(3) which has the
property that its m,n^{th} Whittaker--Fourier coefficient is essentially the
L--series of the curve E_{m^2n}. One may obtain information about the
collective behavior the curves E_D by exploiting this connection; for example,
one can prove:
  Theorem: Fix any prime p \ne 3, and any congruence class c mod p. Then there
are infinitely many D congruent to c mod p such that the curve E_D has no
rational solutions.
  This paper is fairly self-contained; no prior knowledge of algebraic number
theory, analytic number theory or metaplectic forms is assumed. On the other
hand, this paper is a survey, no proofs are included.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 13:31:22 GMT""}]","2008-02-03"
"math/9407203","Andreas Blass","Andreas Blass","Reductions Between Cardinal Characteristics of the Continuum",,,,"Logic E-prints July 12, 1994","math.LO",,"  We discuss two general aspects of the theory of cardinal characteristics of
the continuum, especially of proofs of inequalities between such
characteristics. The first aspect is to express the essential content of these
proofs in a way that makes sense even in models where the inequalities hold
trivially (e.g., because the continuum hypothesis holds). For this purpose, we
use a Borel version of Vojtas's theory of generalized Galois-Tukey connections.
The second aspect is to analyze a sequential structure often found in proofs of
inequalities relating one characteristic to the minimum (or maximum) of two
others. Vojtas's max-min diagram, abstracted from such situations, can be
described in terms of a new, higher-type object in the category of generalized
Galois-Tukey connections. It turns out to occur also in other proofs of
inequalities where no minimum (or maximum) is mentioned.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9407020","kazuo Tsushima","K. Tsushima, S.W. Huang and Amand Faessler","Resonance Model of $\pi \Delta \rightarrow Y K$ for Kaon Production in
  Heavy Ion Collisions","( Replaced with corrections of printing errors in the Table. ) 15
  pages, Latex file with 4 figures, 1 figure is included in the text. A
  compressed uuencode file for 3 figures is appended. (A figure file format was
  changed.) Also available upon request","J.Phys. G21 (1995) 33-42","10.1088/0954-3899/21/1/005",,"nucl-th",,"  The elementary production cross sections $\pi \Delta \rightarrow Y K$
$(Y=\Sigma,\,\, \Lambda)$ and $\pi N \rightarrow Y K$ are needed to describe
kaon production in heavy ion collisions. The $\pi N \rightarrow Y K$ reactions
were studied previously by a resonance model. The model can explain the
experimental data quite well \cite{tsu}. In this article, the total cross
sections $\pi \Delta \rightarrow Y K$ at intermediate energies (from the kaon
production threshold to3 GeV of $\pi \Delta$ center-of-mass energy) are
calculated for the first time using the same resonance model. The resonances,
$N(1710)\,I(J^P) = \frac{1}{2}(\frac{1}{2}^+)$ and $N(1720)\, \frac{1}{2}
(\frac{3}{2}^+)$ for the $\pi \Delta \rightarrow \Sigma K$ reactions, and
$N(1650)\, \frac{1}{2} (\frac{1}{2}^-)$, $N(1710)\, \frac{1}{2}
(\frac{1}{2}^+)$ and $N(1720)\, \frac{1}{2} (\frac{3}{2}^+)$ for the $\pi
\Delta \rightarrow \Lambda K$ reactions are taken into account coherently as
the intermediate states in the calculations. Also t-channel $K^*(892)
\frac{1}{2}(1^-)$ vector meson exchange is included. The results show that
$K^*(892)$ exchange is neglegible for the $\pi \Delta \rightarrow \Sigma K$
reactions, whereas this meson does not contribute to the $\pi \Delta
\rightarrow \Lambda K$ reactions. Furthemore, the $\pi \Delta \rightarrow Y K$
contributions to kaon production in heavy ion collisions are not only
non-neglegible but also very different from the $\pi N \rightarrow Y K$
reactions. An argument valid for $\pi N \rightarrow Y K$ cannot be extended to
$\pi \Delta \rightarrow Y K$ reactions. Therefore, cross sections for $\pi
\Delta \rightarrow Y K$ including correctly the different isospins must be
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 11:51:44 GMT""},{""version"":""v2"",""created"":""Wed, 13 Jul 1994 07:56:59 GMT""},{""version"":""v3"",""created"":""Mon, 25 Jul 1994 19:14:56 GMT""}]","2009-10-28"
"nucl-th/9407021","kazuo Tsushima","K. Tsushima, S.W. Huang and Amand Faessler","The Role of the $\Delta(1920)$ Resonance for Kaon Production in Heavy
  Ion Collisions","( Replaced with corrections of printing errors in the Table. ) 18
  pages, Latex file with 6 figures, 2 figures are included in the text. A
  compressed uuencode file for 4 figures is appended. Also available upon
  request","Phys.Lett. B337 (1994) 245-253","10.1016/0370-2693(94)90971-7",,"nucl-th",,"  The long mean free path of $K^+$ mesons in nuclear matter makes this particle
a suitable messenger for the dynamics of nucleus-nucleus reactions at
intermediate energies (100 MeV to 3 GeV per nucleon). A prerequisite for this
is the knowledge of the elementary production cross sections $\pi N \rightarrow
\Sigma K$. Here these cross sections are studied for the first time with the
explicite inclusion of the relevant baryon resonances up to 2 GeV as
intermediate states. The baryon resonances -- $N(1710)\, I(J^P) = \frac{1}{2}
(\frac{1}{2}^+),\, N(1720)\, \frac{1}{2} (\frac{3}{2}^+)$ and $\Delta(1920)\,
\frac{3}{2} (\frac{3}{2}^+)\,$ -- are taken into account coherently in the
calculations of the $\pi N \rightarrow \Sigma K$ process. (We refer to this
model as the `resonance model'.) Also $K^*(892)\frac{1}{2} (1^-)$ vector meson
exchange is included. It is shown that the total cross sections for different
channels of the $\pi N \rightarrow \Sigma k$ reactions, i.e. $\pi^+ p
\rightarrow \Sigma^+ K^+$, $\pi^- p \rightarrow \Sigma^- K^+$, $\pi^+ n
\rightarrow \Sigma^0 K^+$ ($\pi^- p \rightarrow \Sigma^- K^+$) and $\pi^0 p
\rightarrow \Sigma^0 K^+$ differ not only by absolute values but also by their
energy dependence. This shape differences are due to the mixture of the isospin
$I = 3/2$ $\Delta(1920)$ with isospin $I = 1/2$ nucleon resonances. However,
this $I = 3/2$ resonance does not give a contribution to the $\pi N \rightarrow
\Lambda K$ reactions. So the shapes of the total cross sections $\pi N
\rightarrow \Lambda K$ for different isospin projections are the same. In spite
of this, such cross sections averaged over different isospin projections in the
same multiplet
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 15:40:08 GMT""},{""version"":""v2"",""created"":""Wed, 13 Jul 1994 07:56:45 GMT""},{""version"":""v3"",""created"":""Mon, 25 Jul 1994 19:09:52 GMT""}]","2009-10-28"
